customer_id,segment,years_with_kite,policies_held,auto_renew,switches_last_3_years,comparison_quotes_last_renewal,days_letter_to_action,support_contacts_per_year,claims_last_5_years,premium_annual_eur,contents_sum_insured_eur,age_band,region,home_type,works_from_home
K-10022,Switcher,1,1,no,2,5,5,0,0,366,25500,45-54,Rest of Leinster,terrace,no
K-10023,Juggler,4,2,yes,1,1,7,2,0,819,41000,35-44,Munster,semi-detached,yes
K-10024,Juggler,3,2,no,1,1,11,1,0,688,31500,55-64,Dublin,semi-detached,no
K-10025,Payer,3,1,yes,0,0,18,0,0,470,28000,35-44,Connacht,terrace,
K-10026,Juggler,4,3,yes,0,1,12,1,0,1043,40500,35-44,Rest of Leinster,bungalow,yes
K-10027,Payer,2,1,yes,0,0,5,0,0,534,40500,55-64,Rest of Leinster,detached,
K-10028,Switcher,4,1,yes,2,3,3,0,0,482,46500,55-64,Munster,detached,no
K-10029,Payer,4,1,yes,0,0,20,2,0,364,29500,65+,Dublin,apartment,no
K-10030,Payer,3,1,yes,0,0,8,2,0,329,22000,65+,Rest of Leinster,apartment,no
K-10031,Switcher,1,1,no,3,5,4,1,0,328,27000,55-64,Rest of Leinster,terrace,no
K-10032,Juggler,4,2,no,2,1,13,2,0,690,44000,35-44,Connacht,semi-detached,yes
K-10033,Payer,3,1,yes,0,0,7,1,0,465,30500,35-44,Dublin,semi-detached,yes
K-10034,Juggler,2,3,yes,1,2,9,2,0,1016,33500,45-54,Dublin,semi-detached,no
K-10035,Payer,3,1,yes,0,1,14,0,0,423,31000,35-44,Connacht,terrace,yes
K-10036,Juggler,2,4,no,1,1,9,0,0,1749,44000,35-44,Dublin,detached,yes
K-10037,Switcher,1,1,no,3,4,8,1,0,431,50000,45-54,Rest of Leinster,detached,no
K-10038,Payer,1,1,yes,0,0,5,0,0,455,36000,45-54,Dublin,semi-detached,no
K-10039,Switcher,1,1,no,2,3,5,1,0,356,34500,25-34,Dublin,semi-detached,no
K-10040,Payer,1,1,yes,0,0,5,1,2,370,21000,65+,Rest of Leinster,apartment,no
K-10041,Payer,4,1,yes,0,0,13,0,0,489,43500,45-54,Dublin,semi-detached,yes
K-10042,Payer,3,2,yes,0,0,19,0,0,634,56000,45-54,Connacht,detached,
K-10043,Juggler,2,3,no,2,1,10,1,0,904,25000,35-44,Munster,apartment,no
K-10044,Juggler,1,2,yes,1,2,3,1,0,951,49000,35-44,Dublin,detached,no
K-10045,Payer,3,1,yes,0,1,10,0,0,516,36000,35-44,Connacht,semi-detached,yes
K-10046,Payer,2,2,yes,0,1,13,1,0,427,38000,65+,Dublin,semi-detached,no
K-10047,Payer,4,1,yes,0,0,16,1,0,560,43000,45-54,Rest of Leinster,semi-detached,yes
K-10048,Switcher,2,1,no,2,4,3,0,0,491,46000,35-44,Rest of Leinster,detached,yes
K-10049,Switcher,4,1,no,2,2,4,1,1,360,32000,55-64,Connacht,semi-detached,no
K-10050,Payer,3,1,yes,0,0,25,1,0,456,38000,45-54,Dublin,semi-detached,yes
K-10051,Juggler,1,3,no,1,0,8,2,0,1077,39000,25-34,Connacht,bungalow,no
K-10052,Juggler,3,3,no,0,1,9,0,0,963,25000,65+,Dublin,apartment,no
K-10053,Payer,4,1,yes,0,0,5,0,0,488,43000,45-54,Munster,semi-detached,
K-10054,Switcher,4,1,no,2,2,2,0,0,478,44500,25-34,Connacht,detached,yes
K-10055,Payer,1,2,yes,0,0,12,1,0,420,39000,35-44,Rest of Leinster,semi-detached,yes
K-10056,Juggler,2,3,no,0,0,10,1,0,936,24000,25-34,Connacht,apartment,no
K-10057,Juggler,2,2,no,0,1,13,3,0,651,28500,25-34,Rest of Leinster,terrace,no
K-10058,Switcher,2,1,no,2,4,4,1,0,408,30000,55-64,Rest of Leinster,semi-detached,yes
K-10059,Juggler,3,2,yes,1,2,10,0,2,671,36500,65+,Dublin,semi-detached,no
K-10060,Payer,3,1,yes,0,0,19,0,0,527,34500,35-44,Munster,semi-detached,
K-10061,Switcher,1,1,no,2,5,3,0,0,394,28000,45-54,Connacht,semi-detached,no
K-10062,Switcher,2,1,no,2,3,6,0,0,267,22500,25-34,Dublin,apartment,no
K-10063,Switcher,1,1,no,2,3,5,1,0,354,37500,25-34,Rest of Leinster,semi-detached,yes
K-10064,Switcher,1,1,no,3,3,5,0,1,355,27500,45-54,Dublin,terrace,no
K-10065,Switcher,2,1,no,2,4,3,1,0,269,22500,35-44,Munster,apartment,no
K-10066,Payer,2,1,yes,0,0,14,1,0,519,53000,35-44,Rest of Leinster,detached,yes
K-10067,Payer,4,2,yes,0,0,21,1,0,604,36500,65+,Ulster,detached,no
K-10068,Switcher,3,1,no,2,2,4,1,0,425,31500,45-54,Munster,semi-detached,yes
K-10069,Payer,4,1,yes,0,1,18,1,0,533,34500,65+,Munster,semi-detached,no
K-10070,Juggler,2,2,yes,2,1,8,2,0,935,45000,45-54,Rest of Leinster,detached,no
K-10071,Payer,3,2,yes,0,1,14,1,0,343,22500,35-44,Dublin,apartment,no
K-10072,Switcher,2,2,yes,3,3,8,0,0,357,34500,25-34,Dublin,terrace,no
K-10073,Switcher,4,1,no,2,4,5,0,2,432,37500,65+,Rest of Leinster,semi-detached,no
K-10074,Juggler,2,2,no,2,2,10,2,1,706,32000,35-44,Ulster,terrace,yes
K-10075,Switcher,1,2,no,2,4,2,0,0,397,35500,25-34,Rest of Leinster,semi-detached,yes
K-10076,Switcher,4,1,no,1,4,4,0,0,416,32500,55-64,Dublin,semi-detached,no
K-10077,Payer,3,1,yes,0,0,17,0,0,662,45000,25-34,Dublin,detached,yes
K-10078,Payer,3,1,yes,0,1,12,0,0,462,25500,65+,Ulster,terrace,
K-10079,Switcher,1,1,no,1,3,3,2,0,313,26000,35-44,Rest of Leinster,terrace,yes
K-10080,Switcher,1,1,no,2,4,4,0,0,361,34500,45-54,Ulster,terrace,yes
K-10081,Payer,4,2,yes,0,1,12,1,0,340,22500,35-44,Rest of Leinster,apartment,no
K-10082,Payer,3,1,yes,0,0,21,0,1,447,39500,35-44,Connacht,semi-detached,
K-10083,Switcher,2,1,no,1,4,4,0,0,338,30000,45-54,Dublin,terrace,no
K-10084,Juggler,2,2,no,2,1,12,4,0,787,35500,25-34,Rest of Leinster,semi-detached,yes
K-10085,Switcher,1,1,no,1,5,2,0,0,430,37000,25-34,Munster,semi-detached,no
K-10086,Juggler,2,2,no,0,3,12,4,0,744,36000,65+,Dublin,bungalow,no
K-10087,Juggler,4,3,no,1,2,9,2,1,836,21000,25-34,Connacht,apartment,no
K-10088,Payer,4,1,yes,0,0,11,0,2,536,42000,35-44,Munster,semi-detached,
K-10089,Switcher,2,1,yes,3,4,2,0,0,479,45000,35-44,Rest of Leinster,detached,yes
K-10090,Switcher,1,1,no,1,4,1,0,0,263,26500,45-54,Dublin,apartment,no
K-10091,Juggler,3,2,yes,0,2,12,1,0,714,37000,35-44,Dublin,bungalow,no
K-10092,Payer,3,2,yes,0,0,8,1,0,587,56500,45-54,Rest of Leinster,detached,yes
K-10093,Switcher,3,1,no,3,5,5,0,1,436,35000,25-34,Ulster,semi-detached,no
K-10094,Payer,2,1,yes,0,1,12,1,0,361,23500,25-34,Ulster,apartment,
K-10095,Payer,3,1,yes,0,0,16,0,0,386,36000,45-54,Dublin,terrace,
K-10096,Payer,4,1,no,1,0,13,0,1,553,38500,45-54,Connacht,semi-detached,no
K-10097,Switcher,2,1,no,2,5,4,0,0,279,30000,45-54,Munster,apartment,no
K-10098,Switcher,4,1,no,2,4,4,0,0,386,30000,55-64,Connacht,terrace,no
K-10099,Switcher,2,1,no,1,5,8,0,0,408,40500,35-44,Dublin,semi-detached,yes
K-10100,Payer,3,1,yes,0,0,20,0,0,527,33000,35-44,Munster,semi-detached,no
K-10101,Payer,3,2,yes,0,0,23,1,0,387,29500,55-64,Rest of Leinster,terrace,no
K-10102,Payer,2,1,yes,0,0,12,0,0,553,40500,45-54,Dublin,detached,yes
K-10103,Payer,3,1,yes,0,0,14,1,0,341,27500,55-64,Dublin,apartment,no
K-10104,Switcher,3,2,no,2,5,3,2,1,269,21500,25-34,Ulster,apartment,no
K-10105,Payer,4,1,yes,0,0,16,0,0,488,29500,35-44,Dublin,bungalow,yes
K-10106,Switcher,3,1,no,2,4,6,0,0,386,29000,45-54,Connacht,bungalow,no
K-10107,Switcher,2,1,no,1,3,4,1,0,440,40000,35-44,Dublin,detached,yes
K-10108,Switcher,1,1,no,2,4,2,0,2,370,31000,45-54,Munster,semi-detached,no
K-10109,Juggler,1,2,no,0,1,9,3,1,690,39000,45-54,Dublin,bungalow,
K-10110,Switcher,4,1,no,1,5,5,0,1,353,39000,45-54,Munster,bungalow,no
K-10111,Juggler,2,4,no,0,3,12,1,0,1654,46500,45-54,Munster,detached,yes
K-10112,Payer,3,1,yes,0,0,8,0,0,383,30000,25-34,Rest of Leinster,apartment,
K-10113,Payer,4,1,yes,0,0,9,1,0,593,47000,45-54,Dublin,detached,no
K-10114,Switcher,1,1,no,2,2,4,0,0,403,38500,35-44,Ulster,semi-detached,yes
K-10115,Switcher,4,1,no,3,2,5,0,0,411,41000,45-54,Connacht,semi-detached,no
K-10116,Juggler,4,3,no,2,2,14,2,1,1122,33500,25-34,Munster,semi-detached,no
K-10117,Payer,3,1,yes,0,0,6,0,0,470,32000,55-64,Rest of Leinster,semi-detached,
K-10118,Payer,4,1,yes,0,0,24,0,0,514,38500,35-44,Ulster,semi-detached,no
K-10119,Switcher,1,1,no,2,5,2,1,0,368,35500,55-64,Rest of Leinster,semi-detached,
K-10120,Switcher,1,1,no,1,4,3,0,0,351,36500,45-54,Munster,semi-detached,no
K-10121,Switcher,2,1,no,3,3,5,0,0,374,38000,45-54,Dublin,semi-detached,no
K-10122,Switcher,1,1,no,2,5,7,0,0,429,31500,35-44,Rest of Leinster,semi-detached,no
K-10123,Payer,4,1,yes,0,0,20,1,0,669,37500,25-34,Dublin,detached,
K-10124,Payer,3,2,yes,0,0,10,1,0,352,29500,25-34,Dublin,apartment,no
K-10125,Juggler,3,3,no,0,0,12,1,0,931,30500,45-54,Connacht,apartment,yes
K-10126,Payer,4,1,no,0,1,19,1,0,497,33000,45-54,Munster,terrace,no
K-10127,Switcher,4,1,no,1,5,3,1,0,349,31500,35-44,Dublin,semi-detached,yes
K-10128,Juggler,1,2,yes,1,1,3,1,1,976,51500,35-44,Dublin,detached,no
K-10129,Payer,3,2,yes,0,0,22,1,0,343,26500,65+,Munster,apartment,no
K-10130,Payer,4,1,yes,0,0,15,0,0,428,29500,55-64,Munster,terrace,yes
K-10131,Payer,4,1,yes,0,0,13,1,1,476,26500,25-34,Connacht,terrace,
K-10132,Payer,1,1,yes,0,1,20,0,0,519,51500,35-44,Munster,detached,yes
K-10133,Switcher,2,1,no,2,4,2,2,0,357,40000,35-44,Rest of Leinster,semi-detached,yes
K-10134,Juggler,3,4,no,2,2,2,3,0,1533,41500,35-44,Rest of Leinster,semi-detached,yes
K-10135,Juggler,1,3,yes,1,2,11,2,1,904,29000,45-54,Rest of Leinster,terrace,yes
K-10136,Juggler,1,4,yes,0,2,4,2,0,1770,50000,45-54,Connacht,detached,yes
K-10137,Juggler,4,4,yes,2,0,11,2,0,2000,51000,35-44,Dublin,detached,
K-10138,Payer,1,1,yes,0,1,21,1,0,449,31000,25-34,Connacht,semi-detached,yes
K-10139,Payer,4,1,yes,0,0,14,0,0,489,37500,35-44,Rest of Leinster,semi-detached,
K-10140,Switcher,3,1,no,3,5,7,0,0,426,31500,35-44,Connacht,semi-detached,yes
K-10141,Juggler,4,3,no,0,1,6,4,1,905,35000,45-54,Dublin,terrace,yes
K-10142,Payer,4,1,yes,0,0,8,1,0,419,24500,25-34,Dublin,terrace,no
K-10143,Switcher,1,1,yes,3,4,2,0,0,401,32500,65+,Dublin,semi-detached,no
K-10144,Payer,4,1,yes,0,0,23,0,0,663,53000,25-34,Munster,detached,
K-10145,Payer,2,1,yes,0,0,19,0,0,472,34000,25-34,Rest of Leinster,semi-detached,
K-10146,Switcher,2,1,no,2,3,4,1,0,289,24000,25-34,Munster,apartment,yes
K-10147,Switcher,1,1,no,3,2,6,0,0,414,42500,35-44,Munster,semi-detached,yes
K-10148,Payer,2,1,yes,0,0,10,1,1,460,40000,55-64,Munster,semi-detached,no
K-10149,Switcher,1,1,no,2,2,3,1,1,360,41000,35-44,Dublin,semi-detached,yes
K-10150,Payer,4,1,no,1,0,22,1,0,462,35000,35-44,Dublin,terrace,yes
K-10151,Payer,3,1,yes,0,0,17,0,0,328,21000,35-44,Munster,apartment,no
K-10152,Switcher,3,1,no,1,5,1,0,0,348,28000,35-44,Dublin,semi-detached,no
K-10153,Juggler,2,2,no,0,1,4,0,0,707,35500,45-54,Connacht,semi-detached,no
K-10154,Payer,2,1,yes,0,0,19,1,1,521,38500,45-54,Connacht,detached,no
K-10155,Payer,3,1,yes,0,0,20,0,0,454,30500,35-44,Munster,semi-detached,
K-10156,Juggler,1,3,no,1,2,11,3,1,1537,40500,45-54,Rest of Leinster,detached,yes
K-10157,Payer,1,1,yes,0,0,5,0,1,443,32000,45-54,Rest of Leinster,semi-detached,no
K-10158,Switcher,1,1,no,2,3,6,0,0,386,36500,65+,Rest of Leinster,semi-detached,no
K-10159,Juggler,2,3,no,0,1,6,3,1,920,24000,45-54,Munster,apartment,no
K-10160,Payer,3,1,yes,0,0,17,1,0,469,29000,45-54,Ulster,terrace,no
K-10161,Switcher,1,1,no,3,2,6,0,0,412,42500,55-64,Munster,semi-detached,yes
K-10162,Juggler,1,2,no,0,3,7,1,0,623,29500,25-34,Dublin,terrace,no
K-10163,Payer,2,1,yes,0,1,16,1,0,604,52000,35-44,Ulster,detached,yes
K-10164,Juggler,2,3,no,1,0,9,0,0,819,29000,45-54,Dublin,apartment,no
K-10165,Payer,4,2,yes,0,0,10,0,0,521,35000,35-44,Connacht,bungalow,
K-10166,Switcher,2,1,no,2,3,5,0,0,428,33500,65+,Munster,semi-detached,no
K-10167,Switcher,3,1,no,1,3,2,0,1,455,36500,55-64,Munster,detached,no
K-10168,Payer,2,1,yes,1,1,7,0,0,379,37000,25-34,Munster,terrace,yes
K-10169,Switcher,1,1,no,1,3,2,0,0,388,30000,45-54,Rest of Leinster,semi-detached,yes
K-10170,Payer,4,1,yes,0,0,21,0,0,496,39500,45-54,Rest of Leinster,semi-detached,yes
K-10171,Juggler,2,2,no,2,2,6,1,0,556,28500,45-54,Dublin,apartment,no
K-10172,Switcher,2,1,no,3,4,3,0,0,383,43500,35-44,Connacht,semi-detached,yes
K-10173,Payer,1,1,yes,0,0,20,0,0,546,40000,25-34,Connacht,detached,no
K-10174,Payer,4,1,yes,0,1,21,1,0,506,32500,45-54,Dublin,terrace,no
K-10175,Payer,3,2,yes,0,0,27,0,0,384,30000,25-34,Connacht,apartment,yes
K-10176,Juggler,1,4,no,1,0,10,3,0,1741,42500,35-44,Dublin,detached,yes
K-10177,Switcher,2,1,no,2,3,4,1,0,294,28500,45-54,Connacht,apartment,no
K-10178,Juggler,4,3,no,2,3,3,2,1,881,24000,55-64,Rest of Leinster,apartment,no
K-10179,Switcher,3,1,no,3,4,6,0,0,447,40000,55-64,Connacht,bungalow,no
K-10180,Payer,4,1,yes,0,0,10,0,0,587,42500,35-44,Ulster,detached,
K-10181,Payer,4,1,yes,0,0,19,0,0,411,26000,55-64,Dublin,apartment,
K-10182,Payer,2,1,yes,0,1,15,2,0,569,49500,35-44,Rest of Leinster,detached,yes
K-10183,Payer,2,1,yes,0,0,22,0,0,378,25000,65+,Dublin,terrace,no
K-10184,Switcher,3,1,yes,1,3,3,0,0,427,32500,65+,Rest of Leinster,semi-detached,no
K-10185,Payer,4,2,no,0,0,16,1,0,508,25000,35-44,Munster,terrace,no
K-10186,Switcher,1,1,no,2,5,4,1,0,398,35500,55-64,Munster,semi-detached,no
K-10187,Switcher,1,1,no,1,4,5,0,0,410,37000,55-64,Connacht,semi-detached,yes
K-10188,Payer,1,2,no,0,0,20,0,1,427,30000,45-54,Rest of Leinster,bungalow,no
K-10189,Switcher,2,1,no,1,3,5,2,0,510,41000,35-44,Dublin,detached,no
K-10190,Switcher,2,1,no,2,4,3,0,0,494,52000,65+,Connacht,detached,no
K-10191,Juggler,2,2,no,2,1,12,4,0,709,37000,45-54,Rest of Leinster,bungalow,no
K-10192,Payer,4,1,yes,0,0,20,0,1,572,37000,65+,Munster,bungalow,
K-10193,Payer,4,2,yes,0,0,12,2,0,512,34500,25-34,Munster,semi-detached,yes
K-10194,Switcher,1,1,no,1,4,1,0,0,400,35500,35-44,Dublin,bungalow,yes
K-10195,Switcher,2,1,no,3,3,1,0,0,416,39500,45-54,Rest of Leinster,bungalow,no
K-10196,Juggler,1,4,no,1,2,10,3,1,1032,26000,35-44,Munster,apartment,no
K-10197,Juggler,4,2,yes,1,1,21,0,0,1022,46000,55-64,Rest of Leinster,detached,yes
K-10198,Switcher,1,2,no,3,4,3,1,0,410,41000,45-54,Munster,semi-detached,no
K-10199,Payer,2,1,no,0,0,18,1,0,511,56000,25-34,Rest of Leinster,detached,
K-10200,Switcher,1,1,no,1,3,5,1,0,481,37500,35-44,Dublin,detached,no
K-10201,Switcher,1,1,no,3,3,4,0,0,372,35000,35-44,Connacht,terrace,
K-10202,Switcher,3,1,no,3,2,6,1,1,430,29000,25-34,Connacht,semi-detached,no
K-10203,Payer,2,1,yes,0,0,32,0,1,420,39500,45-54,Rest of Leinster,semi-detached,yes
K-10204,Juggler,1,3,no,1,2,10,0,0,1331,44500,45-54,Munster,detached,yes
K-10205,Juggler,4,3,no,2,2,9,1,0,1272,49000,45-54,Ulster,detached,
K-10206,Switcher,1,1,no,2,5,4,1,0,469,44000,55-64,Connacht,detached,yes
K-10207,Switcher,1,1,no,1,3,6,1,0,294,25000,25-34,Dublin,apartment,no
K-10208,Payer,3,2,yes,0,0,6,0,1,458,24000,45-54,Munster,terrace,no
K-10209,Juggler,2,2,yes,1,2,8,0,0,868,51500,35-44,Munster,detached,yes
K-10210,Payer,3,1,yes,0,1,18,0,0,517,37000,35-44,Munster,bungalow,no
K-10211,Payer,4,1,no,0,1,12,1,0,356,28000,65+,Dublin,apartment,no
K-10212,Switcher,2,1,no,1,5,7,0,0,319,35500,35-44,Connacht,terrace,no
K-10213,Switcher,1,1,no,2,3,6,1,0,325,27500,65+,Munster,terrace,no
K-10214,Switcher,1,1,no,3,5,5,0,1,376,39000,35-44,Ulster,semi-detached,no
K-10215,Switcher,2,1,no,2,4,10,0,0,485,51000,35-44,Rest of Leinster,detached,yes
K-10216,Payer,2,2,no,0,0,10,0,0,464,31000,25-34,Connacht,terrace,yes
K-10217,Juggler,3,2,yes,1,1,12,1,0,569,23500,45-54,Connacht,apartment,no
K-10218,Payer,2,1,yes,0,0,15,1,0,499,28000,45-54,Dublin,semi-detached,no
K-10219,Juggler,4,3,no,0,1,13,1,1,1415,43000,25-34,Dublin,detached,no
K-10220,Switcher,2,2,no,1,4,6,0,2,350,38500,35-44,Connacht,semi-detached,yes
K-10221,Payer,3,1,yes,0,1,15,2,0,515,31500,45-54,Munster,semi-detached,no
K-10222,Payer,4,1,yes,1,0,12,1,0,486,35500,45-54,Munster,terrace,
K-10223,Juggler,2,3,no,2,3,13,3,0,1166,38000,35-44,Munster,semi-detached,no
K-10224,Payer,4,1,yes,0,0,11,0,0,547,35000,35-44,Rest of Leinster,bungalow,
K-10225,Switcher,3,1,no,3,4,5,0,0,429,39500,45-54,Dublin,semi-detached,no
K-10226,Switcher,3,1,no,2,3,4,1,0,387,33500,55-64,Munster,terrace,no
K-10227,Juggler,2,4,yes,0,2,7,1,1,1663,30000,35-44,Munster,semi-detached,no
K-10228,Payer,2,1,yes,0,0,11,1,0,327,24500,55-64,Rest of Leinster,apartment,no
K-10229,Switcher,1,1,no,2,4,2,0,0,504,38000,35-44,Rest of Leinster,detached,yes
K-10230,Payer,4,1,yes,0,1,13,1,0,535,28000,55-64,Connacht,semi-detached,
K-10231,Juggler,2,3,yes,1,1,9,3,0,1273,56000,35-44,Dublin,detached,yes
K-10232,Payer,2,2,yes,0,0,23,0,0,429,25500,45-54,Munster,terrace,no
K-10233,Payer,4,1,yes,0,0,20,2,0,420,21500,35-44,Rest of Leinster,apartment,
K-10234,Payer,3,1,yes,0,0,19,0,0,571,40000,65+,Rest of Leinster,detached,no
K-10235,Payer,4,1,yes,0,0,19,0,1,484,36500,45-54,Dublin,semi-detached,no
K-10236,Juggler,2,3,no,1,2,8,1,0,1038,36000,35-44,Rest of Leinster,semi-detached,yes
K-10237,Payer,2,1,yes,0,1,11,0,0,429,28000,35-44,Connacht,semi-detached,no
K-10238,Switcher,1,1,no,2,2,6,0,0,417,35000,35-44,Dublin,semi-detached,yes
K-10239,Payer,4,1,yes,0,0,15,0,2,406,30500,35-44,Connacht,terrace,
K-10240,Payer,2,2,yes,0,0,7,0,0,506,44500,35-44,Rest of Leinster,detached,yes
K-10241,Switcher,3,2,no,1,4,3,0,0,370,39500,35-44,Rest of Leinster,semi-detached,yes
K-10242,Juggler,1,3,no,1,1,9,2,0,1189,32000,35-44,Dublin,semi-detached,no
K-10243,Switcher,1,1,no,2,4,1,0,0,302,29500,45-54,Rest of Leinster,apartment,no
K-10244,Payer,4,1,yes,0,0,11,2,1,557,43500,25-34,Rest of Leinster,semi-detached,
K-10245,Switcher,1,1,no,2,4,5,0,0,285,27500,45-54,Munster,apartment,yes
K-10246,Payer,2,1,yes,0,0,13,0,1,577,42500,45-54,Munster,detached,yes
K-10247,Switcher,2,1,no,3,3,2,0,0,411,30000,35-44,Connacht,semi-detached,yes
K-10248,Switcher,2,2,no,2,5,3,0,0,347,32500,55-64,Munster,semi-detached,yes
K-10249,Switcher,1,1,no,2,5,4,0,0,525,49000,35-44,Munster,detached,yes
K-10250,Payer,4,1,yes,1,1,19,1,1,524,33000,45-54,Rest of Leinster,semi-detached,
K-10251,Switcher,4,1,no,2,3,6,2,0,441,44500,35-44,Connacht,detached,yes
K-10252,Payer,2,1,no,0,0,12,0,0,338,27500,55-64,Rest of Leinster,apartment,yes
K-10253,Switcher,2,1,no,1,3,3,0,0,530,54000,65+,Munster,detached,
K-10254,Payer,4,1,yes,0,0,18,2,0,428,28500,55-64,Dublin,terrace,
K-10255,Payer,2,1,yes,1,0,15,0,0,438,42500,35-44,Rest of Leinster,semi-detached,
K-10256,Juggler,3,3,yes,0,2,4,2,0,1060,34500,35-44,Munster,semi-detached,yes
K-10257,Juggler,2,3,yes,1,1,10,2,1,1198,36500,35-44,Rest of Leinster,semi-detached,yes
K-10258,Switcher,2,1,no,2,4,5,2,1,358,39500,45-54,Munster,semi-detached,no
K-10259,Juggler,2,2,no,2,3,16,4,0,677,27000,25-34,Rest of Leinster,terrace,yes
K-10260,Juggler,1,2,yes,0,2,2,1,0,775,36000,25-34,Dublin,semi-detached,yes
K-10261,Switcher,3,1,no,3,3,3,0,0,454,44500,35-44,Connacht,detached,yes
K-10262,Switcher,1,1,no,2,4,3,0,1,320,27000,45-54,Rest of Leinster,apartment,no
K-10263,Juggler,3,3,no,0,2,7,4,0,1103,32500,25-34,Connacht,semi-detached,yes
K-10264,Juggler,3,3,no,0,3,9,1,0,986,29500,45-54,Rest of Leinster,terrace,no
K-10265,Juggler,1,2,no,0,3,10,1,0,829,31500,35-44,Dublin,semi-detached,yes
K-10266,Juggler,4,4,no,0,2,14,0,1,1535,44000,45-54,Dublin,semi-detached,yes
K-10267,Payer,3,1,yes,0,0,16,1,0,489,27500,35-44,Munster,terrace,
K-10268,Payer,3,1,yes,0,0,16,0,1,586,53000,45-54,Munster,detached,
K-10269,Juggler,3,2,no,1,3,7,3,0,762,31500,35-44,Munster,semi-detached,no
K-10270,Payer,3,1,yes,1,1,26,1,0,612,43500,65+,Rest of Leinster,detached,no
K-10271,Switcher,3,1,no,3,5,5,0,0,396,36000,35-44,Dublin,terrace,no
K-10272,Payer,3,1,yes,0,1,16,1,0,507,37000,55-64,Munster,semi-detached,
K-10273,Switcher,4,1,no,2,3,9,0,0,366,29000,35-44,Rest of Leinster,terrace,yes
K-10274,Payer,1,1,yes,0,0,10,2,0,413,30500,45-54,Rest of Leinster,semi-detached,yes
K-10275,Switcher,2,1,no,3,3,5,0,0,317,26000,25-34,Dublin,apartment,no
K-10276,Payer,3,1,yes,0,0,21,0,0,425,35500,55-64,Munster,semi-detached,yes
K-10277,Payer,4,2,yes,0,1,24,1,0,542,41500,65+,Connacht,semi-detached,no
K-10278,Switcher,1,1,no,3,3,2,1,0,422,37000,55-64,Rest of Leinster,semi-detached,no
K-10279,Switcher,2,1,no,1,4,5,0,0,388,33500,35-44,Munster,semi-detached,yes
K-10280,Payer,2,1,no,0,0,15,1,0,426,25500,25-34,Munster,terrace,no
K-10281,Payer,3,1,yes,0,0,25,0,0,462,29500,45-54,Dublin,terrace,
K-10282,Switcher,4,1,no,2,3,1,0,0,374,35500,35-44,Ulster,terrace,no
K-10283,Payer,4,1,yes,0,1,20,1,0,338,25000,45-54,Munster,apartment,no
K-10284,Payer,4,1,yes,0,1,24,0,0,563,42000,55-64,Rest of Leinster,semi-detached,yes
K-10285,Payer,2,1,yes,0,0,32,1,0,510,38500,45-54,Rest of Leinster,semi-detached,yes
K-10286,Switcher,1,1,no,2,4,6,2,0,425,36000,45-54,Rest of Leinster,semi-detached,yes
K-10287,Juggler,3,3,no,0,2,9,1,1,1083,34000,65+,Connacht,semi-detached,no
