sector,county,staff,uses_ai,monthly_spend,round
Tourism and hospitality,Mayo,48,no,218,H2 2025
Property,Cork,14,yes,67,H2 2025
Financial services,Mayo,37,no,224,H1 2026
Health,Galway,15,no,321,H1 2026
Public sector,Louth,40,yes,-56,H2 2025
Tourism and hospitality,Mayo,7,yes,452,H1 2026
Financial services,Limerick,59,yes,82,H2 2025
Professional services,Louth,45,no,209,H2 2025
Property,Kildare,44,no,185,H2 2025
Retail and ecommerce,Limerick,16,yes,194,H1 2026
Health,Mayo,41,no,272,H2 2025
Financial services,Kildare,14,no,211,H2 2025
Tourism and hospitality,Kildare,35,yes,93,H2 2025
Professional services,Kildare,-8,no,321,H1 2026
Professional services,Cork,35,no,87,H1 2026
Property,Cork,24,no,199,H2 2025
Public sector,Louth,39,yes,99,H1 2026
Public sector,Limerick,31,no,175,H2 2025
Property,Louth,57,no,199,H2 2025
Tourism and hospitality,Louth,20,no,256,H2 2025
Professional services,Galway,38,no,8,H1 2026
Public sector,Limerick,3,yes,340,H2 2025
Professional services,Limerick,57,no,-20,H2 2025
Retail and ecommerce,Louth,32,yes,116,H1 2026
Property,Mayo,62,no,249,H2 2025
Health,Mayo,16,yes,248,H2 2025
Health,Louth,59,yes,246,H1 2026
Public sector,Limerick,30,yes,336,H1 2026
Professional services,Limerick,34,yes,11,H1 2026
Professional services,Kildare,12,no,362,H2 2025
Financial services,Cork,34,no,133,H1 2026
Professional services,Mayo,37,yes,87,H1 2026
Financial services,Cork,50,no,156,H2 2025
Property,Limerick,19,no,215,H2 2025
Professional services,Louth,33,no,146,H2 2025
Professional services,Cork,22,yes,293,H2 2025
Public sector,Galway,40,no,131,H2 2025
Professional services,Louth,11,yes,401,H1 2026
Public sector,Kildare,46,no,155,H2 2025
Professional services,Louth,27,yes,95,H1 2026
Retail and ecommerce,Cork,59,yes,254,H2 2025
Financial services,Mayo,17,no,71,H2 2025
Retail and ecommerce,Cork,55,no,294,H2 2025
Tourism and hospitality,Meath,17,no,204,H2 2025
Property,Cork,43,no,-27,H1 2026
Retail and ecommerce,Mayo,2,yes,464,H2 2025
Public sector,Louth,41,yes,4,H2 2025
Health,Louth,24,no,162,H1 2026
Health,Cork,45,no,195,H2 2025
Public sector,Limerick,30,no,114,H1 2026
Retail and ecommerce,Kildare,56,yes,303,H2 2025
Tourism and hospitality,Kildare,5,yes,305,H1 2026
Property,Louth,54,yes,113,H1 2026
Health,Louth,-8,yes,406,H2 2025
Health,Louth,42,no,147,H1 2026
Professional services,Galway,34,no,210,H2 2025
Professional services,Cork,47,no,64,H1 2026
Professional services,Louth,9,no,108,H1 2026
Retail and ecommerce,Louth,43,no,203,H2 2025
Retail and ecommerce,Cork,27,no,178,H1 2026
Property,Louth,46,yes,-44,H1 2026
Tourism and hospitality,Kildare,1,yes,354,H1 2026
Property,Limerick,58,no,8,H2 2025
Financial services,Mayo,31,no,147,H2 2025
Professional services,Mayo,36,no,188,H2 2025
Retail and ecommerce,Louth,21,no,142,H1 2026
Financial services,Louth,42,yes,189,H2 2025
Professional services,Meath,29,yes,187,H1 2026
Professional services,Louth,55,yes,129,H1 2026
Professional services,Louth,-11,yes,291,H1 2026
Financial services,Louth,35,yes,-1,H2 2025
Health,Mayo,24,yes,182,H1 2026
Health,Meath,36,no,194,H1 2026
Tourism and hospitality,Meath,14,no,168,H1 2026
Professional services,Louth,44,no,170,H1 2026
Health,Mayo,31,yes,238,H1 2026
Health,Louth,37,no,63,H1 2026
Public sector,Meath,8,no,273,H2 2025
Retail and ecommerce,Kildare,42,yes,66,H1 2026
Tourism and hospitality,Meath,44,no,116,H2 2025
Professional services,Galway,40,no,236,H2 2025
Tourism and hospitality,Meath,21,no,116,H2 2025
Public sector,Meath,37,no,292,H2 2025
Property,Kildare,9,no,151,H2 2025
Tourism and hospitality,Limerick,50,yes,-55,H1 2026
Professional services,Louth,-3,no,366,H2 2025
Tourism and hospitality,Galway,54,yes,25,H2 2025
Professional services,Galway,36,no,100,H1 2026
Public sector,Louth,40,yes,84,H2 2025
Property,Limerick,34,yes,73,H2 2025
Professional services,Louth,57,no,209,H1 2026
Professional services,Galway,7,no,258,H2 2025
Tourism and hospitality,Limerick,53,yes,-21,H1 2026
Professional services,Cork,7,no,385,H1 2026
Public sector,Kildare,46,no,80,H1 2026
Health,Meath,39,yes,197,H2 2025
Financial services,Meath,54,yes,177,H2 2025
Health,Limerick,33,yes,212,H1 2026
Health,Louth,53,yes,218,H1 2026
Financial services,Meath,29,no,196,H2 2025
Property,Meath,32,yes,8,H2 2025
Property,Cork,1,yes,403,H1 2026
Retail and ecommerce,Limerick,34,yes,57,H2 2025
Professional services,Galway,45,yes,59,H1 2026
Public sector,Meath,35,no,86,H2 2025
Health,Mayo,24,yes,194,H1 2026
Health,Louth,57,yes,142,H2 2025
Health,Louth,24,yes,271,H2 2025
Professional services,Cork,37,no,90,H2 2025
Financial services,Galway,-4,no,341,H2 2025
Professional services,Cork,48,no,-6,H1 2026
Retail and ecommerce,Limerick,31,yes,192,H1 2026
Health,Louth,55,no,239,H2 2025
Financial services,Louth,20,yes,230,H2 2025
Property,Limerick,46,no,290,H2 2025
Financial services,Cork,15,no,302,H1 2026
Professional services,Limerick,43,yes,128,H2 2025
Professional services,Louth,-2,no,273,H2 2025
Professional services,Limerick,40,no,6,H1 2026
Tourism and hospitality,Louth,39,no,214,H1 2026
Public sector,Meath,56,yes,216,H2 2025
Professional services,Mayo,28,no,149,H1 2026
Public sector,Kildare,58,yes,232,H2 2025
Property,Meath,21,no,295,H1 2026
Health,Louth,50,no,99,H1 2026
Property,Limerick,11,yes,423,H1 2026
Property,Cork,49,no,94,H2 2025
Public sector,Galway,33,yes,48,H1 2026
Professional services,Meath,58,yes,163,H2 2025
Professional services,Meath,12,no,175,H1 2026
Financial services,Limerick,33,yes,146,H2 2025
Financial services,Cork,9,no,196,H2 2025
Health,Louth,34,yes,-34,H2 2025
Public sector,Cork,-4,yes,421,H2 2025
Property,Kildare,37,yes,84,H2 2025
Public sector,Meath,22,no,114,H2 2025
Property,Kildare,48,no,239,H2 2025
Health,Cork,22,no,124,H1 2026
Health,Galway,46,yes,234,H1 2026
Health,Kildare,12,yes,177,H1 2026
Financial services,Galway,40,no,34,H2 2025
Public sector,Limerick,-8,yes,407,H1 2026
Financial services,Kildare,34,yes,52,H1 2026
Professional services,Louth,35,yes,173,H2 2025
Tourism and hospitality,Louth,51,yes,216,H1 2026
Tourism and hospitality,Louth,22,no,208,H2 2025
Tourism and hospitality,Mayo,50,no,298,H2 2025
Professional services,Louth,28,yes,151,H2 2025
Public sector,Limerick,51,no,135,H1 2026
Retail and ecommerce,Cork,3,yes,363,H2 2025
Property,Cork,35,yes,85,H2 2025
Retail and ecommerce,Cork,35,no,158,H1 2026
Retail and ecommerce,Louth,48,no,119,H1 2026
Professional services,Louth,9,yes,173,H2 2025
Public sector,Galway,45,yes,260,H2 2025
Property,Louth,14,yes,172,H2 2025
Retail and ecommerce,Cork,31,yes,46,H2 2025
Professional services,Louth,2,yes,378,H1 2026
Property,Meath,34,no,67,H1 2026
Property,Limerick,45,no,102,H1 2026
Financial services,Limerick,53,no,215,H1 2026
Property,Louth,15,yes,154,H2 2025
Financial services,Limerick,42,yes,325,H1 2026
Health,Kildare,30,no,222,H1 2026
Public sector,Galway,46,no,-23,H1 2026
Public sector,Louth,-11,yes,300,H2 2025
Tourism and hospitality,Louth,59,yes,92,H1 2026
Retail and ecommerce,Louth,26,yes,55,H2 2025
Health,Kildare,39,yes,235,H2 2025
Property,Galway,30,no,213,H2 2025
Professional services,Kildare,49,no,179,H2 2025
Retail and ecommerce,Galway,28,yes,268,H1 2026
Financial services,Louth,36,no,21,H1 2026
Property,Cork,-2,yes,393,H2 2025
Tourism and hospitality,Meath,49,yes,122,H2 2025
Property,Galway,23,yes,118,H2 2025
Financial services,Mayo,58,no,146,H1 2026
Tourism and hospitality,Meath,36,yes,205,H1 2026
Public sector,Limerick,58,no,255,H2 2025
Retail and ecommerce,Mayo,13,yes,171,H2 2025
Retail and ecommerce,Louth,49,no,15,H2 2025
Financial services,Cork,9,no,277,H1 2026
Tourism and hospitality,Limerick,52,yes,-27,H2 2025
Financial services,Louth,44,no,63,H2 2025
Financial services,Limerick,45,yes,89,H2 2025
Professional services,Meath,16,no,230,H2 2025
Tourism and hospitality,Meath,54,no,131,H1 2026
Tourism and hospitality,Galway,23,yes,303,H1 2026
Property,Mayo,41,yes,-12,H1 2026
Financial services,Louth,11,yes,378,H2 2025
Retail and ecommerce,Kildare,36,no,150,H1 2026
Property,Meath,47,yes,107,H1 2026
Health,Mayo,59,no,239,H1 2026
Professional services,Limerick,18,yes,80,H1 2026
Health,Limerick,52,no,160,H1 2026
Property,Kildare,28,no,226,H2 2025
Health,Cork,36,no,46,H2 2025
Professional services,Louth,13,no,337,H2 2025
Professional services,Louth,42,yes,153,H2 2025
Professional services,Galway,47,yes,199,H1 2026
Property,Meath,43,yes,79,H1 2026
Public sector,Meath,33,no,136,H1 2026
Tourism and hospitality,Louth,55,yes,189,H1 2026
Retail and ecommerce,Limerick,7,yes,332,H2 2025
Professional services,Limerick,31,yes,-11,H1 2026
Professional services,Limerick,5,no,407,H2 2025
Health,Cork,40,yes,102,H1 2026
Professional services,Meath,26,yes,99,H1 2026
Financial services,Louth,55,no,216,H2 2025
Professional services,Galway,13,yes,105,H2 2025
Health,Meath,34,no,140,H2 2025
Professional services,Kildare,9,no,177,H1 2026
Professional services,Louth,43,yes,-8,H2 2025
Tourism and hospitality,Louth,-1,yes,448,H2 2025
Retail and ecommerce,Mayo,60,yes,147,H1 2026
Property,Kildare,35,no,131,H1 2026
Financial services,Cork,58,yes,211,H1 2026
Public sector,Galway,35,no,212,H2 2025
Health,Meath,58,yes,175,H1 2026
Tourism and hospitality,Meath,24,no,294,H2 2025
Health,Louth,45,yes,-52,H1 2026
Public sector,Kildare,4,no,406,H1 2026
Financial services,Limerick,55,no,56,H2 2025
Financial services,Louth,38,yes,50,H1 2026
Tourism and hospitality,Louth,47,yes,74,H2 2025
Professional services,Cork,31,no,105,H2 2025
Health,Louth,59,no,292,H1 2026
Public sector,Meath,19,no,315,H2 2025
Retail and ecommerce,Cork,41,no,39,H1 2026
Financial services,Mayo,-10,no,428,H1 2026
Property,Cork,39,no,-25,H1 2026
Professional services,Limerick,33,no,152,H1 2026
Public sector,Meath,48,yes,78,H2 2025
Financial services,Mayo,27,yes,130,H1 2026
Retail and ecommerce,Cork,37,yes,170,H1 2026
Professional services,Limerick,22,no,234,H1 2026
Public sector,Galway,37,yes,-26,H1 2026
Retail and ecommerce,Limerick,11,yes,451,H2 2025
Financial services,Mayo,44,no,-29,H1 2026
Professional services,Cork,29,no,94,H1 2026
Tourism and hospitality,Cork,46,no,66,H1 2026
Health,Mayo,31,no,146,H1 2026
Public sector,Kildare,45,no,136,H2 2025
Tourism and hospitality,Limerick,11,no,279,H1 2026
Retail and ecommerce,Kildare,51,no,-51,H2 2025
Professional services,Kildare,0,yes,411,H1 2026
Financial services,Louth,54,no,-23,H2 2025
Retail and ecommerce,Galway,21,yes,161,H1 2026
Professional services,Louth,37,yes,247,H2 2025
Tourism and hospitality,Kildare,14,yes,67,H2 2025
Retail and ecommerce,Kildare,33,yes,165,H1 2026
Retail and ecommerce,Louth,5,yes,297,H2 2025
Property,Cork,35,no,118,H2 2025
Financial services,Cork,-6,no,460,H1 2026
Tourism and hospitality,Cork,34,yes,49,H1 2026
Property,Meath,24,yes,185,H2 2025
Property,Cork,58,no,229,H1 2026
Tourism and hospitality,Louth,21,yes,114,H2 2025
Retail and ecommerce,Louth,54,no,185,H1 2026
Public sector,Louth,18,yes,257,H1 2026
Retail and ecommerce,Galway,42,yes,40,H2 2025
Property,Limerick,2,yes,413,H2 2025
Financial services,Meath,58,no,37,H2 2025
Tourism and hospitality,Cork,24,no,73,H1 2026
Public sector,Louth,36,yes,138,H1 2026
Financial services,Galway,23,yes,123,H2 2025
Health,Cork,52,yes,166,H1 2026
Professional services,Mayo,23,yes,167,H2 2025
Financial services,Meath,37,yes,-47,H2 2025
Retail and ecommerce,Louth,13,no,379,H1 2026
Professional services,Kildare,38,yes,157,H1 2026
Financial services,Mayo,27,yes,112,H2 2025
Public sector,Cork,50,no,178,H2 2025
Health,Limerick,34,no,56,H1 2026
Retail and ecommerce,Galway,42,yes,256,H1 2026
Tourism and hospitality,Louth,16,yes,258,H2 2025
Professional services,Limerick,40,yes,36,H1 2026
Financial services,Cork,-3,yes,387,H2 2025
Tourism and hospitality,Limerick,50,no,-30,H1 2026
Health,Cork,42,yes,97,H2 2025
Tourism and hospitality,Louth,41,yes,92,H1 2026
Tourism and hospitality,Cork,21,no,93,H1 2026
Tourism and hospitality,Galway,39,yes,131,H1 2026
Retail and ecommerce,Kildare,23,no,258,H2 2025
Professional services,Kildare,46,no,42,H1 2026
Tourism and hospitality,Louth,5,no,284,H2 2025
Health,Limerick,37,no,101,H1 2026
Property,Galway,22,no,219,H2 2025
Professional services,Louth,49,yes,188,H2 2025
Public sector,Limerick,29,no,56,H1 2026
Tourism and hospitality,Limerick,44,no,176,H1 2026
Retail and ecommerce,Meath,25,yes,277,H1 2026
Retail and ecommerce,Meath,47,yes,24,H1 2026
Retail and ecommerce,Mayo,-5,yes,310,H1 2026
Health,Galway,42,yes,31,H2 2025
Financial services,Meath,26,no,162,H1 2026
Tourism and hospitality,Mayo,35,yes,185,H2 2025
Property,Mayo,20,no,102,H2 2025
Retail and ecommerce,Limerick,37,yes,181,H2 2025
Professional services,Louth,15,no,338,H1 2026
Professional services,Louth,47,no,9,H2 2025
Financial services,Meath,8,yes,309,H1 2026
Public sector,Kildare,39,yes,28,H2 2025
Retail and ecommerce,Cork,39,yes,98,H1 2026
Public sector,Kildare,40,no,186,H2 2025
Public sector,Mayo,10,no,143,H2 2025
Public sector,Louth,55,no,221,H2 2025
Tourism and hospitality,Limerick,19,yes,264,H2 2025
Professional services,Limerick,52,yes,107,H1 2026
Professional services,Mayo,8,yes,455,H2 2025
Professional services,Galway,59,no,-23,H1 2026
Professional services,Cork,25,no,100,H1 2026
Professional services,Kildare,53,yes,63,H1 2026
Professional services,Meath,35,no,233,H1 2026
Professional services,Limerick,32,yes,272,H2 2025
Retail and ecommerce,Kildare,24,no,241,H2 2025
Public sector,Galway,53,no,49,H1 2026
Professional services,Mayo,10,no,408,H1 2026
Financial services,Louth,41,no,96,H2 2025
Financial services,Limerick,39,yes,191,H2 2025
Tourism and hospitality,Cork,60,yes,183,H1 2026
Tourism and hospitality,Louth,13,no,199,H1 2026
Property,Limerick,58,no,299,H1 2026
Public sector,Meath,16,no,311,H1 2026
Retail and ecommerce,Mayo,47,yes,-40,H2 2025
Public sector,Galway,1,yes,314,H2 2025
Health,Meath,54,no,91,H2 2025
Retail and ecommerce,Galway,29,no,41,H1 2026
Professional services,Louth,36,no,192,H1 2026
Financial services,Louth,17,no,158,H1 2026
Retail and ecommerce,Kildare,43,no,168,H1 2026
Health,Mayo,15,yes,300,H1 2026
Professional services,Cork,33,no,106,H2 2025
Retail and ecommerce,Galway,8,yes,337,H1 2026
Retail and ecommerce,Cork,39,yes,23,H2 2025
Tourism and hospitality,Mayo,19,yes,74,H1 2026
Tourism and hospitality,Galway,34,yes,155,H1 2026
Financial services,Louth,12,yes,169,H1 2026
Professional services,Mayo,34,yes,255,H2 2025
Property,Galway,17,no,180,H1 2026
Professional services,Mayo,46,yes,48,H1 2026
Professional services,Meath,-4,yes,383,H1 2026
Professional services,Kildare,45,no,32,H2 2025
Tourism and hospitality,Meath,32,no,79,H2 2025
Retail and ecommerce,Meath,59,yes,182,H2 2025
Tourism and hospitality,Louth,10,yes,164,H1 2026
Property,Cork,47,yes,304,H1 2026
Health,Meath,11,no,157,H2 2025
Tourism and hospitality,Cork,54,no,56,H1 2026
Health,Kildare,11,no,339,H1 2026
Public sector,Galway,41,yes,11,H2 2025
Retail and ecommerce,Galway,29,no,41,H2 2025
Professional services,Louth,59,no,120,H1 2026
Retail and ecommerce,Meath,32,no,217,H1 2026
Professional services,Meath,35,no,313,H2 2025
Professional services,Galway,16,no,190,H2 2025
Professional services,Mayo,45,no,17,H1 2026
Financial services,Louth,1,no,281,H2 2025
Public sector,Mayo,37,yes,48,H2 2025
Property,Galway,35,yes,189,H2 2025
Professional services,Louth,37,no,204,H2 2025
Financial services,Louth,12,no,140,H2 2025
Professional services,Louth,42,no,129,H1 2026
Public sector,Galway,28,yes,182,H1 2026
Health,Galway,48,yes,107,H1 2026
Professional services,Louth,12,yes,290,H2 2025
Tourism and hospitality,Kildare,54,no,93,H2 2025
Retail and ecommerce,Limerick,33,no,120,H2 2025
Professional services,Louth,48,yes,203,H2 2025
Professional services,Louth,10,no,96,H2 2025
Professional services,Louth,38,yes,216,H2 2025
Financial services,Galway,28,no,212,H2 2025
Tourism and hospitality,Kildare,53,yes,17,H1 2026
Health,Cork,7,no,377,H1 2026
Financial services,Cork,34,yes,149,H2 2025
Public sector,Louth,30,yes,161,H2 2025
Property,Mayo,41,yes,192,H1 2026
Retail and ecommerce,Kildare,34,no,80,H1 2026
Tourism and hospitality,Mayo,43,yes,192,H1 2026
Health,Cork,18,yes,311,H1 2026
Professional services,Louth,46,no,-33,H2 2025
Retail and ecommerce,Mayo,-11,yes,359,H1 2026
Property,Cork,39,yes,58,H2 2025
Health,Louth,36,yes,150,H2 2025
Financial services,Kildare,47,yes,89,H2 2025
Professional services,Louth,11,no,250,H2 2025
Retail and ecommerce,Mayo,38,yes,164,H1 2026
Public sector,Louth,19,yes,334,H2 2025
Health,Kildare,57,yes,66,H1 2026
Tourism and hospitality,Mayo,5,yes,273,H1 2026
Retail and ecommerce,Mayo,50,no,102,H1 2026
Health,Mayo,22,no,44,H2 2025
Property,Louth,43,no,230,H1 2026
Public sector,Louth,23,yes,226,H1 2026
Property,Meath,43,yes,196,H1 2026
Tourism and hospitality,Mayo,9,yes,291,H2 2025
Property,Louth,56,no,84,H1 2026
Professional services,Mayo,-7,no,360,H2 2025
Financial services,Louth,41,no,-16,H1 2026
Retail and ecommerce,Louth,26,yes,67,H1 2026
Retail and ecommerce,Kildare,40,no,186,H1 2026
Financial services,Galway,17,no,193,H2 2025
Public sector,Louth,39,yes,282,H2 2025
Professional services,Meath,22,yes,210,H1 2026
Tourism and hospitality,Mayo,37,no,120,H2 2025
Tourism and hospitality,Louth,2,yes,388,H1 2026
Property,Louth,36,yes,155,H2 2025
Public sector,Louth,29,no,69,H2 2025
Health,Kildare,45,yes,191,H2 2025
Professional services,Louth,16,yes,141,H1 2026
Professional services,Louth,53,yes,161,H1 2026
Professional services,Louth,19,no,258,H2 2025
Health,Louth,43,yes,104,H1 2026
Tourism and hospitality,Cork,4,no,323,H1 2026
Tourism and hospitality,Louth,40,no,-2,H2 2025
Public sector,Kildare,21,yes,105,H2 2025
Tourism and hospitality,Mayo,49,yes,255,H2 2025
Professional services,Louth,20,no,222,H1 2026
Health,Meath,39,no,321,H2 2025
Public sector,Mayo,29,yes,271,H2 2025
Property,Limerick,57,no,-17,H1 2026
Health,Limerick,11,no,316,H2 2025
Financial services,Mayo,33,yes,146,H1 2026
Health,Kildare,29,no,57,H1 2026
Financial services,Kildare,43,yes,141,H2 2025
Health,Kildare,28,no,149,H1 2026
Health,Mayo,59,no,133,H1 2026
Professional services,Louth,26,no,300,H1 2026
Professional services,Limerick,46,yes,-43,H2 2025
Financial services,Kildare,8,yes,466,H2 2025
Health,Mayo,42,yes,92,H1 2026
Public sector,Limerick,39,yes,115,H1 2026
Financial services,Mayo,41,yes,212,H1 2026
Property,Galway,22,no,82,H2 2025
Retail and ecommerce,Meath,35,yes,214,H2 2025
Tourism and hospitality,Galway,29,yes,173,H1 2026
Health,Kildare,46,no,78,H1 2026
Health,Limerick,-4,no,290,H1 2026
Retail and ecommerce,Louth,39,no,152,H1 2026
Public sector,Cork,33,yes,39,H2 2025
Property,Galway,45,no,140,H2 2025
Tourism and hospitality,Cork,11,no,66,H2 2025
Financial services,Mayo,44,yes,319,H2 2025
Tourism and hospitality,Cork,24,no,172,H1 2026
Professional services,Cork,39,yes,111,H1 2026
Professional services,Limerick,8,yes,344,H1 2026
Property,Cork,37,yes,32,H2 2025
Retail and ecommerce,Limerick,38,no,73,H1 2026
Tourism and hospitality,Louth,35,no,102,H2 2025
Professional services,Limerick,15,yes,184,H1 2026
Public sector,Louth,44,yes,217,H1 2026
Financial services,Louth,10,yes,345,H2 2025
Professional services,Louth,45,yes,107,H1 2026
Property,Galway,2,no,273,H1 2026
Financial services,Mayo,46,yes,-1,H1 2026
Professional services,Kildare,42,no,30,H2 2025
Professional services,Mayo,39,no,258,H1 2026
Professional services,Kildare,18,no,97,H1 2026
Tourism and hospitality,Kildare,59,no,295,H1 2026
Professional services,Kildare,22,no,340,H2 2025
Public sector,Kildare,54,no,67,H1 2026
Professional services,Limerick,-12,no,437,H1 2026
Financial services,Louth,59,no,33,H2 2025
Financial services,Limerick,36,yes,213,H2 2025
Public sector,Limerick,56,no,241,H1 2026
Health,Louth,24,yes,224,H2 2025
Retail and ecommerce,Limerick,39,yes,257,H1 2026
Financial services,Cork,15,yes,248,H2 2025
Public sector,Kildare,53,no,30,H2 2025
Retail and ecommerce,Limerick,3,yes,336,H1 2026
Tourism and hospitality,Limerick,46,no,160,H1 2026
Retail and ecommerce,Cork,39,yes,96,H2 2025
Health,Kildare,59,yes,229,H2 2025
Professional services,Galway,26,yes,60,H2 2025
Financial services,Mayo,47,no,314,H1 2026
Property,Cork,18,no,337,H2 2025
Public sector,Cork,49,yes,92,H1 2026
Health,Meath,4,no,273,H2 2025
Public sector,Louth,52,yes,129,H1 2026
Retail and ecommerce,Cork,20,yes,140,H2 2025
Retail and ecommerce,Meath,60,no,230,H2 2025
Health,Mayo,14,yes,173,H1 2026
Public sector,Galway,48,yes,210,H1 2026
Public sector,Cork,18,yes,206,H2 2025
Professional services,Louth,41,no,-51,H1 2026
Professional services,Limerick,-9,no,305,H2 2025
Tourism and hospitality,Kildare,48,yes,104,H1 2026
Public sector,Louth,26,no,139,H2 2025
Professional services,Louth,61,yes,237,H2 2025
Property,Galway,17,yes,247,H1 2026
Professional services,Kildare,50,no,282,H1 2026
Public sector,Cork,5,no,274,H1 2026
Retail and ecommerce,Cork,36,yes,125,H1 2026
Health,Limerick,-1,yes,314,H1 2026
Professional services,Galway,43,yes,4,H2 2025
Property,Mayo,46,no,83,H2 2025
Property,Galway,52,yes,79,H2 2025
Professional services,Louth,30,no,234,H2 2025
Financial services,Meath,46,yes,242,H1 2026
Professional services,Kildare,12,no,164,H2 2025
Professional services,Kildare,55,no,42,H1 2026
Professional services,Louth,-9,yes,464,H2 2025
Financial services,Louth,33,no,-19,H2 2025
Financial services,Limerick,24,no,179,H2 2025
Financial services,Louth,42,yes,258,H1 2026
Health,Mayo,34,yes,83,H2 2025
Professional services,Galway,35,yes,222,H2 2025
Financial services,Mayo,16,no,310,H1 2026
Health,Kildare,42,yes,106,H2 2025
Tourism and hospitality,Kildare,11,yes,458,H2 2025
Professional services,Mayo,45,yes,6,H2 2025
Retail and ecommerce,Galway,40,yes,108,H1 2026
Financial services,Meath,41,no,243,H2 2025
Professional services,Louth,31,yes,173,H1 2026
Property,Meath,48,yes,189,H2 2025
Retail and ecommerce,Mayo,26,yes,193,H2 2025
Health,Limerick,31,yes,-7,H1 2026
Professional services,Meath,-7,no,452,H1 2026
Financial services,Limerick,49,yes,0,H2 2025
Public sector,Cork,35,yes,94,H2 2025
Tourism and hospitality,Louth,56,no,88,H2 2025
Public sector,Galway,21,no,229,H1 2026
Retail and ecommerce,Cork,41,no,264,H2 2025
Property,Galway,23,no,253,H2 2025
Professional services,Limerick,58,no,99,H1 2026
Public sector,Mayo,3,yes,428,H2 2025
Financial services,Meath,35,no,89,H1 2026
Health,Mayo,33,yes,132,H2 2025
Retail and ecommerce,Kildare,39,yes,196,H1 2026
Public sector,Mayo,8,no,215,H2 2025
Professional services,Kildare,39,yes,128,H2 2025
Retail and ecommerce,Mayo,24,no,221,H2 2025
Professional services,Cork,41,no,87,H1 2026
Retail and ecommerce,Limerick,7,no,339,H2 2025
Professional services,Galway,36,no,57,H1 2026
Public sector,Louth,28,no,207,H1 2026
Health,Louth,36,yes,76,H2 2025
Tourism and hospitality,Limerick,15,no,194,H2 2025
Professional services,Cork,48,no,136,H1 2026
Public sector,Louth,22,no,188,H2 2025
Public sector,Cork,39,no,97,H1 2026
Professional services,Limerick,-10,yes,445,H1 2026
Financial services,Kildare,56,yes,-2,H2 2025
Financial services,Kildare,36,yes,174,H2 2025
Public sector,Galway,54,yes,226,H1 2026
Financial services,Cork,18,yes,220,H2 2025
Tourism and hospitality,Kildare,34,yes,149,H1 2026
Public sector,Cork,13,yes,157,H1 2026
Professional services,Galway,45,no,128,H1 2026
Retail and ecommerce,Louth,-4,no,458,H1 2026
Tourism and hospitality,Limerick,48,no,157,H2 2025
Professional services,Mayo,26,no,206,H2 2025
Public sector,Limerick,47,yes,235,H2 2025
Property,Kildare,13,yes,67,H2 2025
Health,Mayo,57,no,258,H2 2025
Retail and ecommerce,Galway,20,no,166,H2 2025
Professional services,Cork,36,yes,50,H1 2026
Professional services,Limerick,11,no,452,H1 2026
Financial services,Cork,53,yes,31,H2 2025
Financial services,Galway,40,yes,199,H2 2025
Tourism and hospitality,Louth,61,no,238,H2 2025
Health,Louth,28,yes,160,H2 2025
