week,platform,audience,cpm
2026-06-24,Meta,B2B,19
2026-08-08,Meta,Broad,10
2026-06-07,Meta,Broad,-5
2026-07-20,Meta,Lookalike,7
2026-06-20,Meta,B2B,9
2026-08-20,Meta,Lookalike,29
2026-07-17,Meta,Broad,13
2026-08-19,Meta,Broad,31
2026-09-15,Google,B2B,4
2026-09-10,Google,Broad,-1
2026-09-11,Google,Lookalike,5
2026-06-25,Google,Lookalike,6
2026-08-30,Meta,Lookalike,1
2026-08-10,Meta,B2B,43
2026-05-25,Meta,Broad,6
2026-09-04,Google,Lookalike,29
2026-07-26,Google,Lookalike,6
2026-07-02,Meta,Lookalike,4
2026-07-24,Google,Lookalike,-5
2026-08-01,Google,Lookalike,14
2026-08-26,Google,Lookalike,-2
2026-09-06,Meta,B2B,48
2026-08-25,Meta,Lookalike,21
2026-08-18,Meta,Lookalike,38
2026-09-13,Google,Broad,2
2026-06-27,Meta,B2B,15
2026-06-12,Google,Broad,1
2026-05-30,Meta,Lookalike,18
2026-07-15,Google,B2B,17
2026-06-01,Google,Lookalike,38
2026-09-14,Meta,B2B,23
2026-09-02,Google,Lookalike,33
2026-07-29,Meta,Broad,14
2026-07-02,Meta,Broad,8
2026-06-03,Meta,Broad,12
2026-07-06,Meta,Lookalike,24
2026-08-06,Google,Broad,16
2026-07-27,Meta,Broad,34
2026-08-02,Meta,Lookalike,16
2026-07-11,Meta,Broad,34
2026-08-31,Google,Lookalike,14
2026-08-12,Meta,Broad,3
2026-07-26,Meta,Broad,4
2026-06-20,Meta,Broad,7
2026-09-20,Meta,Broad,0
2026-05-27,Google,Broad,31
2026-07-18,Meta,Broad,7
2026-05-31,Meta,Broad,37
2026-08-08,Meta,Broad,7
2026-07-24,Meta,Broad,15
2026-07-28,Meta,Lookalike,12
2026-07-10,Google,Lookalike,23
2026-07-29,Google,Lookalike,6
2026-06-12,Google,B2B,30
2026-07-20,Meta,B2B,11
2026-08-12,Google,Lookalike,37
2026-08-10,Meta,B2B,3
2026-05-30,Google,B2B,6
2026-06-07,Google,Lookalike,6
2026-08-24,Google,B2B,24
2026-07-04,Meta,Lookalike,-1
2026-06-11,Google,Broad,41
2026-06-23,Google,Broad,18
2026-09-03,Meta,B2B,35
2026-06-10,Google,Lookalike,20
2026-06-08,Meta,Lookalike,1
2026-08-20,Google,Broad,-5
2026-08-16,Google,Lookalike,6
2026-08-22,Google,B2B,-3
2026-06-23,Google,Lookalike,32
2026-08-28,Meta,Lookalike,25
2026-06-17,Meta,Lookalike,40
2026-06-26,Google,Lookalike,20
2026-06-27,Google,Broad,7
2026-06-03,Meta,Lookalike,10
2026-08-29,Meta,Broad,19
2026-06-26,Google,Lookalike,-3
2026-09-08,Google,Lookalike,34
2026-07-21,Meta,Lookalike,5
2026-08-27,Meta,Lookalike,26
2026-06-09,Meta,Lookalike,5
2026-09-11,Google,Broad,0
2026-08-19,Google,Lookalike,12
2026-08-06,Meta,Broad,5
2026-06-01,Google,Broad,11
2026-09-11,Meta,Lookalike,40
2026-08-16,Google,Lookalike,7
2026-07-12,Google,Broad,42
2026-08-11,Meta,Lookalike,19
2026-09-15,Google,B2B,5
2026-07-07,Meta,B2B,11
2026-08-25,Meta,Lookalike,25
2026-09-14,Meta,Lookalike,2
2026-07-06,Google,Lookalike,47
2026-06-13,Meta,Lookalike,11
2026-06-10,Meta,Broad,28
2026-06-09,Meta,Lookalike,16
2026-09-06,Meta,Broad,18
2026-06-01,Meta,B2B,-4
2026-07-07,Meta,Lookalike,15
2026-08-04,Meta,B2B,14
2026-07-18,Meta,Lookalike,41
2026-05-27,Meta,Lookalike,20
2026-08-16,Meta,Broad,35
2026-07-25,Meta,B2B,2
2026-07-03,Google,Broad,18
2026-08-31,Meta,Broad,12
2026-06-02,Meta,Broad,17
2026-09-05,Google,Broad,4
2026-05-30,Meta,Broad,48
2026-09-10,Google,Broad,5
2026-05-25,Meta,Lookalike,39
2026-08-12,Meta,Lookalike,9
2026-07-18,Meta,Lookalike,16
2026-06-02,Meta,Lookalike,11
2026-09-03,Meta,Lookalike,19
2026-08-29,Meta,Lookalike,2
2026-09-02,Meta,Lookalike,46
2026-07-11,Meta,Broad,21
2026-07-14,Meta,Broad,32
2026-06-17,Google,Lookalike,17
2026-07-12,Google,Lookalike,-2
2026-06-03,Google,Broad,10
2026-07-02,Google,Lookalike,18
2026-09-01,Meta,Lookalike,16
2026-07-30,Google,Lookalike,44
2026-06-20,Meta,Lookalike,5
2026-06-20,Meta,Broad,38
2026-06-30,Meta,Lookalike,12
2026-05-28,Google,Broad,-2
2026-05-28,Meta,Lookalike,-4
2026-09-10,Meta,Lookalike,22
2026-06-17,Meta,Lookalike,0
2026-06-20,Meta,Lookalike,37
2026-06-26,Google,Broad,12
2026-08-12,Meta,B2B,36
2026-06-17,Meta,Lookalike,11
2026-09-14,Meta,Lookalike,-1
2026-09-19,Meta,Broad,4
2026-08-26,Meta,Lookalike,17
2026-07-31,Meta,Broad,6
2026-06-16,Meta,Lookalike,29
2026-08-13,Meta,Lookalike,20
2026-07-09,Meta,Lookalike,25
2026-06-13,Meta,Broad,5
2026-09-07,Meta,Lookalike,10
2026-09-14,Google,Broad,-1
2026-07-27,Meta,Broad,22
2026-05-31,Meta,Lookalike,3
2026-07-28,Google,Broad,36
2026-05-26,Meta,Lookalike,7
2026-06-18,Google,Broad,25
2026-09-13,Meta,B2B,15
2026-08-02,Google,Broad,3
2026-07-18,Google,B2B,11
2026-08-23,Meta,Lookalike,20
2026-08-17,Meta,Broad,12
2026-07-31,Google,Lookalike,35
2026-06-12,Meta,Lookalike,8
2026-06-02,Meta,B2B,27
2026-08-16,Meta,Lookalike,3
2026-06-12,Meta,Lookalike,18
2026-09-20,Meta,B2B,-6
2026-06-13,Meta,Lookalike,16
2026-07-18,Google,Broad,6
2026-08-20,Meta,Broad,46
2026-07-26,Meta,Lookalike,23
2026-06-11,Meta,Lookalike,40
2026-07-06,Meta,Lookalike,6
2026-06-27,Meta,Lookalike,4
2026-06-10,Google,Broad,6
2026-07-26,Meta,Broad,23
2026-06-04,Meta,Broad,11
2026-06-30,Meta,Lookalike,39
2026-06-30,Google,Broad,9
2026-06-16,Meta,Broad,25
2026-05-28,Google,Broad,15
2026-07-19,Meta,Broad,14
2026-06-05,Meta,Broad,3
2026-07-27,Meta,Broad,25
2026-07-06,Meta,Broad,2
2026-07-08,Google,Lookalike,42
2026-06-14,Meta,Lookalike,10
2026-07-12,Google,Lookalike,39
2026-07-12,Meta,Lookalike,14
2026-06-08,Google,B2B,7
2026-07-27,Google,Broad,11
2026-09-01,Google,Lookalike,7
2026-07-21,Google,Lookalike,17
2026-05-28,Google,Lookalike,33
2026-07-15,Meta,Lookalike,9
2026-06-10,Meta,Lookalike,41
2026-07-07,Meta,Lookalike,18
2026-05-31,Google,B2B,2
2026-06-07,Meta,B2B,14
2026-07-16,Google,Broad,21
2026-06-15,Google,Broad,4
2026-08-06,Meta,Lookalike,33
2026-05-31,Google,Broad,10
2026-08-26,Meta,Lookalike,31
2026-05-26,Google,Broad,16
2026-08-08,Meta,Lookalike,17
2026-06-10,Meta,Broad,2
2026-06-14,Google,Broad,10
2026-09-18,Google,Broad,10
2026-08-13,Google,Lookalike,34
2026-08-25,Google,Broad,22
2026-09-14,Meta,Broad,37
2026-07-25,Google,B2B,21
2026-08-10,Meta,Lookalike,7
2026-08-06,Meta,Broad,4
2026-08-30,Meta,Broad,5
2026-05-29,Meta,Lookalike,9
2026-05-31,Meta,Lookalike,48
2026-08-29,Meta,Broad,13
2026-09-12,Meta,Lookalike,34
2026-08-06,Google,Broad,9
2026-06-10,Meta,Broad,10
2026-08-15,Google,B2B,-5
2026-07-21,Meta,Lookalike,21
2026-09-03,Meta,Broad,16
2026-09-19,Meta,Lookalike,43
2026-09-09,Meta,B2B,5
2026-05-24,Google,Lookalike,23
2026-07-14,Meta,Broad,17
2026-08-19,Google,Broad,13
2026-08-25,Meta,Lookalike,1
2026-06-26,Meta,Lookalike,9
2026-06-08,Google,Lookalike,16
2026-08-24,Google,Lookalike,41
2026-09-11,Google,Lookalike,12
2026-06-29,Meta,B2B,31
2026-06-06,Google,Lookalike,6
2026-08-11,Meta,Broad,0
2026-06-02,Google,Lookalike,2
2026-07-19,Meta,B2B,15
2026-09-14,Google,Broad,6
2026-06-03,Meta,Lookalike,45
2026-08-11,Meta,Lookalike,24
2026-07-14,Google,Broad,28
2026-06-26,Google,Lookalike,2
2026-08-05,Google,Broad,9
2026-08-05,Meta,Lookalike,0
2026-08-15,Meta,Broad,16
2026-07-26,Google,Broad,9
2026-06-22,Meta,B2B,33
2026-07-25,Google,Lookalike,5
2026-08-07,Meta,Lookalike,22
2026-08-05,Google,Lookalike,15
2026-09-15,Meta,Lookalike,14
2026-07-22,Google,Broad,5
2026-05-27,Google,B2B,19
2026-05-25,Google,Broad,3
2026-09-17,Google,Lookalike,30
2026-08-17,Meta,Lookalike,10
2026-07-09,Google,B2B,27
2026-09-02,Google,Lookalike,21
2026-05-31,Google,Lookalike,4
2026-06-07,Google,Broad,8
2026-09-19,Meta,Lookalike,10
2026-05-31,Meta,Broad,9
2026-07-13,Google,Broad,39
2026-08-21,Meta,Lookalike,5
2026-09-07,Meta,Broad,22
2026-09-13,Meta,B2B,10
2026-06-27,Google,Lookalike,6
2026-06-12,Meta,Lookalike,-3
2026-09-05,Meta,Lookalike,16
2026-07-28,Meta,Lookalike,1
2026-08-01,Google,Lookalike,40
2026-08-08,Meta,B2B,6
2026-08-24,Meta,B2B,30
2026-06-30,Meta,Lookalike,3
2026-08-25,Meta,Lookalike,1
2026-08-06,Meta,Lookalike,-5
2026-08-07,Google,Lookalike,23
2026-08-07,Meta,Lookalike,8
2026-08-09,Meta,Broad,30
2026-07-17,Meta,Broad,18
2026-06-29,Google,Broad,27
2026-08-19,Google,Broad,6
2026-06-18,Google,Broad,8
2026-08-29,Meta,Lookalike,1
2026-06-30,Google,Lookalike,14
2026-06-21,Google,Broad,4
2026-08-24,Google,Broad,41
2026-07-21,Meta,Broad,12
2026-08-18,Google,Lookalike,29
2026-05-26,Meta,Lookalike,6
2026-09-06,Google,Broad,8
2026-05-29,Meta,Broad,11
2026-06-03,Meta,Lookalike,8
2026-07-10,Meta,Broad,5
2026-09-08,Meta,Broad,30
2026-08-31,Meta,Broad,13
2026-07-12,Meta,Broad,31
2026-07-17,Google,Broad,9
2026-06-22,Meta,Lookalike,5
2026-06-06,Google,Broad,1
2026-06-21,Meta,Lookalike,20
2026-07-01,Google,Lookalike,11
2026-09-02,Google,Broad,37
2026-06-27,Google,B2B,16
2026-07-20,Meta,Broad,35
2026-07-26,Meta,Lookalike,15
2026-09-09,Meta,Lookalike,16
2026-09-16,Meta,Lookalike,4
2026-08-27,Meta,Lookalike,7
2026-07-29,Google,Lookalike,-2
2026-08-21,Google,Broad,43
2026-07-09,Google,Lookalike,7
2026-06-25,Meta,Broad,25
2026-09-02,Meta,Broad,20
2026-06-03,Meta,Lookalike,10
2026-05-30,Google,Lookalike,2
2026-06-17,Google,Broad,18
2026-08-22,Google,B2B,9
2026-06-24,Meta,Lookalike,38
2026-07-27,Meta,Broad,20
2026-08-19,Google,Lookalike,36
2026-08-03,Meta,Lookalike,7
2026-07-17,Meta,Broad,4
2026-08-17,Google,Lookalike,-1
2026-09-05,Meta,Lookalike,9
2026-08-30,Meta,Lookalike,-1
2026-07-28,Google,Broad,31
2026-08-31,Meta,Lookalike,12
2026-06-10,Meta,Lookalike,39
2026-06-15,Meta,Lookalike,4
2026-07-29,Meta,Lookalike,6
2026-06-24,Google,Lookalike,14
2026-07-11,Google,Lookalike,9
2026-08-04,Meta,Broad,3
2026-08-29,Meta,Lookalike,33
2026-06-29,Google,Broad,23
2026-06-10,Google,B2B,41
2026-08-12,Meta,Broad,12
2026-06-15,Google,Lookalike,16
2026-08-16,Google,Broad,-4
2026-09-01,Google,Lookalike,10
2026-07-28,Meta,Lookalike,11
2026-08-28,Google,Broad,37
2026-05-28,Meta,Broad,6
2026-06-05,Meta,Lookalike,34
2026-06-10,Meta,Broad,3
2026-08-26,Meta,Broad,10
2026-07-12,Meta,B2B,8
2026-07-25,Meta,Broad,10
2026-07-14,Google,Broad,0
2026-08-14,Google,Broad,34
2026-08-11,Google,Lookalike,24
2026-09-18,Google,B2B,42
2026-07-13,Meta,Lookalike,18
2026-06-22,Meta,B2B,18
2026-08-02,Meta,Lookalike,14
2026-08-10,Meta,Broad,24
2026-07-25,Meta,Broad,-1
2026-08-25,Google,Lookalike,48
2026-06-22,Google,B2B,19
2026-05-30,Meta,Broad,40
2026-05-28,Google,Lookalike,21
2026-08-17,Meta,Lookalike,7
2026-09-02,Meta,B2B,8
2026-08-06,Meta,Lookalike,19
2026-06-30,Meta,Broad,5
2026-07-03,Google,Broad,38
2026-08-12,Meta,Lookalike,9
2026-07-04,Google,Lookalike,33
2026-06-03,Meta,Lookalike,18
2026-06-05,Meta,Lookalike,-2
2026-08-25,Google,Broad,7
2026-05-30,Meta,B2B,19
2026-08-09,Google,B2B,-2
2026-07-08,Meta,Lookalike,48
2026-09-17,Meta,Broad,19
2026-08-26,Meta,Lookalike,42
2026-08-07,Meta,Lookalike,5
2026-08-17,Google,Broad,8
2026-09-03,Meta,Lookalike,0
2026-08-30,Meta,Lookalike,8
2026-06-05,Google,Lookalike,15
2026-08-21,Meta,Broad,30
2026-09-01,Google,Broad,21
2026-07-03,Meta,Broad,28
2026-08-29,Meta,Broad,12
2026-08-03,Meta,Broad,7
2026-08-26,Google,Broad,-2
2026-08-27,Meta,Lookalike,5
2026-08-17,Google,Lookalike,2
2026-07-14,Meta,Broad,41
2026-06-29,Meta,Lookalike,15
2026-06-05,Meta,Broad,35
2026-06-05,Meta,Broad,15
2026-08-30,Google,Broad,12
2026-09-06,Google,Lookalike,-2
2026-08-22,Google,Broad,20
2026-06-21,Meta,Lookalike,9
2026-09-07,Meta,Lookalike,47
2026-07-13,Google,Lookalike,20
2026-09-15,Meta,Broad,28
2026-07-07,Google,Broad,5
2026-09-15,Meta,Lookalike,12
2026-06-29,Meta,Broad,15
2026-07-27,Meta,Broad,12
2026-06-30,Meta,B2B,13
2026-09-18,Meta,Broad,41
2026-08-13,Meta,B2B,17
2026-07-17,Meta,Lookalike,42
2026-09-10,Google,Lookalike,8
2026-06-01,Google,Lookalike,14
2026-09-20,Meta,Broad,2
2026-07-25,Meta,Lookalike,21
2026-06-21,Meta,B2B,13
2026-09-02,Meta,Lookalike,47
2026-09-03,Google,Broad,10
2026-06-27,Google,Broad,41
2026-06-13,Meta,Lookalike,16
2026-08-02,Meta,Broad,1
2026-07-21,Meta,Broad,11
2026-07-17,Meta,Lookalike,10
2026-08-23,Meta,Lookalike,8
2026-07-12,Meta,B2B,33
2026-08-27,Google,Broad,25
2026-06-23,Meta,Lookalike,32
2026-05-25,Google,Lookalike,2
2026-07-13,Meta,Lookalike,14
2026-07-26,Meta,B2B,7
2026-08-13,Meta,Lookalike,18
2026-05-24,Meta,Lookalike,7
2026-08-06,Meta,Broad,49
2026-08-11,Meta,Lookalike,15
2026-08-16,Google,Lookalike,37
2026-06-03,Meta,Lookalike,21
2026-08-07,Google,Lookalike,18
2026-09-15,Meta,Lookalike,10
2026-06-27,Google,Broad,24
2026-07-08,Meta,Broad,8
2026-08-26,Google,B2B,33
2026-09-09,Google,Lookalike,19
2026-07-07,Google,Broad,28
2026-07-08,Meta,Broad,17
2026-06-06,Google,B2B,10
2026-06-05,Meta,Lookalike,-5
2026-07-04,Meta,Lookalike,19
2026-06-14,Meta,B2B,7
2026-08-02,Google,Lookalike,44
2026-08-22,Google,Broad,10
2026-09-03,Google,B2B,30
2026-06-24,Meta,Lookalike,10
2026-06-15,Meta,Broad,18
2026-06-20,Meta,Broad,6
2026-07-01,Meta,B2B,23
2026-09-12,Meta,Lookalike,8
2026-08-11,Meta,B2B,38
2026-06-12,Meta,Lookalike,10
2026-05-28,Meta,Broad,42
2026-06-13,Meta,Lookalike,15
2026-08-31,Google,Lookalike,1
2026-08-11,Google,Broad,-1
2026-09-03,Google,B2B,6
2026-08-11,Google,Lookalike,6
2026-07-06,Google,Lookalike,42
2026-06-21,Meta,Broad,6
2026-06-02,Google,Lookalike,23
2026-06-21,Meta,Lookalike,14
2026-08-08,Meta,Lookalike,6
2026-06-15,Google,Broad,1
2026-06-15,Meta,Lookalike,16
2026-07-11,Google,Lookalike,6
2026-08-05,Meta,Broad,30
2026-06-06,Google,Broad,8
2026-06-25,Google,Broad,23
2026-09-13,Google,Lookalike,13
2026-08-28,Meta,Broad,9
2026-06-17,Meta,Lookalike,3
2026-06-10,Google,Broad,4
2026-05-30,Google,Broad,7
2026-07-26,Meta,Broad,46
2026-08-02,Meta,Lookalike,11
2026-08-03,Meta,B2B,37
2026-06-29,Meta,Broad,16
2026-08-27,Meta,Lookalike,1
2026-08-06,Meta,Broad,14
2026-08-26,Meta,Broad,4
2026-09-04,Meta,Lookalike,11
2026-08-03,Meta,Broad,33
2026-07-21,Google,Lookalike,23
2026-06-21,Google,Lookalike,39
2026-05-31,Meta,Lookalike,10
2026-07-12,Meta,Broad,5
2026-08-26,Meta,Lookalike,14
2026-06-05,Meta,Broad,15
2026-06-11,Meta,Broad,0
2026-08-08,Meta,Lookalike,38
2026-05-30,Meta,Broad,10
2026-09-13,Meta,Lookalike,25
2026-05-27,Google,Lookalike,16
2026-08-07,Google,Lookalike,12
2026-06-16,Google,Lookalike,14
2026-09-17,Meta,Lookalike,23
2026-06-06,Google,Broad,2
2026-09-03,Meta,Broad,39
2026-06-09,Meta,Lookalike,12
2026-06-13,Meta,Lookalike,32
2026-05-24,Google,Lookalike,3
2026-06-05,Meta,Lookalike,15
2026-05-29,Meta,Lookalike,5
2026-09-02,Google,Lookalike,22
2026-06-22,Meta,Lookalike,5
2026-07-11,Meta,B2B,47
2026-06-21,Google,Broad,23
2026-05-25,Meta,Lookalike,38
2026-08-16,Google,B2B,15
2026-08-03,Meta,Lookalike,16
2026-07-18,Meta,Broad,-2
2026-07-25,Meta,Broad,5
2026-07-08,Meta,Lookalike,11
2026-07-16,Google,Broad,29
2026-08-26,Meta,Lookalike,9
2026-09-17,Meta,Broad,33
2026-06-10,Meta,Broad,15
2026-06-24,Google,Lookalike,16
2026-07-27,Meta,Lookalike,11
2026-09-13,Google,Lookalike,25
2026-06-29,Meta,Lookalike,5
2026-09-09,Google,Lookalike,29
2026-08-20,Meta,Broad,13
2026-06-28,Meta,Lookalike,29
2026-06-04,Google,Broad,14
2026-08-10,Meta,B2B,3
2026-07-27,Meta,Lookalike,4
2026-07-23,Google,Lookalike,10
2026-07-13,Meta,Lookalike,4
2026-07-29,Google,Lookalike,34
2026-08-23,Google,Broad,10
2026-07-02,Meta,B2B,23
2026-09-16,Meta,Lookalike,9
2026-08-29,Meta,Lookalike,14
2026-08-08,Google,Lookalike,8
2026-05-29,Meta,B2B,14
2026-06-25,Google,B2B,13
2026-09-04,Google,Broad,48
2026-07-18,Google,Lookalike,10
2026-05-26,Meta,Broad,23
2026-07-18,Google,Lookalike,15
2026-07-10,Google,B2B,8
2026-07-09,Meta,Broad,5
2026-07-07,Meta,Lookalike,18
2026-07-20,Meta,Lookalike,16
2026-07-14,Google,Lookalike,35
2026-06-15,Google,Lookalike,19
2026-06-01,Meta,Lookalike,42
2026-08-03,Google,Lookalike,16
2026-05-30,Google,Lookalike,5
2026-05-29,Meta,B2B,-3
2026-06-10,Google,Broad,17
2026-08-14,Meta,Lookalike,2
2026-08-02,Google,Lookalike,33
2026-07-16,Meta,Lookalike,21
2026-08-15,Meta,Lookalike,25
2026-05-26,Meta,Lookalike,21
2026-06-17,Google,Broad,18
2026-08-22,Meta,Lookalike,9
2026-07-12,Meta,Broad,23
2026-09-07,Google,Lookalike,-2
2026-08-11,Meta,B2B,44
2026-06-06,Meta,Broad,21
2026-05-29,Google,B2B,32
2026-07-21,Meta,Lookalike,19
2026-08-07,Meta,Lookalike,16
2026-06-20,Google,Broad,4
2026-08-09,Google,Lookalike,11
2026-08-01,Meta,Broad,2
2026-08-27,Meta,Lookalike,44
2026-08-15,Meta,Lookalike,7
2026-06-02,Meta,Lookalike,25
2026-09-14,Google,Lookalike,19
2026-07-10,Meta,Broad,12
2026-08-01,Google,Lookalike,3
2026-07-06,Meta,Lookalike,18
2026-06-02,Meta,Broad,16
2026-08-30,Meta,Broad,43
2026-09-06,Google,Broad,18
2026-08-11,Google,Broad,25
2026-09-07,Meta,Lookalike,7
2026-09-10,Meta,Lookalike,3
2026-06-17,Meta,Lookalike,12
2026-06-13,Google,B2B,11
2026-07-29,Meta,Broad,0
2026-06-18,Meta,Lookalike,36
2026-06-27,Meta,Lookalike,15
2026-09-17,Google,Broad,35
2026-07-27,Google,Broad,16
2026-08-24,Meta,B2B,19
2026-06-06,Google,Broad,-3
2026-05-29,Meta,Lookalike,22
2026-06-30,Meta,Lookalike,7
2026-06-04,Meta,Broad,39
2026-06-30,Google,Broad,18
2026-06-24,Google,Broad,26
2026-06-03,Meta,Broad,13
2026-09-13,Meta,Lookalike,0
2026-05-28,Meta,Broad,13
2026-07-30,Google,Broad,15
2026-08-23,Google,B2B,-3
2026-06-02,Google,B2B,39
2026-06-02,Meta,Broad,10
2026-09-01,Google,Lookalike,38
2026-07-23,Google,Lookalike,9
2026-07-26,Meta,B2B,2
2026-09-18,Meta,Broad,1
2026-06-15,Meta,Lookalike,12
2026-06-22,Meta,Lookalike,14
2026-09-15,Google,Broad,30
2026-09-17,Meta,B2B,12
2026-08-10,Meta,Broad,23
2026-08-15,Meta,B2B,5
2026-05-27,Meta,Lookalike,16
2026-08-16,Meta,Lookalike,-1
2026-07-19,Meta,Lookalike,11
2026-06-24,Google,Lookalike,3
2026-06-24,Meta,Lookalike,49
2026-09-10,Google,Broad,4
2026-09-02,Google,Lookalike,31
2026-06-01,Google,Lookalike,6
2026-07-19,Meta,Lookalike,4
2026-07-20,Google,B2B,6
2026-09-20,Meta,B2B,12
2026-07-11,Meta,Lookalike,11
2026-06-26,Google,Lookalike,42
2026-09-13,Meta,Broad,5
2026-08-13,Google,Lookalike,28
2026-07-16,Google,B2B,17
2026-07-04,Meta,B2B,2
2026-06-11,Meta,Lookalike,12
2026-07-05,Meta,Lookalike,17
2026-08-29,Meta,Lookalike,3
2026-07-06,Meta,Lookalike,37
2026-06-11,Meta,Lookalike,19
2026-07-22,Meta,B2B,22
2026-06-28,Meta,Lookalike,14
2026-08-26,Google,Broad,16
2026-08-12,Google,Broad,-5
2026-06-06,Meta,Broad,12
2026-07-22,Google,Lookalike,5
