title,role,county,level,posted,ai_ask
Head of Marketing operations Specialist,Performance and paid,Mayo,Executive,2026-09-03,Lead or buy AI
Senior Performance and paid Executive,Ecommerce,Wicklow,Executive,2026-06-24,None
Events Manager,Head of marketing,Wicklow,Head,2026-07-01,Be found in AI search
Head of Marketing operations Specialist,Ecommerce,Wexford,Executive,2026-09-07,Be found in AI search
CRM and email Lead,Brand,Donegal,Head,2026-08-08,Sell an AI product
CRM and email Lead,Brand,Donegal,Executive,2026-06-16,Lead or buy AI
Events Manager,Performance and paid,Mayo,Executive,2026-05-31,Be found in AI search
Senior Performance and paid Executive,Brand,Wicklow,Executive,2026-06-27,Be found in AI search
Head of Marketing operations Lead,Performance and paid,Louth,Executive,2026-09-13,Be found in AI search
CRM and email Lead,Head of marketing,Meath,Head,2026-05-27,Lead or buy AI
Senior SEO Lead,Events,Louth,Executive,2026-07-28,None
Events Manager,Brand,Kildare,Executive,2026-08-02,None
Events Manager,SEO,Donegal,Head,2026-05-30,Lead or buy AI
Events Manager,Ecommerce,Louth,Executive,2026-08-19,Lead or buy AI
Head of Marketing operations Lead,Brand,Louth,Executive,2026-07-31,Be found in AI search
Head of Marketing operations Specialist,SEO,Wexford,Manager,2026-05-31,None
Events Manager,SEO,Wexford,Executive,2026-07-26,Lead or buy AI
Events Manager,Head of marketing,Louth,Head,2026-08-21,None
Head of Marketing operations Lead,Performance and paid,Wicklow,Executive,2026-09-06,None
Events Manager,Performance and paid,Louth,Executive,2026-09-19,Sell an AI product
SEO Lead,Head of marketing,Louth,Head,2026-05-26,Lead or buy AI
Head of Marketing operations Specialist,SEO,Kildare,Head,2026-06-18,Be found in AI search
Head of Marketing operations Lead,Performance and paid,Wicklow,Head,2026-05-23,None
CRM and email Lead,Head of marketing,Louth,Executive,2026-07-23,Be found in AI search
SEO Lead,Brand,Wicklow,Head,2026-06-24,Sell an AI product
CRM and email Lead,Head of marketing,Louth,Manager,2026-07-14,Be found in AI search
Head of Marketing operations Lead,SEO,Donegal,Executive,2026-05-28,Sell an AI product
Head of Marketing operations Lead,Brand,Wicklow,Executive,2026-06-12,Sell an AI product
Head of Marketing operations Specialist,Brand,Wexford,Manager,2026-07-26,None
Head of Marketing operations Lead,Brand,Louth,Executive,2026-06-29,Sell an AI product
Junior Digital marketing Lead,SEO,Donegal,Head,2026-07-03,Sell an AI product
SEO Lead,Ecommerce,Louth,Executive,2026-09-13,None
Head of Marketing operations Specialist,SEO,Wicklow,Head,2026-06-01,Be found in AI search
SEO Lead,Head of marketing,Wicklow,Head,2026-06-20,Sell an AI product
Senior SEO Lead,Head of marketing,Meath,Head,2026-07-23,Lead or buy AI
SEO Lead,Head of marketing,Kildare,Head,2026-08-19,Be found in AI search
Head of Marketing operations Specialist,Brand,Wicklow,Executive,2026-07-14,None
Senior Performance and paid Executive,Head of marketing,Mayo,Head,2026-06-30,Lead or buy AI
Senior Performance and paid Executive,Head of marketing,Donegal,Executive,2026-07-23,Sell an AI product
SEO Lead,Ecommerce,Kildare,Executive,2026-06-18,Sell an AI product
Senior Performance and paid Executive,Performance and paid,Wexford,Head,2026-08-09,Be found in AI search
Head of Marketing operations Lead,Performance and paid,Wicklow,Head,2026-06-26,Lead or buy AI
Head of Marketing operations Specialist,Brand,Kildare,Executive,2026-08-07,Sell an AI product
Head of Marketing operations Specialist,Brand,Wicklow,Executive,2026-08-10,None
CRM and email Lead,Performance and paid,Kildare,Manager,2026-06-16,Lead or buy AI
Senior Performance and paid Executive,Events,Louth,Executive,2026-05-25,Sell an AI product
Junior Digital marketing Lead,Performance and paid,Wexford,Manager,2026-07-24,Lead or buy AI
Head of Marketing operations Specialist,Head of marketing,Louth,Executive,2026-07-23,Be found in AI search
Senior Performance and paid Executive,Events,Kildare,Head,2026-07-23,Lead or buy AI
Senior SEO Lead,Brand,Mayo,Executive,2026-09-01,Lead or buy AI
SEO Lead,Brand,Louth,Executive,2026-06-25,Sell an AI product
Senior Performance and paid Executive,SEO,Wexford,Manager,2026-07-19,None
Head of Marketing operations Specialist,Head of marketing,Kildare,Executive,2026-06-14,Sell an AI product
Head of Marketing operations Lead,Brand,Wicklow,Executive,2026-07-14,Be found in AI search
CRM and email Lead,Performance and paid,Mayo,Executive,2026-06-20,Lead or buy AI
Head of Marketing operations Specialist,Head of marketing,Wexford,Manager,2026-07-31,Be found in AI search
Head of Marketing operations Lead,Head of marketing,Wicklow,Executive,2026-07-11,None
Senior SEO Lead,Ecommerce,Donegal,Head,2026-07-12,None
Head of Marketing operations Specialist,SEO,Donegal,Executive,2026-05-29,Lead or buy AI
CRM and email Lead,Head of marketing,Kildare,Executive,2026-08-05,Lead or buy AI
CRM and email Lead,SEO,Wicklow,Executive,2026-06-05,Sell an AI product
Junior Digital marketing Lead,Head of marketing,Wicklow,Manager,2026-07-11,Sell an AI product
CRM and email Lead,Performance and paid,Wexford,Manager,2026-09-06,Be found in AI search
Events Manager,Head of marketing,Meath,Executive,2026-09-13,Lead or buy AI
Head of Marketing operations Lead,Brand,Wicklow,Executive,2026-08-20,Lead or buy AI
Junior Digital marketing Lead,Events,Donegal,Executive,2026-07-26,None
Events Manager,Events,Meath,Manager,2026-05-31,Sell an AI product
SEO Lead,Brand,Mayo,Head,2026-09-08,None
Senior SEO Lead,Ecommerce,Donegal,Executive,2026-07-03,Be found in AI search
Head of Marketing operations Lead,Brand,Donegal,Executive,2026-05-31,Be found in AI search
Senior SEO Lead,Performance and paid,Wicklow,Executive,2026-09-03,Be found in AI search
CRM and email Lead,Head of marketing,Wicklow,Executive,2026-06-03,None
Head of Marketing operations Specialist,Head of marketing,Louth,Head,2026-08-21,Lead or buy AI
CRM and email Lead,Performance and paid,Louth,Head,2026-08-29,Lead or buy AI
SEO Lead,Head of marketing,Louth,Head,2026-09-11,Sell an AI product
CRM and email Lead,Performance and paid,Wicklow,Executive,2026-09-05,None
Head of Marketing operations Lead,Brand,Meath,Head,2026-06-10,Lead or buy AI
Events Manager,Brand,Donegal,Executive,2026-06-13,None
CRM and email Lead,Performance and paid,Donegal,Head,2026-08-22,Lead or buy AI
Junior Digital marketing Lead,Ecommerce,Wexford,Manager,2026-08-04,None
Head of Marketing operations Specialist,Performance and paid,Wicklow,Executive,2026-06-30,Be found in AI search
SEO Lead,SEO,Mayo,Head,2026-07-12,Be found in AI search
Junior Digital marketing Lead,Ecommerce,Wexford,Head,2026-06-01,Be found in AI search
Junior Digital marketing Lead,Head of marketing,Wexford,Executive,2026-06-21,Lead or buy AI
SEO Lead,Performance and paid,Wexford,Head,2026-05-31,None
CRM and email Lead,Ecommerce,Mayo,Executive,2026-09-12,Lead or buy AI
Senior Performance and paid Executive,Events,Wicklow,Manager,2026-06-18,Sell an AI product
Head of Marketing operations Specialist,Ecommerce,Kildare,Manager,2026-08-22,Lead or buy AI
SEO Lead,Performance and paid,Mayo,Executive,2026-06-14,None
Senior SEO Lead,Head of marketing,Donegal,Executive,2026-05-26,Lead or buy AI
CRM and email Lead,Performance and paid,Wexford,Head,2026-06-18,Be found in AI search
Junior Digital marketing Lead,Events,Wicklow,Manager,2026-09-04,Be found in AI search
Senior SEO Lead,Brand,Wicklow,Manager,2026-06-04,Be found in AI search
Events Manager,Head of marketing,Louth,Manager,2026-07-09,Sell an AI product
SEO Lead,Brand,Wexford,Head,2026-08-11,Be found in AI search
Senior Performance and paid Executive,Brand,Kildare,Executive,2026-07-11,Be found in AI search
Senior SEO Lead,Events,Wicklow,Manager,2026-05-23,Sell an AI product
Head of Marketing operations Specialist,Ecommerce,Kildare,Head,2026-07-20,Lead or buy AI
SEO Lead,Ecommerce,Louth,Executive,2026-09-11,Be found in AI search
Head of Marketing operations Lead,Brand,Meath,Head,2026-07-05,Sell an AI product
CRM and email Lead,Events,Mayo,Executive,2026-06-22,Lead or buy AI
