week,sector,cpc,searches
2026-08-25,Motor,2,20
2026-07-13,Public sector,0,10
2026-07-03,Tourism and hospitality,2,14
2026-07-25,Professional services,1,4
2026-08-22,Professional services,2,32
2026-06-15,Motor,1,18
2026-07-20,Tourism and hospitality,4,37
2026-07-07,Public sector,2,22
2026-07-02,Tourism and hospitality,2,15
2026-07-19,Public sector,1,10
2026-09-05,Tourism and hospitality,3,20
2026-06-24,Professional services,1,14
2026-08-25,Professional services,3,25
2026-09-19,Public sector,2,17
2026-09-14,Professional services,3,33
2026-09-13,Media and publishing,3,24
2026-09-11,Public sector,1,18
2026-06-05,Professional services,1,9
2026-08-21,Professional services,2,16
2026-07-21,Media and publishing,2,3
2026-08-17,Media and publishing,2,23
2026-06-19,Tourism and hospitality,1,16
2026-09-06,Media and publishing,4,24
2026-09-01,Tourism and hospitality,2,25
2026-07-18,Media and publishing,2,18
2026-09-09,Motor,1,11
2026-08-12,Professional services,2,13
2026-09-03,Professional services,0,2
2026-06-28,Media and publishing,2,31
2026-06-04,Professional services,1,19
2026-06-12,Tourism and hospitality,3,27
2026-09-04,Professional services,4,17
2026-05-31,Tourism and hospitality,2,22
2026-09-06,Tourism and hospitality,2,12
2026-08-23,Professional services,2,9
2026-07-12,Motor,1,4
2026-06-12,Public sector,2,33
2026-07-17,Professional services,2,12
2026-07-01,Media and publishing,4,32
2026-08-11,Motor,3,22
2026-08-13,Media and publishing,1,17
2026-08-23,Professional services,1,8
2026-06-09,Media and publishing,2,18
2026-06-01,Media and publishing,2,11
2026-07-03,Tourism and hospitality,2,30
2026-09-20,Public sector,2,15
2026-05-30,Motor,4,29
2026-09-07,Tourism and hospitality,2,24
2026-06-11,Public sector,1,18
2026-09-09,Public sector,1,15
2026-07-07,Professional services,2,11
2026-08-23,Professional services,1,3
2026-09-19,Tourism and hospitality,3,23
2026-07-11,Professional services,2,15
2026-06-29,Tourism and hospitality,4,25
2026-06-29,Professional services,2,18
2026-05-26,Public sector,1,14
2026-07-10,Tourism and hospitality,0,16
2026-08-26,Motor,2,18
2026-08-05,Media and publishing,1,9
2026-07-25,Tourism and hospitality,2,26
2026-05-29,Media and publishing,1,18
2026-08-05,Public sector,4,24
2026-07-02,Motor,3,16
2026-09-13,Tourism and hospitality,2,21
2026-07-05,Professional services,2,8
2026-06-27,Professional services,2,20
2026-06-10,Media and publishing,1,2
2026-07-19,Public sector,2,33
2026-09-01,Media and publishing,1,15
2026-09-17,Public sector,4,28
2026-06-10,Professional services,4,18
2026-09-11,Motor,2,15
2026-08-03,Motor,1,15
2026-06-21,Professional services,2,17
2026-09-20,Motor,2,8
2026-06-19,Professional services,2,30
2026-06-08,Professional services,1,15
2026-05-24,Professional services,4,35
2026-08-24,Tourism and hospitality,3,27
2026-07-28,Tourism and hospitality,1,20
2026-08-27,Professional services,1,14
2026-07-02,Professional services,3,19
2026-06-04,Public sector,1,14
2026-08-20,Professional services,2,32
2026-08-18,Media and publishing,1,16
2026-06-05,Media and publishing,3,34
2026-08-08,Public sector,3,26
2026-06-28,Motor,2,13
2026-07-03,Media and publishing,1,13
2026-09-12,Public sector,2,14
2026-08-22,Tourism and hospitality,2,3
2026-09-15,Tourism and hospitality,2,33
2026-07-30,Public sector,2,17
2026-07-22,Professional services,4,35
2026-05-28,Public sector,2,24
2026-07-26,Tourism and hospitality,1,22
2026-09-12,Tourism and hospitality,2,12
2026-07-27,Tourism and hospitality,2,19
2026-06-04,Public sector,2,2
2026-06-04,Professional services,3,32
2026-08-16,Media and publishing,2,21
2026-08-19,Professional services,4,27
2026-09-19,Professional services,3,24
2026-08-20,Tourism and hospitality,2,21
2026-08-19,Tourism and hospitality,1,6
2026-09-08,Motor,3,16
2026-07-09,Professional services,1,12
2026-08-17,Public sector,3,36
2026-09-10,Motor,1,20
2026-06-08,Tourism and hospitality,3,24
2026-05-29,Motor,4,16
2026-08-17,Professional services,1,25
2026-07-26,Public sector,2,6
2026-06-26,Tourism and hospitality,2,16
2026-05-25,Motor,1,6
2026-05-24,Professional services,2,33
2026-08-15,Public sector,2,15
2026-08-17,Tourism and hospitality,4,35
2026-08-28,Tourism and hospitality,3,26
2026-08-07,Motor,2,15
2026-07-21,Motor,1,9
2026-06-06,Public sector,2,13
2026-09-12,Professional services,1,8
2026-07-02,Professional services,3,26
2026-06-11,Professional services,2,15
2026-06-26,Media and publishing,4,24
2026-07-02,Professional services,4,25
2026-06-16,Professional services,1,13
2026-06-30,Public sector,1,11
2026-09-02,Media and publishing,2,11
2026-07-18,Professional services,1,14
2026-09-13,Media and publishing,2,31
2026-07-14,Tourism and hospitality,2,9
2026-08-20,Professional services,3,24
2026-08-07,Motor,3,25
2026-07-01,Tourism and hospitality,1,20
2026-08-11,Tourism and hospitality,1,14
2026-09-12,Public sector,2,9
2026-06-18,Public sector,2,13
2026-07-29,Tourism and hospitality,3,23
2026-05-28,Tourism and hospitality,1,12
2026-06-11,Media and publishing,4,30
2026-06-06,Public sector,2,22
2026-07-13,Public sector,1,21
2026-07-24,Media and publishing,0,8
2026-08-27,Tourism and hospitality,3,21
2026-05-31,Public sector,1,3
2026-07-24,Professional services,2,31
2026-08-22,Professional services,2,20
2026-06-27,Tourism and hospitality,3,28
2026-07-31,Public sector,2,20
2026-06-23,Professional services,2,19
2026-07-11,Motor,2,16
2026-08-23,Professional services,2,18
2026-06-09,Tourism and hospitality,1,3
2026-07-05,Public sector,2,29
2026-08-27,Professional services,2,14
2026-07-20,Professional services,4,25
2026-06-29,Professional services,3,21
2026-07-27,Tourism and hospitality,2,19
2026-08-12,Media and publishing,1,15
2026-06-18,Professional services,3,20
2026-07-15,Motor,1,3
2026-09-02,Tourism and hospitality,3,29
2026-09-08,Professional services,1,15
2026-07-29,Motor,4,28
2026-07-29,Professional services,3,21
2026-09-20,Public sector,2,13
2026-05-28,Public sector,2,9
2026-07-16,Media and publishing,2,12
2026-08-13,Tourism and hospitality,1,14
2026-08-10,Media and publishing,2,24
2026-08-02,Public sector,1,16
2026-06-19,Professional services,4,36
2026-08-25,Public sector,4,17
2026-05-25,Media and publishing,2,24
2026-08-05,Public sector,0,6
2026-08-21,Media and publishing,2,15
2026-09-17,Media and publishing,2,5
2026-08-06,Professional services,2,23
2026-08-23,Public sector,2,9
2026-08-08,Public sector,3,29
2026-09-13,Professional services,3,24
2026-09-18,Tourism and hospitality,2,16
2026-09-12,Professional services,1,18
2026-06-27,Public sector,3,22
2026-09-01,Tourism and hospitality,2,12
2026-08-20,Professional services,2,25
2026-09-05,Motor,1,18
2026-07-29,Professional services,4,34
2026-08-18,Media and publishing,3,24
2026-05-31,Media and publishing,2,21
2026-08-14,Tourism and hospitality,1,18
2026-09-03,Public sector,3,14
2026-09-20,Media and publishing,0,3
2026-06-29,Media and publishing,2,31
2026-06-03,Professional services,2,16
2026-06-30,Professional services,3,35
2026-07-05,Professional services,4,28
2026-07-24,Media and publishing,2,17
2026-06-28,Motor,1,16
2026-06-25,Tourism and hospitality,2,12
2026-09-20,Public sector,1,14
2026-05-27,Public sector,3,34
2026-08-27,Professional services,2,9
2026-08-21,Professional services,4,33
2026-06-30,Media and publishing,3,25
2026-09-01,Professional services,2,24
2026-07-06,Tourism and hospitality,1,14
2026-08-15,Professional services,2,12
2026-06-10,Public sector,1,11
2026-07-26,Tourism and hospitality,3,25
2026-08-10,Motor,2,9
2026-09-17,Media and publishing,3,26
2026-06-03,Professional services,3,25
2026-08-29,Tourism and hospitality,1,17
2026-06-17,Professional services,2,16
2026-08-08,Public sector,3,18
2026-06-20,Professional services,1,5
2026-09-12,Public sector,2,27
2026-06-28,Professional services,2,21
2026-07-05,Media and publishing,4,29
2026-05-27,Tourism and hospitality,3,18
2026-09-19,Media and publishing,2,25
2026-08-07,Tourism and hospitality,1,5
2026-09-11,Tourism and hospitality,3,17
2026-08-22,Tourism and hospitality,1,8
2026-07-24,Tourism and hospitality,2,34
2026-05-24,Media and publishing,1,13
2026-08-16,Tourism and hospitality,3,34
2026-08-11,Tourism and hospitality,4,28
2026-08-27,Professional services,1,15
2026-06-20,Public sector,2,17
2026-06-08,Professional services,2,21
2026-08-12,Motor,1,9
2026-08-10,Tourism and hospitality,3,35
2026-08-05,Public sector,2,21
2026-08-25,Motor,3,31
2026-06-04,Professional services,4,23
2026-05-27,Public sector,1,21
2026-08-27,Professional services,1,6
2026-08-10,Public sector,2,10
2026-06-19,Professional services,2,8
2026-08-04,Tourism and hospitality,2,33
2026-06-07,Motor,1,19
2026-07-29,Public sector,4,34
2026-08-21,Public sector,2,22
2026-09-12,Public sector,1,13
2026-07-04,Professional services,0,11
2026-07-23,Public sector,3,12
2026-06-29,Media and publishing,1,6
2026-07-31,Motor,2,22
2026-07-18,Public sector,1,14
2026-09-14,Professional services,3,23
2026-09-17,Tourism and hospitality,3,21
2026-08-22,Motor,1,25
2026-06-23,Public sector,0,17
2026-06-30,Public sector,2,11
2026-05-25,Public sector,2,8
2026-08-21,Media and publishing,3,32
2026-09-13,Motor,1,18
2026-09-11,Professional services,3,36
2026-09-13,Professional services,3,28
2026-09-19,Motor,2,19
2026-07-03,Media and publishing,1,16
2026-09-10,Tourism and hospitality,3,13
2026-09-07,Professional services,1,3
2026-06-02,Public sector,3,27
2026-07-28,Tourism and hospitality,1,18
2026-08-04,Public sector,4,28
2026-08-01,Tourism and hospitality,2,24
2026-08-03,Tourism and hospitality,1,25
2026-06-20,Public sector,1,17
2026-06-23,Professional services,3,16
2026-09-01,Media and publishing,2,6
2026-08-04,Professional services,2,23
2026-08-15,Tourism and hospitality,2,16
2026-08-16,Public sector,3,25
2026-08-22,Professional services,3,18
2026-07-23,Professional services,2,13
2026-07-15,Public sector,1,11
2026-09-04,Motor,3,17
2026-08-20,Media and publishing,1,11
2026-06-28,Tourism and hospitality,2,25
2026-06-02,Professional services,2,10
2026-06-11,Professional services,3,31
2026-08-13,Public sector,4,19
2026-05-30,Professional services,2,13
2026-07-18,Motor,2,18
2026-08-15,Professional services,2,10
2026-09-05,Public sector,1,10
2026-05-30,Tourism and hospitality,2,28
2026-07-13,Tourism and hospitality,2,21
2026-08-25,Public sector,4,32
2026-07-24,Public sector,3,21
2026-07-01,Public sector,2,18
2026-06-27,Professional services,1,15
2026-06-30,Tourism and hospitality,2,17
2026-07-13,Public sector,1,8
2026-06-06,Public sector,2,31
2026-09-09,Media and publishing,2,15
2026-07-08,Tourism and hospitality,4,25
2026-08-01,Tourism and hospitality,2,18
2026-07-15,Professional services,1,14
2026-09-13,Media and publishing,2,10
2026-09-02,Professional services,2,15
2026-06-20,Media and publishing,2,9
2026-07-01,Tourism and hospitality,3,30
2026-06-30,Public sector,2,11
2026-06-03,Tourism and hospitality,4,32
2026-06-25,Tourism and hospitality,3,20
2026-08-26,Tourism and hospitality,2,22
2026-07-18,Tourism and hospitality,1,8
2026-07-10,Professional services,2,15
2026-06-20,Public sector,1,3
2026-07-28,Tourism and hospitality,2,33
2026-07-02,Professional services,1,17
2026-06-24,Public sector,4,28
2026-06-26,Tourism and hospitality,3,19
2026-06-25,Professional services,2,24
2026-07-03,Public sector,1,14
2026-06-10,Public sector,2,12
2026-07-31,Public sector,2,11
2026-06-20,Tourism and hospitality,3,35
2026-09-08,Media and publishing,1,16
2026-08-13,Professional services,3,24
2026-05-31,Professional services,3,28
2026-06-08,Professional services,1,22
2026-06-06,Tourism and hospitality,2,10
2026-07-01,Tourism and hospitality,2,21
2026-05-30,Tourism and hospitality,2,12
2026-08-09,Public sector,2,28
2026-05-31,Media and publishing,1,20
2026-08-21,Public sector,3,25
2026-05-31,Tourism and hospitality,3,20
2026-05-31,Public sector,2,15
2026-06-14,Professional services,0,11
2026-08-02,Tourism and hospitality,2,10
2026-06-05,Professional services,1,6
2026-06-19,Public sector,2,32
2026-07-30,Tourism and hospitality,1,11
2026-07-24,Media and publishing,4,25
2026-07-27,Tourism and hospitality,3,23
2026-06-29,Professional services,2,16
2026-05-25,Public sector,2,17
2026-08-02,Professional services,3,10
2026-07-04,Media and publishing,2,8
2026-09-10,Motor,3,27
2026-06-21,Motor,2,10
2026-08-22,Professional services,4,26
2026-08-09,Public sector,4,28
2026-09-08,Motor,2,16
2026-05-31,Motor,0,18
2026-08-03,Professional services,3,12
2026-07-14,Professional services,1,2
2026-08-26,Professional services,3,32
2026-07-07,Tourism and hospitality,2,20
2026-08-30,Tourism and hospitality,3,28
2026-07-30,Professional services,2,17
2026-07-07,Tourism and hospitality,2,18
2026-09-17,Professional services,0,17
2026-08-16,Public sector,3,15
2026-08-23,Media and publishing,1,12
2026-06-26,Public sector,2,32
2026-07-02,Public sector,2,13
2026-07-07,Tourism and hospitality,4,36
2026-07-13,Public sector,2,16
2026-06-08,Media and publishing,2,16
2026-08-24,Professional services,1,12
2026-08-13,Public sector,3,15
2026-08-27,Tourism and hospitality,1,13
2026-06-01,Professional services,3,33
2026-09-17,Public sector,2,11
2026-08-28,Public sector,4,34
2026-08-23,Public sector,3,26
2026-09-01,Public sector,1,23
2026-06-02,Public sector,1,18
2026-07-27,Tourism and hospitality,3,11
2026-08-24,Public sector,1,5
2026-06-23,Public sector,2,26
2026-09-10,Professional services,1,18
2026-06-11,Tourism and hospitality,4,33
2026-09-12,Public sector,3,15
2026-07-01,Professional services,2,23
2026-08-28,Media and publishing,1,12
2026-07-17,Professional services,2,11
2026-07-19,Public sector,1,12
2026-08-10,Tourism and hospitality,2,34
2026-06-28,Tourism and hospitality,2,12
2026-08-05,Professional services,4,25
2026-07-25,Motor,3,26
2026-07-24,Tourism and hospitality,2,25
2026-08-24,Tourism and hospitality,1,13
2026-08-05,Professional services,3,11
2026-05-30,Public sector,2,10
2026-06-09,Public sector,2,34
2026-09-20,Tourism and hospitality,1,19
2026-07-11,Professional services,4,30
2026-09-12,Professional services,3,17
2026-06-11,Public sector,2,24
2026-08-28,Public sector,0,11
2026-06-17,Tourism and hospitality,3,19
2026-07-21,Tourism and hospitality,2,8
2026-08-22,Tourism and hospitality,3,31
2026-07-25,Professional services,2,21
2026-06-09,Public sector,4,34
2026-05-29,Public sector,2,19
2026-09-07,Motor,1,22
2026-07-17,Motor,0,17
2026-08-23,Professional services,2,19
2026-08-26,Professional services,1,4
2026-06-18,Media and publishing,2,25
2026-07-27,Public sector,2,9
2026-05-27,Media and publishing,4,28
2026-08-16,Professional services,3,19
2026-07-13,Public sector,1,24
2026-06-22,Media and publishing,1,11
2026-09-01,Tourism and hospitality,2,9
2026-09-17,Tourism and hospitality,2,13
2026-07-18,Motor,2,36
2026-06-05,Public sector,2,21
2026-05-27,Motor,4,23
2026-08-06,Motor,4,21
2026-08-09,Public sector,2,21
2026-09-17,Professional services,1,18
2026-07-20,Professional services,2,21
2026-09-04,Tourism and hospitality,2,11
2026-07-01,Public sector,3,35
2026-08-31,Public sector,2,20
2026-09-07,Professional services,3,36
2026-08-11,Professional services,2,16
2026-08-06,Tourism and hospitality,1,19
2026-09-16,Public sector,0,16
2026-08-25,Public sector,3,10
2026-05-24,Tourism and hospitality,1,14
2026-07-20,Motor,2,26
2026-07-29,Professional services,2,16
2026-07-07,Professional services,4,23
2026-08-20,Public sector,3,19
2026-08-05,Tourism and hospitality,2,15
2026-09-01,Professional services,1,10
2026-07-13,Tourism and hospitality,3,22
2026-08-17,Public sector,2,8
2026-07-06,Professional services,3,27
2026-06-09,Tourism and hospitality,1,20
2026-08-02,Motor,4,25
2026-06-07,Tourism and hospitality,4,20
2026-07-20,Tourism and hospitality,2,23
2026-09-10,Media and publishing,1,10
2026-09-18,Professional services,3,17
2026-06-12,Public sector,1,9
2026-08-12,Professional services,2,33
2026-07-29,Media and publishing,1,15
2026-06-30,Professional services,4,25
2026-06-05,Public sector,2,20
2026-07-19,Media and publishing,2,18
2026-08-20,Public sector,1,11
2026-08-21,Professional services,3,15
2026-06-18,Public sector,1,3
2026-09-12,Public sector,2,32
2026-08-29,Professional services,1,18
2026-09-14,Public sector,3,26
2026-08-12,Motor,2,24
2026-08-04,Public sector,1,16
2026-08-25,Tourism and hospitality,2,9
2026-07-06,Professional services,2,18
2026-06-24,Professional services,1,14
2026-07-20,Media and publishing,2,27
2026-06-20,Motor,2,17
2026-06-19,Public sector,3,32
2026-06-23,Public sector,2,20
2026-06-10,Media and publishing,2,25
