buyer_type,category,value_band,closes,county
State agency,Marketing,Under €25k,2026-07-18,Galway
Local authority,AI,€25k to €50k,2026-08-08,Clare
University,Training,Under €25k,2026-07-05,Clare
Local authority,Training,€50k to €150k,2026-06-16,Galway
University,Training,Under €25k,2026-07-20,Limerick
University,AI,Under €25k,2026-05-19,Galway
State agency,Marketing,€50k to €150k,2026-07-12,Galway
State agency,Training,€50k to €150k,2026-05-22,Limerick
University,Training,€50k to €150k,2026-08-30,Galway
State agency,Marketing,Under €25k,2026-08-11,Limerick
University,Marketing,€25k to €50k,2026-08-31,Galway
Local authority,Training,Under €25k,2026-07-16,Waterford
State agency,Marketing,Under €25k,2026-09-10,Clare
University,AI,Under €25k,2026-07-24,Galway
Local authority,AI,€50k to €150k,2026-06-30,Galway
University,Marketing,Under €25k,2026-06-08,Waterford
State agency,Training,Under €25k,2026-08-15,Clare
State agency,AI,€25k to €50k,2026-06-03,Galway
Local authority,Marketing,Under €25k,2026-05-30,Galway
Local authority,AI,Under €25k,2026-07-19,Cork
Local authority,Training,Under €25k,2026-06-03,Galway
Health body,Marketing,Under €25k,2026-07-10,Wicklow
Local authority,Marketing,Under €25k,2026-09-10,Waterford
State agency,Marketing,€25k to €50k,2026-09-12,Waterford
University,AI,Under €25k,2026-06-14,Galway
Local authority,Training,€50k to €150k,2026-08-26,Limerick
State agency,Marketing,Under €25k,2026-08-06,Galway
Local authority,Training,Under €25k,2026-08-03,Clare
Health body,Marketing,€25k to €50k,2026-08-20,Galway
University,Marketing,Under €25k,2026-06-13,Limerick
Local authority,Training,€25k to €50k,2026-06-25,Clare
Local authority,Training,Under €25k,2026-06-23,Waterford
University,Marketing,€25k to €50k,2026-08-19,Clare
University,Marketing,Under €25k,2026-09-12,Galway
State agency,AI,€25k to €50k,2026-08-13,Clare
Local authority,AI,Under €25k,2026-06-16,Clare
Local authority,Training,Under €25k,2026-06-26,Clare
Health body,Training,Under €25k,2026-05-29,Limerick
Local authority,Training,€25k to €50k,2026-07-26,Waterford
University,AI,Under €25k,2026-05-23,Waterford
Health body,Marketing,Under €25k,2026-05-23,Clare
University,Training,Under €25k,2026-06-21,Galway
Local authority,Training,€25k to €50k,2026-09-12,Galway
Local authority,Marketing,€25k to €50k,2026-07-19,Cork
Local authority,Marketing,Under €25k,2026-07-10,Limerick
University,Training,Under €25k,2026-08-20,Wicklow
Local authority,Training,€50k to €150k,2026-07-12,Galway
University,Marketing,Under €25k,2026-07-16,Limerick
University,AI,€25k to €50k,2026-09-02,Galway
Local authority,AI,Under €25k,2026-06-03,Cork
Health body,Training,Under €25k,2026-09-03,Limerick
University,Training,€50k to €150k,2026-06-03,Limerick
Local authority,Training,Under €25k,2026-07-08,Galway
Local authority,Training,Under €25k,2026-06-03,Galway
Health body,Training,€25k to €50k,2026-07-24,Clare
University,Training,Under €25k,2026-09-09,Wicklow
Local authority,Training,Under €25k,2026-09-08,Clare
State agency,Marketing,Under €25k,2026-09-12,Waterford
University,Marketing,Under €25k,2026-07-24,Galway
Local authority,Marketing,€25k to €50k,2026-07-16,Galway
Health body,Marketing,Under €25k,2026-08-06,Clare
State agency,AI,€25k to €50k,2026-07-10,Waterford
University,AI,Under €25k,2026-09-02,Galway
Local authority,Training,Under €25k,2026-06-25,Clare
Health body,Marketing,€50k to €150k,2026-07-28,Galway
Health body,AI,Under €25k,2026-08-22,Galway
University,Training,Under €25k,2026-06-25,Wicklow
Local authority,Training,Under €25k,2026-08-27,Galway
Local authority,Marketing,Under €25k,2026-05-23,Limerick
Health body,Marketing,Under €25k,2026-06-27,Limerick
Local authority,Marketing,Under €25k,2026-06-28,Clare
Local authority,Marketing,Under €25k,2026-06-02,Galway
Health body,Marketing,Under €25k,2026-07-13,Cork
University,Marketing,Under €25k,2026-09-07,Limerick
Local authority,Training,€50k to €150k,2026-07-24,Galway
Local authority,Marketing,€50k to €150k,2026-08-26,Waterford
University,Training,Under €25k,2026-07-01,Galway
Health body,Training,Under €25k,2026-08-13,Cork
University,Marketing,Under €25k,2026-08-06,Limerick
Local authority,Marketing,Under €25k,2026-06-25,Limerick
Local authority,Marketing,Under €25k,2026-08-13,Galway
Local authority,Training,€50k to €150k,2026-07-26,Galway
Local authority,Marketing,€50k to €150k,2026-06-08,Galway
University,Marketing,Under €25k,2026-05-19,Wicklow
Local authority,AI,Under €25k,2026-09-02,Clare
Health body,AI,Under €25k,2026-06-21,Limerick
University,Marketing,Under €25k,2026-07-22,Wicklow
Health body,AI,Under €25k,2026-07-18,Waterford
University,Marketing,€50k to €150k,2026-07-15,Limerick
Local authority,Training,Under €25k,2026-09-01,Cork
Health body,AI,€50k to €150k,2026-07-14,Limerick
Local authority,AI,Under €25k,2026-07-23,Galway
Local authority,Marketing,Under €25k,2026-05-21,Waterford
Local authority,AI,Under €25k,2026-08-25,Cork
State agency,Training,Under €25k,2026-06-25,Waterford
Local authority,Marketing,Under €25k,2026-07-10,Limerick
University,AI,€50k to €150k,2026-09-10,Waterford
Local authority,AI,€50k to €150k,2026-07-26,Clare
University,Marketing,€50k to €150k,2026-09-10,Waterford
Local authority,Training,Under €25k,2026-07-10,Waterford
Local authority,Training,Under €25k,2026-06-03,Clare
Local authority,Marketing,Under €25k,2026-08-03,Waterford
Local authority,Marketing,€50k to €150k,2026-09-10,Wicklow
Local authority,AI,Under €25k,2026-07-21,Galway
University,AI,Under €25k,2026-08-18,Waterford
University,Training,€50k to €150k,2026-09-04,Waterford
Local authority,Marketing,Under €25k,2026-05-25,Galway
Local authority,Training,Under €25k,2026-06-17,Wicklow
Health body,AI,€50k to €150k,2026-07-13,Waterford
University,AI,Under €25k,2026-08-07,Limerick
Local authority,Marketing,€25k to €50k,2026-08-31,Limerick
Local authority,Marketing,€50k to €150k,2026-08-09,Wicklow
University,Training,Under €25k,2026-07-20,Galway
University,AI,€25k to €50k,2026-05-31,Galway
Local authority,Marketing,Under €25k,2026-05-28,Clare
Local authority,Training,Under €25k,2026-07-06,Galway
University,AI,Under €25k,2026-09-11,Galway
Local authority,AI,Under €25k,2026-07-09,Waterford
State agency,Training,€50k to €150k,2026-05-30,Waterford
Local authority,Training,€50k to €150k,2026-09-07,Limerick
University,Training,€50k to €150k,2026-06-16,Galway
University,Training,€50k to €150k,2026-07-06,Wicklow
State agency,AI,Under €25k,2026-08-10,Cork
State agency,Marketing,Under €25k,2026-05-28,Cork
University,Marketing,Under €25k,2026-09-08,Waterford
University,Marketing,Under €25k,2026-06-21,Waterford
University,Marketing,Under €25k,2026-07-01,Galway
University,Training,€25k to €50k,2026-06-07,Wicklow
University,AI,Under €25k,2026-07-06,Wicklow
Local authority,Marketing,Under €25k,2026-08-08,Waterford
State agency,Training,€50k to €150k,2026-08-21,Galway
Local authority,AI,Under €25k,2026-06-04,Limerick
University,AI,Under €25k,2026-06-06,Wicklow
Health body,Marketing,Under €25k,2026-05-26,Waterford
University,Training,Under €25k,2026-06-23,Limerick
Local authority,Training,Under €25k,2026-05-22,Waterford
Health body,AI,€50k to €150k,2026-06-06,Galway
Local authority,Marketing,€25k to €50k,2026-06-20,Galway
University,Training,Under €25k,2026-08-03,Galway
Local authority,Marketing,Under €25k,2026-06-02,Limerick
Local authority,Training,€50k to €150k,2026-07-30,Galway
University,Marketing,Under €25k,2026-05-17,Cork
University,Training,Under €25k,2026-07-26,Wicklow
University,AI,Under €25k,2026-09-03,Wicklow
State agency,Marketing,Under €25k,2026-07-30,Limerick
University,Marketing,€50k to €150k,2026-09-06,Waterford
Health body,AI,Under €25k,2026-05-16,Wicklow
Local authority,Marketing,Under €25k,2026-05-25,Galway
State agency,AI,Under €25k,2026-06-29,Galway
Health body,Training,Under €25k,2026-08-14,Galway
Local authority,AI,€25k to €50k,2026-05-27,Galway
University,Marketing,€50k to €150k,2026-08-30,Limerick
University,Training,Under €25k,2026-07-07,Galway
University,Marketing,Under €25k,2026-09-09,Galway
State agency,AI,Under €25k,2026-08-31,Galway
Local authority,Training,Under €25k,2026-05-16,Wicklow
Local authority,AI,Under €25k,2026-08-03,Waterford
Local authority,AI,Under €25k,2026-07-27,Cork
Local authority,Marketing,Under €25k,2026-08-10,Galway
State agency,Training,Under €25k,2026-06-04,Limerick
University,AI,Under €25k,2026-09-03,Galway
Local authority,Marketing,Under €25k,2026-08-27,Clare
State agency,Training,Under €25k,2026-06-12,Waterford
Local authority,Training,Under €25k,2026-09-06,Waterford
University,AI,Under €25k,2026-09-10,Galway
Health body,Training,€25k to €50k,2026-08-15,Galway
Local authority,Marketing,€50k to €150k,2026-07-11,Galway
Health body,Marketing,Under €25k,2026-06-28,Galway
Local authority,Marketing,€50k to €150k,2026-06-14,Clare
Local authority,Marketing,€50k to €150k,2026-05-17,Clare
Local authority,Marketing,Under €25k,2026-08-20,Clare
Local authority,Training,Under €25k,2026-06-28,Wicklow
Local authority,Training,Under €25k,2026-08-07,Limerick
University,Marketing,€50k to €150k,2026-07-25,Wicklow
University,Marketing,Under €25k,2026-09-09,Limerick
State agency,Marketing,€50k to €150k,2026-06-16,Waterford
Local authority,AI,Under €25k,2026-05-18,Galway
University,Training,Under €25k,2026-06-03,Cork
State agency,AI,Under €25k,2026-06-12,Clare
University,AI,Under €25k,2026-08-24,Wicklow
State agency,AI,€50k to €150k,2026-08-02,Waterford
Local authority,Marketing,€50k to €150k,2026-08-20,Cork
University,Training,Under €25k,2026-06-16,Clare
University,Marketing,Under €25k,2026-08-31,Limerick
University,AI,Under €25k,2026-06-20,Cork
State agency,Marketing,Under €25k,2026-07-05,Wicklow
University,AI,€50k to €150k,2026-07-01,Clare
Local authority,Marketing,€25k to €50k,2026-08-06,Galway
Local authority,Training,Under €25k,2026-05-23,Cork
University,Marketing,Under €25k,2026-06-26,Wicklow
University,AI,€25k to €50k,2026-08-21,Galway
Health body,Training,Under €25k,2026-08-11,Waterford
Local authority,Training,Under €25k,2026-08-27,Waterford
State agency,AI,€50k to €150k,2026-06-09,Waterford
State agency,AI,€25k to €50k,2026-07-13,Galway
University,AI,Under €25k,2026-06-06,Limerick
Health body,Training,€50k to €150k,2026-05-22,Limerick
Health body,Marketing,€25k to €50k,2026-09-02,Limerick
Local authority,Marketing,Under €25k,2026-05-22,Limerick
Health body,Marketing,Under €25k,2026-06-19,Clare
Health body,Training,Under €25k,2026-06-24,Galway
Health body,AI,Under €25k,2026-09-10,Galway
Local authority,Training,Under €25k,2026-06-06,Galway
University,Training,€25k to €50k,2026-06-19,Waterford
University,Training,Under €25k,2026-07-25,Cork
Local authority,AI,Under €25k,2026-07-09,Wicklow
Health body,Marketing,Under €25k,2026-06-20,Galway
Local authority,Training,€25k to €50k,2026-06-03,Waterford
University,Training,€50k to €150k,2026-06-01,Galway
University,AI,Under €25k,2026-05-22,Waterford
University,Marketing,Under €25k,2026-09-05,Waterford
Local authority,Training,€25k to €50k,2026-08-26,Galway
Local authority,AI,Under €25k,2026-07-06,Galway
University,Training,Under €25k,2026-06-15,Wicklow
Local authority,Training,€50k to €150k,2026-09-10,Galway
University,Training,€50k to €150k,2026-07-10,Galway
Local authority,Training,Under €25k,2026-07-13,Galway
Local authority,AI,€50k to €150k,2026-07-02,Cork
Local authority,Training,€50k to €150k,2026-07-09,Waterford
Health body,Training,Under €25k,2026-06-17,Waterford
Local authority,Training,Under €25k,2026-08-23,Cork
University,Training,Under €25k,2026-08-06,Clare
Local authority,AI,€50k to €150k,2026-06-18,Galway
Local authority,AI,€50k to €150k,2026-07-06,Cork
University,Training,€50k to €150k,2026-08-02,Waterford
Local authority,Marketing,Under €25k,2026-08-14,Waterford
State agency,AI,€50k to €150k,2026-07-30,Waterford
Local authority,AI,Under €25k,2026-06-15,Galway
University,AI,Under €25k,2026-08-22,Waterford
State agency,AI,Under €25k,2026-08-05,Cork
Local authority,Training,Under €25k,2026-08-13,Clare
Local authority,Training,Under €25k,2026-08-08,Galway
Local authority,Training,€50k to €150k,2026-06-02,Limerick
Local authority,Marketing,Under €25k,2026-05-18,Cork
Health body,AI,€25k to €50k,2026-05-23,Waterford
State agency,Marketing,€25k to €50k,2026-09-11,Waterford
Local authority,Training,Under €25k,2026-08-31,Limerick
University,Marketing,Under €25k,2026-06-21,Waterford
State agency,Training,Under €25k,2026-06-19,Limerick
University,Training,Under €25k,2026-05-23,Clare
Local authority,Marketing,€25k to €50k,2026-06-08,Limerick
Health body,Marketing,Under €25k,2026-06-17,Waterford
Local authority,AI,€50k to €150k,2026-08-10,Galway
University,AI,€50k to €150k,2026-07-14,Waterford
University,Marketing,€50k to €150k,2026-07-06,Clare
University,AI,Under €25k,2026-08-27,Cork
Local authority,Training,€50k to €150k,2026-07-24,Cork
Local authority,AI,Under €25k,2026-07-25,Wicklow
University,AI,Under €25k,2026-08-22,Limerick
Local authority,Training,Under €25k,2026-05-18,Wicklow
Local authority,AI,Under €25k,2026-08-04,Clare
Local authority,Marketing,Under €25k,2026-07-15,Galway
University,Training,Under €25k,2026-05-19,Limerick
Local authority,AI,Under €25k,2026-08-15,Galway
Local authority,Marketing,Under €25k,2026-08-19,Galway
State agency,Marketing,€25k to €50k,2026-08-29,Limerick
University,Training,Under €25k,2026-06-08,Cork
Health body,AI,Under €25k,2026-07-12,Limerick
University,Marketing,€50k to €150k,2026-07-11,Clare
University,Marketing,Under €25k,2026-08-04,Galway
Local authority,AI,Under €25k,2026-09-12,Galway
Local authority,Training,€50k to €150k,2026-08-12,Waterford
State agency,Training,€25k to €50k,2026-09-09,Galway
University,AI,€50k to €150k,2026-08-19,Galway
Health body,Training,Under €25k,2026-06-08,Galway
State agency,Training,€25k to €50k,2026-06-27,Galway
Local authority,Training,Under €25k,2026-06-14,Cork
Local authority,AI,€50k to €150k,2026-08-23,Wicklow
University,Marketing,€50k to €150k,2026-06-29,Cork
Local authority,Training,Under €25k,2026-08-21,Clare
Local authority,Marketing,€50k to €150k,2026-07-25,Galway
Local authority,Training,Under €25k,2026-06-02,Cork
Local authority,Marketing,Under €25k,2026-09-06,Waterford
Health body,Training,Under €25k,2026-05-20,Clare
Local authority,AI,Under €25k,2026-05-26,Waterford
University,Marketing,€50k to €150k,2026-08-16,Limerick
