agent,task,cost,seconds,handed_back,run
Sam,Writing,277,340,yes,2026-09-09
Cato,Writing,389,307,no,2026-07-07
Sam,Checking,270,358,no,2026-07-07
Sam,Checking,459,399,yes,2026-07-02
Lena,Checking,225,286,yes,2026-06-25
Sam,Checking,58,-8,yes,2026-07-18
Cato,Reporting,264,465,yes,2026-06-27
Sam,Checking,-3,294,yes,2026-09-10
Sam,Checking,310,226,yes,2026-06-28
Cato,Writing,352,316,yes,2026-08-19
Cato,Checking,261,328,no,2026-09-09
Cato,Reporting,345,306,no,2026-08-03
Cato,Reporting,225,233,yes,2026-07-17
Sam,Research,37,64,no,2026-08-19
Lena,Writing,349,399,no,2026-06-07
Sam,Writing,11,413,yes,2026-07-30
Cato,Checking,329,312,no,2026-08-12
Cato,Research,345,251,no,2026-07-21
Cato,Checking,114,300,no,2026-07-21
Cato,Writing,463,477,no,2026-06-05
Cato,Checking,182,147,no,2026-06-08
Vera,Research,60,27,yes,2026-05-26
Lena,Writing,366,362,yes,2026-06-26
Sam,Checking,131,365,no,2026-06-08
Lena,Checking,293,389,yes,2026-08-16
Sam,Checking,307,255,no,2026-08-06
Cato,Writing,129,177,no,2026-07-31
Cato,Research,322,301,yes,2026-08-30
Sam,Checking,60,247,no,2026-06-11
Cato,Reporting,110,55,yes,2026-05-25
Cato,Checking,205,444,yes,2026-06-21
Cato,Checking,0,278,yes,2026-07-28
Cato,Checking,323,276,yes,2026-09-08
Cato,Checking,416,176,yes,2026-08-04
Cato,Writing,163,249,yes,2026-06-27
Lena,Research,382,490,yes,2026-08-19
Cato,Checking,50,185,yes,2026-08-20
Lena,Checking,34,-74,no,2026-09-18
Cato,Writing,187,456,no,2026-08-01
Cato,Checking,-18,228,yes,2026-06-16
Cato,Checking,396,180,yes,2026-07-09
Lena,Writing,226,323,yes,2026-09-11
Cato,Research,196,157,no,2026-07-07
Vera,Checking,460,462,yes,2026-08-07
Sam,Checking,40,137,yes,2026-07-15
Cato,Writing,45,76,yes,2026-07-22
Cato,Research,245,327,no,2026-09-18
Lena,Checking,83,325,no,2026-08-10
Cato,Writing,339,322,no,2026-07-07
Lena,Checking,283,273,no,2026-09-15
Sam,Checking,157,302,yes,2026-08-26
Cato,Checking,457,376,no,2026-05-25
Cato,Checking,234,195,yes,2026-08-26
Cato,Reporting,132,-44,yes,2026-06-21
Cato,Research,248,459,yes,2026-07-13
Cato,Checking,97,364,yes,2026-08-25
Sam,Research,319,308,no,2026-07-13
Cato,Writing,312,136,no,2026-07-25
Cato,Research,130,198,yes,2026-07-11
Vera,Checking,449,430,no,2026-06-15
Cato,Checking,136,161,yes,2026-06-26
Cato,Writing,151,-50,yes,2026-07-17
Cato,Checking,232,398,yes,2026-07-16
Cato,Research,68,374,no,2026-06-25
Vera,Checking,230,371,no,2026-08-31
Sam,Checking,292,346,yes,2026-07-28
Sam,Research,176,309,yes,2026-08-07
Cato,Writing,307,382,yes,2026-06-20
Cato,Writing,222,114,yes,2026-08-22
Sam,Research,-3,-41,yes,2026-06-17
Cato,Checking,297,399,yes,2026-08-20
Cato,Checking,-34,269,yes,2026-06-13
Vera,Checking,391,232,yes,2026-05-27
Lena,Checking,221,324,no,2026-08-27
Sam,Checking,298,324,no,2026-08-01
Lena,Checking,433,296,no,2026-06-04
Vera,Checking,226,277,no,2026-07-02
Cato,Checking,92,108,yes,2026-09-08
Cato,Writing,369,466,yes,2026-08-16
Cato,Research,134,243,yes,2026-05-25
Cato,Checking,206,325,no,2026-07-27
Vera,Checking,224,273,no,2026-05-31
Sam,Checking,268,225,yes,2026-08-29
Sam,Reporting,289,494,yes,2026-05-24
Cato,Checking,70,237,no,2026-08-10
Vera,Writing,166,28,no,2026-08-16
Cato,Reporting,309,351,yes,2026-06-28
Cato,Checking,-20,306,no,2026-07-27
Cato,Checking,395,395,yes,2026-08-14
Cato,Checking,384,127,no,2026-07-01
Cato,Checking,144,347,yes,2026-06-16
Cato,Checking,323,429,yes,2026-07-21
Vera,Checking,133,211,yes,2026-09-13
Cato,Checking,47,45,no,2026-08-21
Sam,Writing,379,267,no,2026-09-16
Vera,Research,-33,316,yes,2026-08-11
Cato,Checking,301,400,no,2026-07-14
Cato,Writing,233,127,no,2026-06-23
Cato,Checking,126,278,no,2026-08-07
Vera,Checking,379,365,yes,2026-06-06
Cato,Reporting,172,180,no,2026-09-17
Lena,Checking,42,-87,yes,2026-09-10
Cato,Research,353,460,no,2026-08-23
Cato,Checking,48,285,no,2026-06-08
Cato,Writing,374,261,yes,2026-08-09
Cato,Checking,217,219,no,2026-05-24
Cato,Checking,157,329,no,2026-08-28
Lena,Checking,371,301,yes,2026-09-07
Vera,Writing,145,159,yes,2026-09-03
Cato,Research,30,74,no,2026-06-01
Cato,Checking,229,425,yes,2026-07-26
Cato,Checking,63,406,no,2026-08-23
Cato,Reporting,364,279,yes,2026-06-26
Vera,Checking,276,271,yes,2026-09-02
Cato,Checking,143,262,yes,2026-06-30
Cato,Checking,434,290,no,2026-08-22
Cato,Writing,75,264,yes,2026-09-17
Cato,Checking,127,-31,no,2026-08-18
Cato,Checking,314,286,yes,2026-06-24
Sam,Writing,110,352,no,2026-09-17
Sam,Checking,239,241,no,2026-08-21
Sam,Checking,258,176,no,2026-08-12
Cato,Checking,202,198,yes,2026-06-01
Cato,Writing,467,300,no,2026-07-18
Cato,Writing,105,127,yes,2026-06-20
Sam,Checking,142,50,no,2026-08-14
Sam,Reporting,192,317,yes,2026-08-17
Cato,Checking,-36,395,no,2026-07-23
Sam,Checking,283,250,yes,2026-08-12
Cato,Reporting,223,145,no,2026-08-24
Cato,Research,193,160,yes,2026-07-14
Vera,Checking,420,304,yes,2026-08-18
Sam,Research,85,294,yes,2026-07-28
Cato,Research,31,-35,no,2026-06-30
Cato,Checking,300,317,yes,2026-06-23
Sam,Checking,108,324,no,2026-06-02
Sam,Reporting,216,378,yes,2026-06-06
Cato,Checking,392,213,yes,2026-08-01
Cato,Checking,295,312,no,2026-06-23
Lena,Writing,428,358,no,2026-06-23
Cato,Reporting,43,224,yes,2026-08-21
Sam,Checking,136,-37,no,2026-07-16
Vera,Checking,246,422,yes,2026-06-03
Sam,Checking,103,387,no,2026-08-03
Vera,Checking,288,230,no,2026-05-29
Vera,Writing,378,144,yes,2026-08-23
Lena,Research,131,240,no,2026-09-20
Sam,Checking,284,348,yes,2026-06-10
Cato,Reporting,110,90,no,2026-08-25
Vera,Reporting,-37,29,yes,2026-05-31
Cato,Checking,369,399,no,2026-07-19
Cato,Research,63,419,yes,2026-06-20
Vera,Research,277,206,no,2026-06-30
Lena,Writing,323,127,yes,2026-07-03
Lena,Checking,230,281,no,2026-08-05
Cato,Research,415,390,no,2026-06-16
Vera,Checking,62,192,yes,2026-06-07
Cato,Writing,-36,18,yes,2026-06-22
Vera,Checking,381,324,no,2026-07-29
Cato,Writing,24,313,yes,2026-08-10
Vera,Checking,250,323,no,2026-06-17
Lena,Research,416,346,yes,2026-08-26
Lena,Writing,277,175,no,2026-07-19
Lena,Writing,320,504,yes,2026-08-19
Cato,Checking,32,98,yes,2026-09-12
Lena,Checking,37,-101,no,2026-08-22
Cato,Checking,285,390,yes,2026-08-28
Lena,Checking,20,201,no,2026-07-08
Cato,Checking,346,275,no,2026-09-04
Cato,Writing,389,233,yes,2026-07-31
Cato,Reporting,230,220,no,2026-09-15
Sam,Checking,453,373,yes,2026-05-26
Sam,Reporting,50,258,no,2026-05-31
Vera,Checking,-26,102,yes,2026-09-10
Vera,Writing,257,483,no,2026-08-15
Sam,Research,128,314,no,2026-07-29
Lena,Checking,243,254,yes,2026-06-27
Cato,Checking,235,236,no,2026-06-15
Lena,Writing,116,237,yes,2026-09-05
Sam,Checking,473,413,yes,2026-07-17
Lena,Checking,100,302,no,2026-07-20
Cato,Research,136,98,yes,2026-07-14
Cato,Reporting,241,469,yes,2026-06-25
Sam,Checking,83,380,no,2026-06-17
Cato,Checking,220,214,no,2026-05-31
Vera,Checking,413,140,yes,2026-06-14
Cato,Reporting,260,286,yes,2026-09-16
Lena,Writing,464,383,yes,2026-07-16
Cato,Checking,107,151,no,2026-08-18
Cato,Checking,120,90,yes,2026-09-02
Sam,Checking,254,353,no,2026-08-12
Vera,Research,10,360,no,2026-08-04
Cato,Writing,278,299,no,2026-08-11
Sam,Writing,224,236,no,2026-09-14
Cato,Research,216,314,yes,2026-07-13
Cato,Checking,357,397,no,2026-06-25
Vera,Checking,190,217,yes,2026-05-28
Cato,Checking,112,-30,no,2026-08-12
Cato,Checking,286,391,yes,2026-05-27
Lena,Reporting,69,223,yes,2026-08-23
Lena,Writing,380,290,yes,2026-07-09
Cato,Writing,305,137,no,2026-08-17
Cato,Reporting,225,255,yes,2026-07-31
Cato,Writing,403,471,yes,2026-07-18
Cato,Checking,88,211,no,2026-07-02
Cato,Checking,13,-68,no,2026-09-15
Cato,Reporting,358,269,yes,2026-07-04
Sam,Checking,-20,325,no,2026-08-25
Cato,Checking,320,379,yes,2026-08-01
Sam,Checking,399,186,yes,2026-08-25
Cato,Checking,265,204,no,2026-09-18
Sam,Writing,366,502,yes,2026-07-14
Sam,Checking,134,280,yes,2026-08-04
Sam,Reporting,107,-44,yes,2026-08-14
Cato,Checking,219,435,no,2026-06-01
Cato,Research,53,306,no,2026-06-24
Vera,Writing,367,369,yes,2026-06-25
Sam,Checking,407,212,yes,2026-08-23
Sam,Checking,169,164,yes,2026-06-30
Cato,Research,308,483,no,2026-07-04
Cato,Reporting,196,299,no,2026-06-02
Vera,Reporting,-20,-37,yes,2026-06-14
Cato,Writing,200,408,yes,2026-08-31
Sam,Checking,85,232,no,2026-07-15
Sam,Writing,262,403,yes,2026-06-13
Cato,Checking,222,307,no,2026-08-22
Lena,Checking,234,252,yes,2026-07-09
Sam,Checking,409,397,yes,2026-06-17
Vera,Checking,80,120,yes,2026-07-20
Vera,Checking,-23,-15,no,2026-06-22
Cato,Reporting,245,400,no,2026-08-26
Vera,Reporting,125,291,yes,2026-06-03
Cato,Writing,234,375,yes,2026-06-07
Cato,Research,260,278,no,2026-07-29
Lena,Reporting,266,270,yes,2026-07-13
Cato,Checking,355,416,no,2026-06-28
Cato,Writing,202,193,no,2026-08-12
Cato,Research,-13,64,yes,2026-08-28
Sam,Reporting,184,384,no,2026-07-25
Sam,Checking,2,313,no,2026-07-12
Cato,Research,281,319,yes,2026-06-06
Cato,Writing,352,320,yes,2026-07-07
Sam,Checking,291,255,no,2026-07-23
Cato,Writing,323,471,no,2026-07-13
Vera,Checking,153,266,no,2026-06-05
Lena,Checking,58,-96,yes,2026-07-19
Cato,Checking,285,446,no,2026-08-02
Cato,Checking,4,220,no,2026-06-07
Cato,Reporting,320,374,no,2026-05-26
Sam,Research,344,347,yes,2026-08-12
Cato,Writing,225,277,yes,2026-09-17
Lena,Checking,323,503,no,2026-08-29
Cato,Checking,225,211,yes,2026-09-03
Vera,Writing,-3,36,no,2026-06-25
Sam,Checking,330,351,no,2026-09-13
Vera,Reporting,104,241,yes,2026-06-06
Sam,Checking,378,178,yes,2026-06-18
Sam,Checking,227,214,yes,2026-07-04
Lena,Checking,294,272,yes,2026-08-15
Cato,Checking,444,506,yes,2026-06-10
Cato,Checking,136,281,no,2026-06-30
Cato,Checking,158,123,yes,2026-06-02
Cato,Checking,199,463,yes,2026-06-25
Cato,Checking,34,338,yes,2026-08-23
Sam,Checking,207,239,yes,2026-07-10
Lena,Checking,389,342,yes,2026-07-13
Sam,Checking,201,311,no,2026-07-18
Vera,Reporting,364,500,no,2026-09-07
Cato,Checking,131,284,yes,2026-07-12
Cato,Reporting,24,7,no,2026-06-26
Cato,Research,283,377,yes,2026-09-19
Cato,Checking,-19,201,no,2026-05-25
Vera,Writing,329,210,yes,2026-08-06
Cato,Writing,305,139,no,2026-09-02
Cato,Writing,121,201,no,2026-06-06
Sam,Checking,459,446,yes,2026-06-09
Cato,Checking,222,162,yes,2026-07-12
Lena,Checking,99,56,yes,2026-05-25
Lena,Checking,272,317,yes,2026-08-20
Sam,Writing,93,316,no,2026-09-01
Lena,Checking,232,366,yes,2026-06-14
Cato,Checking,393,299,yes,2026-08-25
Vera,Research,249,131,no,2026-06-16
Sam,Checking,329,295,no,2026-07-08
Cato,Checking,194,129,yes,2026-07-30
Lena,Checking,39,22,no,2026-06-29
Sam,Checking,365,486,no,2026-08-17
Sam,Checking,47,344,no,2026-07-18
Cato,Writing,212,228,yes,2026-09-19
Cato,Checking,347,180,yes,2026-05-31
Cato,Checking,126,254,no,2026-07-09
Sam,Writing,368,378,yes,2026-05-26
Sam,Reporting,60,307,no,2026-07-24
Cato,Writing,29,97,no,2026-05-28
Cato,Checking,187,298,no,2026-06-13
Sam,Reporting,40,412,yes,2026-08-09
Lena,Research,211,273,no,2026-06-19
Cato,Checking,386,266,no,2026-08-17
Cato,Checking,233,166,no,2026-07-13
Cato,Reporting,422,385,no,2026-09-17
Cato,Reporting,70,141,yes,2026-09-18
Cato,Checking,122,2,yes,2026-08-26
Cato,Writing,212,408,no,2026-06-21
Sam,Research,20,207,yes,2026-06-10
Cato,Checking,309,201,no,2026-07-01
Sam,Checking,319,326,no,2026-09-07
Cato,Writing,162,289,yes,2026-08-21
Sam,Writing,449,293,yes,2026-07-26
Cato,Reporting,169,181,yes,2026-06-13
Sam,Checking,108,-43,no,2026-05-29
Sam,Checking,202,413,no,2026-07-25
Cato,Checking,-33,335,yes,2026-09-16
Sam,Checking,324,386,yes,2026-06-03
Sam,Writing,275,278,no,2026-09-05
Sam,Checking,139,204,yes,2026-06-11
Sam,Writing,370,408,no,2026-06-22
Lena,Research,81,261,yes,2026-08-07
Cato,Checking,51,-17,no,2026-08-26
Vera,Checking,237,403,yes,2026-06-05
Cato,Checking,17,405,yes,2026-06-15
Cato,Research,230,386,yes,2026-06-06
Sam,Writing,402,327,no,2026-08-15
Cato,Reporting,189,259,yes,2026-07-18
Cato,Checking,359,440,no,2026-07-15
Sam,Reporting,66,305,yes,2026-06-29
Vera,Checking,99,53,no,2026-06-28
Vera,Reporting,384,396,yes,2026-05-31
Sam,Research,50,307,no,2026-05-28
Lena,Reporting,198,262,yes,2026-06-29
Sam,Checking,317,125,yes,2026-09-11
Sam,Writing,291,206,no,2026-06-26
Cato,Writing,384,374,no,2026-07-28
Cato,Checking,69,181,yes,2026-07-03
Vera,Reporting,-19,-65,no,2026-07-05
Lena,Writing,240,394,no,2026-07-26
Cato,Checking,-31,410,no,2026-06-10
Cato,Checking,344,373,no,2026-06-09
Cato,Checking,304,294,yes,2026-08-18
Cato,Checking,141,321,yes,2026-07-14
Cato,Writing,399,484,no,2026-06-03
Cato,Checking,215,120,yes,2026-06-28
Cato,Checking,-16,100,yes,2026-07-03
Vera,Writing,211,419,yes,2026-09-16
Sam,Reporting,90,199,no,2026-06-04
Cato,Writing,386,248,no,2026-07-06
Lena,Writing,317,348,yes,2026-07-16
Lena,Reporting,135,314,yes,2026-08-28
Cato,Reporting,303,451,yes,2026-06-10
Cato,Checking,70,89,yes,2026-06-13
Cato,Checking,-17,41,yes,2026-07-29
Lena,Writing,338,329,yes,2026-06-07
Sam,Checking,11,376,no,2026-06-03
Sam,Writing,377,331,no,2026-07-01
Cato,Checking,229,284,no,2026-07-06
Cato,Writing,105,334,yes,2026-07-21
Sam,Reporting,437,402,no,2026-08-05
Cato,Writing,231,250,no,2026-06-11
Cato,Checking,49,2,no,2026-07-31
Cato,Checking,388,266,no,2026-05-28
Sam,Writing,124,400,no,2026-06-09
Lena,Checking,286,388,yes,2026-08-23
Cato,Checking,296,231,no,2026-08-08
Sam,Reporting,194,356,no,2026-06-26
Vera,Research,459,338,no,2026-07-03
Cato,Reporting,227,308,no,2026-07-16
Sam,Checking,144,61,no,2026-07-24
Cato,Checking,351,316,no,2026-06-26
Cato,Checking,-40,340,yes,2026-06-05
Sam,Checking,343,395,yes,2026-07-15
Sam,Writing,400,137,yes,2026-07-23
Cato,Writing,121,283,yes,2026-07-05
Sam,Research,341,396,yes,2026-08-01
Cato,Research,144,188,no,2026-06-12
Sam,Checking,-35,72,no,2026-08-15
Cato,Research,183,369,no,2026-07-15
Cato,Research,38,201,no,2026-08-27
Sam,Checking,343,220,yes,2026-06-30
Vera,Checking,374,142,no,2026-08-04
Cato,Writing,195,225,no,2026-06-05
Vera,Reporting,413,483,yes,2026-05-28
Vera,Checking,209,253,yes,2026-07-12
Vera,Checking,117,-23,yes,2026-08-04
Cato,Checking,219,287,yes,2026-07-14
Sam,Research,103,348,no,2026-09-16
Cato,Checking,289,259,yes,2026-06-29
Lena,Checking,216,336,yes,2026-06-29
Vera,Reporting,255,322,yes,2026-08-10
Cato,Writing,390,492,yes,2026-08-01
Vera,Research,58,286,no,2026-06-15
Sam,Checking,-26,-65,yes,2026-07-28
Lena,Checking,339,468,yes,2026-09-09
Vera,Checking,23,256,no,2026-07-28
Sam,Checking,367,231,yes,2026-06-06
Vera,Reporting,405,308,no,2026-06-18
Lena,Checking,145,325,yes,2026-08-24
Cato,Writing,458,292,no,2026-05-25
Sam,Writing,47,304,no,2026-05-30
Lena,Research,-13,-34,no,2026-09-04
Cato,Checking,189,431,yes,2026-07-23
Cato,Research,115,406,no,2026-08-01
Cato,Writing,222,329,no,2026-08-28
Lena,Checking,369,216,yes,2026-06-01
Cato,Checking,253,350,no,2026-07-13
Lena,Checking,345,502,yes,2026-08-12
Lena,Writing,154,270,no,2026-08-15
Cato,Research,-20,90,yes,2026-07-10
Sam,Research,207,426,yes,2026-09-18
Cato,Research,-2,303,yes,2026-07-08
Sam,Checking,278,317,no,2026-08-12
Sam,Writing,384,148,no,2026-06-14
Sam,Checking,260,174,no,2026-08-10
Cato,Checking,478,417,no,2026-07-23
Vera,Research,135,85,no,2026-08-16
Cato,Checking,123,-98,yes,2026-09-05
Cato,Writing,266,364,no,2026-07-18
Vera,Research,-25,269,yes,2026-06-01
Lena,Writing,331,197,yes,2026-09-01
Cato,Reporting,320,331,no,2026-06-02
Cato,Research,199,208,no,2026-08-13
Sam,Checking,421,438,no,2026-09-12
Sam,Research,76,261,yes,2026-08-23
Cato,Checking,93,9,no,2026-06-20
Cato,Research,202,321,no,2026-07-07
Vera,Writing,-63,411,yes,2026-08-29
Sam,Checking,193,259,yes,2026-07-30
Sam,Research,273,159,no,2026-06-29
Sam,Writing,288,267,yes,2026-06-22
Vera,Checking,377,503,yes,2026-07-10
Sam,Writing,144,271,yes,2026-06-23
Sam,Writing,81,-46,no,2026-08-22
Cato,Checking,355,479,no,2026-07-25
Cato,Research,126,341,yes,2026-08-19
Sam,Writing,258,377,no,2026-09-14
Cato,Checking,381,292,no,2026-07-17
Cato,Reporting,103,203,no,2026-07-28
Cato,Checking,384,444,yes,2026-08-10
Cato,Writing,71,262,yes,2026-09-02
Cato,Checking,44,80,yes,2026-06-21
Cato,Checking,192,414,yes,2026-06-04
Cato,Checking,38,274,no,2026-07-30
Lena,Research,231,269,no,2026-08-30
Cato,Research,346,121,yes,2026-07-03
Sam,Reporting,240,248,no,2026-06-06
Vera,Checking,320,451,yes,2026-08-03
Lena,Checking,81,260,yes,2026-06-28
Cato,Checking,79,-71,yes,2026-08-12
Sam,Checking,221,454,yes,2026-09-02
Lena,Reporting,31,245,no,2026-07-07
Cato,Reporting,353,296,no,2026-08-23
Sam,Writing,401,217,yes,2026-07-04
Sam,Writing,198,140,no,2026-08-24
Sam,Checking,302,500,no,2026-05-26
Vera,Checking,152,309,no,2026-06-13
Vera,Checking,112,-99,yes,2026-08-19
Vera,Research,357,419,no,2026-07-04
Sam,Research,113,410,no,2026-06-19
Sam,Research,219,343,yes,2026-06-22
Sam,Checking,353,261,yes,2026-08-17
Cato,Checking,294,253,no,2026-05-24
Cato,Checking,295,281,no,2026-05-25
Cato,Writing,190,247,yes,2026-07-01
Sam,Checking,-21,49,no,2026-08-24
Cato,Reporting,243,460,no,2026-05-30
Lena,Reporting,135,284,no,2026-07-19
Lena,Checking,231,327,no,2026-06-12
Vera,Checking,259,226,yes,2026-07-08
Cato,Checking,203,240,no,2026-06-15
Vera,Writing,442,398,yes,2026-06-26
Lena,Checking,169,94,yes,2026-07-18
Cato,Checking,143,125,no,2026-08-04
Sam,Checking,346,400,no,2026-06-13
Cato,Checking,-57,315,no,2026-07-25
Lena,Writing,294,207,no,2026-08-19
Sam,Checking,356,158,yes,2026-06-09
Vera,Reporting,220,316,no,2026-09-09
Cato,Checking,451,422,yes,2026-06-16
Sam,Writing,70,93,yes,2026-08-02
Sam,Checking,-19,48,no,2026-05-25
Cato,Checking,327,467,no,2026-05-26
Cato,Writing,-37,411,no,2026-09-06
Sam,Writing,203,386,yes,2026-07-07
Lena,Checking,289,152,no,2026-07-04
Sam,Writing,148,291,no,2026-09-05
Vera,Research,292,488,yes,2026-07-15
Cato,Reporting,128,124,no,2026-06-01
Cato,Checking,3,-25,yes,2026-08-13
Cato,Writing,385,388,no,2026-08-30
Cato,Research,6,270,yes,2026-06-26
Sam,Checking,367,264,no,2026-05-31
Cato,Reporting,381,201,yes,2026-09-03
Vera,Writing,270,167,no,2026-07-17
Vera,Checking,471,471,yes,2026-06-04
Cato,Writing,124,132,no,2026-07-01
Sam,Checking,74,58,no,2026-09-10
Cato,Checking,217,297,yes,2026-06-30
Cato,Checking,35,231,yes,2026-09-04
Lena,Checking,327,321,no,2026-05-27
Cato,Checking,415,200,no,2026-07-01
Cato,Checking,201,188,yes,2026-06-03
Sam,Checking,464,378,no,2026-07-12
Vera,Writing,202,265,yes,2026-08-14
Cato,Checking,67,-103,yes,2026-08-14
Sam,Research,215,382,yes,2026-05-26
Cato,Reporting,133,308,yes,2026-07-15
Cato,Checking,249,280,no,2026-07-01
Cato,Checking,326,300,no,2026-08-15
Cato,Writing,166,174,yes,2026-08-29
Sam,Checking,463,418,no,2026-06-25
Cato,Checking,49,274,yes,2026-07-15
Cato,Reporting,112,92,yes,2026-06-19
Vera,Reporting,204,386,yes,2026-08-03
Sam,Writing,96,384,no,2026-06-17
Sam,Research,274,241,no,2026-07-04
Cato,Writing,284,175,yes,2026-06-08
Vera,Writing,105,289,no,2026-07-09
Cato,Checking,353,324,no,2026-07-02
Sam,Checking,179,225,yes,2026-08-14
