tool_kind,plan,price,month
Meetings,Team,116,2026-06-20
Meetings,Team,266,2026-07-08
Images,Team,253,2026-08-12
Chat assistant,Team,131,2026-07-15
Meetings,Team,291,2026-06-16
Meetings,Team,137,2026-07-14
Chat assistant,Team,20,2026-09-04
Meetings,Team,285,2026-05-22
Meetings,Team,89,2026-07-30
Meetings,Team,201,2026-07-07
Writing,Team,236,2026-08-22
Chat assistant,Pro,199,2026-08-14
Images,Team,283,2026-07-31
Meetings,Team,137,2026-07-01
Images,Team,37,2026-06-04
Chat assistant,Team,231,2026-07-10
Writing,Team,123,2026-08-25
Meetings,Business,256,2026-05-18
Writing,Team,242,2026-06-19
Images,Team,210,2026-07-24
Meetings,Team,261,2026-07-11
Images,Team,129,2026-08-12
Writing,Team,41,2026-07-20
Meetings,Team,275,2026-07-05
Images,Team,18,2026-08-25
Images,Team,200,2026-09-05
Images,Pro,249,2026-07-28
Chat assistant,Team,156,2026-09-04
Images,Team,321,2026-06-27
Images,Pro,253,2026-07-10
Writing,Pro,103,2026-08-26
Images,Business,194,2026-06-29
Chat assistant,Team,47,2026-07-01
Images,Team,173,2026-06-13
Images,Team,266,2026-06-04
Writing,Pro,199,2026-05-19
Images,Team,239,2026-07-18
Images,Pro,191,2026-05-19
Images,Pro,100,2026-06-22
Images,Team,293,2026-06-04
Chat assistant,Team,54,2026-05-19
Images,Team,266,2026-08-16
Meetings,Team,288,2026-05-18
Chat assistant,Pro,230,2026-06-19
Meetings,Team,206,2026-08-22
Writing,Pro,180,2026-09-11
Images,Team,53,2026-09-08
Meetings,Pro,167,2026-07-19
Chat assistant,Pro,120,2026-07-20
Images,Team,188,2026-06-23
Images,Business,253,2026-05-26
Writing,Team,167,2026-07-24
Chat assistant,Team,311,2026-07-05
Writing,Business,166,2026-07-02
Images,Pro,72,2026-06-04
Meetings,Team,256,2026-08-21
Images,Business,106,2026-08-21
Images,Team,213,2026-06-08
Meetings,Team,311,2026-06-03
Chat assistant,Team,215,2026-07-08
Chat assistant,Business,270,2026-07-08
Meetings,Team,166,2026-09-06
Meetings,Team,82,2026-07-20
Meetings,Team,264,2026-06-28
Images,Team,58,2026-06-17
Meetings,Team,306,2026-08-10
Chat assistant,Team,264,2026-07-25
Meetings,Team,223,2026-07-09
Writing,Team,260,2026-08-10
Meetings,Team,223,2026-07-28
Chat assistant,Team,-12,2026-08-16
Chat assistant,Business,198,2026-08-11
Writing,Team,123,2026-07-12
Meetings,Business,207,2026-09-04
Images,Team,233,2026-08-13
Images,Pro,145,2026-08-17
Meetings,Team,260,2026-05-25
Images,Team,240,2026-09-01
Chat assistant,Team,56,2026-08-03
Images,Team,229,2026-05-27
Meetings,Team,72,2026-07-11
Images,Business,196,2026-07-23
Chat assistant,Team,270,2026-07-02
Images,Team,134,2026-07-12
Chat assistant,Team,205,2026-05-27
Images,Team,235,2026-07-23
Images,Team,40,2026-08-27
Meetings,Team,176,2026-07-03
Images,Team,115,2026-08-22
Chat assistant,Pro,277,2026-09-10
Chat assistant,Pro,270,2026-08-13
Meetings,Team,141,2026-06-10
Images,Team,214,2026-07-01
Writing,Team,176,2026-06-06
Meetings,Team,15,2026-07-08
Meetings,Business,187,2026-06-14
Meetings,Team,25,2026-08-20
Chat assistant,Team,303,2026-09-03
Images,Team,262,2026-06-22
Meetings,Team,192,2026-08-20
Chat assistant,Team,310,2026-06-02
Meetings,Team,251,2026-06-12
Writing,Team,-32,2026-08-07
Writing,Team,240,2026-05-31
Meetings,Team,47,2026-08-10
Meetings,Team,231,2026-08-17
Meetings,Team,223,2026-07-11
Writing,Team,214,2026-07-18
Images,Team,276,2026-07-07
Meetings,Team,226,2026-05-27
Meetings,Team,12,2026-07-28
Images,Team,201,2026-07-16
Writing,Team,134,2026-07-18
Chat assistant,Team,244,2026-06-04
Meetings,Team,209,2026-09-14
Chat assistant,Team,250,2026-07-18
Meetings,Team,262,2026-08-08
Meetings,Pro,156,2026-05-31
Chat assistant,Team,78,2026-06-17
Chat assistant,Business,168,2026-07-02
Images,Team,43,2026-06-29
Images,Business,276,2026-06-13
Images,Pro,254,2026-08-01
Writing,Team,157,2026-07-30
Images,Pro,241,2026-06-10
Images,Team,255,2026-06-26
Meetings,Team,-18,2026-08-24
Chat assistant,Team,202,2026-09-04
Writing,Team,45,2026-07-10
Images,Team,229,2026-07-31
Images,Team,258,2026-05-19
Chat assistant,Team,252,2026-07-19
Images,Team,203,2026-06-08
Chat assistant,Pro,232,2026-07-19
Images,Pro,28,2026-07-16
Images,Team,223,2026-05-18
Meetings,Team,131,2026-07-17
Images,Team,243,2026-06-02
Meetings,Team,250,2026-06-21
Writing,Team,160,2026-07-16
Chat assistant,Team,202,2026-06-22
Meetings,Team,185,2026-05-28
Meetings,Team,98,2026-05-18
Images,Business,171,2026-08-17
Meetings,Business,71,2026-06-12
Meetings,Team,188,2026-09-02
Chat assistant,Team,296,2026-08-07
Meetings,Team,188,2026-08-07
Meetings,Team,200,2026-05-28
Meetings,Team,130,2026-05-26
Meetings,Business,28,2026-06-25
Images,Pro,192,2026-07-01
Meetings,Team,21,2026-08-28
Meetings,Team,208,2026-09-01
Images,Team,284,2026-08-29
Images,Pro,237,2026-07-21
Chat assistant,Team,294,2026-06-15
Meetings,Team,253,2026-08-13
Meetings,Business,35,2026-08-22
Chat assistant,Business,159,2026-06-16
Meetings,Team,60,2026-08-23
Chat assistant,Business,226,2026-06-28
Meetings,Team,246,2026-06-02
Meetings,Team,237,2026-05-26
