sector,has_chat,replies,seconds,answered,read
Public sector,yes,no,0,no,2026-07-30
Energy,yes,no,0,yes,2026-06-03
Retail and ecommerce,no,yes,0,no,2026-08-04
Education,yes,yes,0,no,2026-06-15
Public sector,yes,yes,0,no,2026-07-08
Education,yes,yes,0,yes,2026-08-16
Tourism and hospitality,no,yes,0,yes,2026-06-21
Public sector,yes,no,0,no,2026-06-18
Public sector,no,yes,0,no,2026-07-27
Public sector,yes,no,0,no,2026-05-14
Energy,yes,yes,0,yes,2026-07-07
Energy,yes,no,0,yes,2026-07-21
Public sector,yes,yes,0,no,2026-07-20
Energy,no,no,0,yes,2026-07-30
Energy,yes,no,0,yes,2026-09-01
Energy,no,yes,0,yes,2026-06-14
Financial services,yes,yes,0,yes,2026-05-14
Energy,no,yes,0,no,2026-05-22
Energy,no,yes,0,no,2026-08-07
Energy,yes,no,0,no,2026-08-21
Tourism and hospitality,yes,no,0,yes,2026-05-14
Public sector,yes,yes,0,no,2026-07-15
Energy,yes,yes,0,yes,2026-06-08
Professional services,no,yes,0,no,2026-07-11
Education,no,no,0,no,2026-06-23
Public sector,yes,no,0,no,2026-05-22
Financial services,no,yes,0,no,2026-08-18
Public sector,no,yes,0,yes,2026-07-23
Energy,no,yes,0,yes,2026-06-18
Retail and ecommerce,no,yes,0,yes,2026-07-29
Tourism and hospitality,yes,yes,0,yes,2026-07-08
Public sector,no,no,0,yes,2026-05-27
Financial services,no,no,0,no,2026-07-11
Professional services,no,no,0,no,2026-09-02
Retail and ecommerce,no,yes,0,no,2026-06-20
Retail and ecommerce,no,no,0,yes,2026-06-20
Professional services,no,yes,0,yes,2026-08-05
Financial services,no,no,0,yes,2026-09-07
Tourism and hospitality,no,yes,0,yes,2026-09-01
Education,yes,yes,0,yes,2026-09-04
Retail and ecommerce,yes,no,0,yes,2026-07-17
Tourism and hospitality,yes,no,0,no,2026-08-28
Education,no,no,0,no,2026-07-21
Tourism and hospitality,yes,no,0,yes,2026-07-07
Energy,yes,no,0,no,2026-05-31
Professional services,no,yes,0,yes,2026-06-09
Retail and ecommerce,no,yes,0,yes,2026-06-30
Public sector,yes,yes,0,no,2026-08-17
Energy,no,yes,0,yes,2026-05-14
Public sector,no,no,0,yes,2026-06-24
Public sector,yes,yes,0,yes,2026-08-12
Energy,no,yes,0,no,2026-07-10
Tourism and hospitality,no,no,0,yes,2026-09-03
Professional services,yes,no,0,yes,2026-08-27
Tourism and hospitality,no,yes,0,yes,2026-07-12
Financial services,yes,no,0,no,2026-06-14
Education,yes,no,0,yes,2026-07-01
Public sector,yes,yes,0,yes,2026-07-10
Education,no,no,0,yes,2026-06-21
Energy,no,yes,0,no,2026-06-20
Energy,no,no,0,yes,2026-07-08
Public sector,yes,no,0,yes,2026-06-30
Public sector,yes,yes,0,no,2026-07-10
Tourism and hospitality,yes,no,0,yes,2026-05-26
Retail and ecommerce,no,no,0,yes,2026-07-20
Tourism and hospitality,no,yes,0,yes,2026-06-11
Energy,no,no,0,yes,2026-06-25
Professional services,yes,yes,0,yes,2026-08-31
Education,no,yes,0,no,2026-06-21
Financial services,no,no,0,no,2026-08-09
Energy,yes,yes,0,no,2026-06-11
Energy,yes,no,0,yes,2026-07-14
Public sector,yes,yes,0,no,2026-06-15
Financial services,no,yes,0,no,2026-09-04
Public sector,no,no,0,yes,2026-05-28
Tourism and hospitality,no,yes,0,no,2026-07-24
Energy,yes,no,0,no,2026-07-23
Tourism and hospitality,yes,no,0,yes,2026-09-03
Retail and ecommerce,yes,no,0,yes,2026-07-10
Financial services,no,no,0,yes,2026-05-20
Education,no,yes,0,yes,2026-06-05
Energy,yes,yes,0,yes,2026-08-31
Education,no,yes,0,yes,2026-07-17
Energy,no,yes,0,yes,2026-08-17
Professional services,no,no,0,yes,2026-07-17
Retail and ecommerce,no,yes,0,yes,2026-06-03
Tourism and hospitality,yes,no,0,yes,2026-06-14
Tourism and hospitality,yes,yes,0,no,2026-06-21
Tourism and hospitality,no,no,0,yes,2026-05-25
Retail and ecommerce,yes,yes,0,no,2026-09-08
Financial services,no,no,0,yes,2026-06-17
Education,yes,no,0,yes,2026-09-02
Energy,no,no,0,no,2026-05-31
Professional services,yes,no,0,yes,2026-06-23
Energy,no,no,0,no,2026-07-10
Education,yes,no,0,no,2026-07-04
Retail and ecommerce,yes,no,0,yes,2026-08-17
Financial services,no,yes,0,no,2026-07-02
Public sector,no,yes,0,yes,2026-06-26
Tourism and hospitality,yes,no,0,no,2026-06-15
Public sector,yes,yes,0,yes,2026-08-12
Retail and ecommerce,no,no,0,no,2026-06-02
Retail and ecommerce,no,no,0,no,2026-08-18
Professional services,yes,no,0,yes,2026-06-05
Education,yes,yes,0,yes,2026-07-08
Retail and ecommerce,yes,yes,0,no,2026-07-07
Financial services,yes,no,0,no,2026-08-08
Energy,yes,no,0,no,2026-08-27
Tourism and hospitality,yes,yes,0,yes,2026-09-05
Professional services,yes,no,0,yes,2026-05-31
Public sector,yes,yes,0,no,2026-05-14
Tourism and hospitality,yes,yes,0,yes,2026-05-23
Professional services,no,yes,0,no,2026-08-22
Education,yes,yes,0,no,2026-07-17
Tourism and hospitality,no,yes,0,yes,2026-08-13
Tourism and hospitality,yes,yes,0,yes,2026-07-06
Energy,yes,no,0,yes,2026-08-08
Energy,no,no,0,yes,2026-07-08
Professional services,yes,no,0,no,2026-06-07
Energy,no,yes,0,yes,2026-08-02
Financial services,yes,yes,0,no,2026-07-27
Public sector,yes,yes,0,no,2026-07-22
Retail and ecommerce,yes,yes,0,no,2026-05-16
Tourism and hospitality,yes,no,0,no,2026-06-02
Energy,no,no,0,no,2026-07-15
Public sector,no,no,0,no,2026-08-28
Tourism and hospitality,no,yes,0,no,2026-07-26
Energy,yes,yes,0,no,2026-05-28
Professional services,no,yes,0,no,2026-08-24
Education,yes,yes,0,yes,2026-06-08
Energy,yes,yes,0,no,2026-05-17
Energy,yes,no,0,yes,2026-08-15
Retail and ecommerce,no,no,0,no,2026-05-22
Professional services,yes,yes,0,yes,2026-06-06
Education,yes,no,0,yes,2026-07-16
Tourism and hospitality,yes,yes,0,yes,2026-06-30
Financial services,no,yes,0,yes,2026-06-04
Professional services,yes,no,0,no,2026-09-08
Retail and ecommerce,no,yes,0,no,2026-08-22
Energy,yes,yes,0,yes,2026-06-11
Education,yes,no,0,yes,2026-05-24
Retail and ecommerce,no,no,0,no,2026-08-07
Public sector,no,yes,0,no,2026-08-10
Public sector,yes,no,0,no,2026-07-17
Education,yes,yes,0,yes,2026-06-14
Education,yes,yes,0,yes,2026-06-04
Public sector,yes,yes,0,yes,2026-06-08
Financial services,yes,no,0,yes,2026-08-03
Energy,no,yes,0,yes,2026-08-26
Retail and ecommerce,no,no,0,yes,2026-08-07
Education,no,yes,0,yes,2026-07-19
Energy,no,yes,0,no,2026-08-29
Financial services,yes,yes,0,yes,2026-05-14
Professional services,no,no,0,yes,2026-07-15
Energy,yes,yes,0,no,2026-07-02
Education,yes,no,0,no,2026-07-19
Energy,yes,no,0,yes,2026-05-13
Professional services,no,yes,0,yes,2026-05-31
Retail and ecommerce,no,yes,0,no,2026-07-28
Tourism and hospitality,no,yes,0,yes,2026-08-03
Financial services,yes,yes,0,no,2026-08-12
Public sector,no,yes,0,yes,2026-08-22
Energy,yes,yes,0,yes,2026-07-10
Financial services,yes,yes,0,yes,2026-07-04
Financial services,no,no,0,yes,2026-08-25
Financial services,no,yes,0,no,2026-08-21
Retail and ecommerce,yes,no,0,no,2026-06-18
Public sector,yes,yes,0,no,2026-06-24
Energy,yes,no,0,yes,2026-07-20
Energy,no,no,0,yes,2026-05-22
Retail and ecommerce,yes,no,0,yes,2026-05-23
Education,no,yes,0,yes,2026-06-06
Tourism and hospitality,yes,yes,0,no,2026-08-06
Retail and ecommerce,yes,no,0,yes,2026-08-16
Professional services,no,no,0,yes,2026-08-07
Tourism and hospitality,yes,yes,0,no,2026-05-31
Retail and ecommerce,yes,no,0,yes,2026-08-26
Financial services,yes,no,0,yes,2026-07-20
Education,yes,yes,0,no,2026-06-03
Energy,no,no,0,no,2026-06-29
Energy,no,no,0,yes,2026-07-20
Public sector,no,yes,0,yes,2026-06-01
Energy,no,yes,0,no,2026-09-04
Education,no,no,0,no,2026-09-06
Professional services,no,no,0,yes,2026-05-24
Financial services,yes,no,0,no,2026-05-13
Energy,yes,no,0,yes,2026-08-06
Tourism and hospitality,yes,yes,0,yes,2026-06-27
Energy,no,no,0,yes,2026-07-02
Tourism and hospitality,yes,yes,0,yes,2026-07-28
Public sector,yes,yes,0,yes,2026-06-01
Retail and ecommerce,yes,yes,0,yes,2026-06-15
Energy,no,yes,0,no,2026-07-02
Energy,yes,yes,0,no,2026-05-15
Retail and ecommerce,yes,yes,0,no,2026-08-23
Professional services,yes,yes,0,no,2026-07-14
Tourism and hospitality,no,yes,0,yes,2026-08-25
Professional services,yes,no,0,yes,2026-07-21
Professional services,yes,no,0,yes,2026-08-02
Financial services,no,yes,0,yes,2026-09-05
Retail and ecommerce,no,yes,0,no,2026-07-02
Professional services,no,yes,0,no,2026-08-14
Tourism and hospitality,yes,yes,0,yes,2026-05-30
Professional services,yes,no,0,yes,2026-08-17
Financial services,no,yes,0,yes,2026-06-08
Financial services,yes,no,0,no,2026-05-23
Education,no,yes,0,no,2026-05-23
Retail and ecommerce,no,no,0,yes,2026-07-12
Tourism and hospitality,no,yes,0,yes,2026-08-14
Professional services,no,yes,0,yes,2026-09-07
Energy,no,yes,0,yes,2026-06-04
Tourism and hospitality,yes,yes,0,yes,2026-05-20
Retail and ecommerce,yes,yes,0,no,2026-07-24
Tourism and hospitality,yes,no,0,no,2026-09-08
Energy,yes,yes,0,yes,2026-06-02
Energy,no,yes,0,yes,2026-06-08
Professional services,no,yes,0,no,2026-07-15
Public sector,no,yes,0,yes,2026-09-01
Tourism and hospitality,yes,no,0,yes,2026-08-01
Professional services,no,yes,0,no,2026-05-16
Energy,no,yes,0,no,2026-07-24
Retail and ecommerce,yes,yes,0,yes,2026-06-08
Public sector,yes,no,0,yes,2026-09-04
Energy,yes,no,0,yes,2026-07-26
Energy,yes,no,0,no,2026-08-17
Tourism and hospitality,no,no,0,no,2026-06-02
Professional services,yes,no,0,yes,2026-07-27
Energy,yes,no,0,yes,2026-07-06
Education,no,yes,0,yes,2026-05-29
Tourism and hospitality,no,no,0,no,2026-07-25
Public sector,no,no,0,yes,2026-07-30
Public sector,no,yes,0,no,2026-07-05
Professional services,yes,yes,0,yes,2026-07-28
Public sector,yes,no,0,yes,2026-08-13
Professional services,no,yes,0,no,2026-08-10
Energy,yes,yes,0,yes,2026-09-02
Retail and ecommerce,yes,no,0,yes,2026-06-11
Public sector,yes,no,0,no,2026-06-20
Tourism and hospitality,yes,no,0,no,2026-06-07
Education,no,no,0,yes,2026-07-03
Financial services,yes,no,0,yes,2026-05-12
Tourism and hospitality,no,yes,0,yes,2026-05-17
Education,no,no,0,yes,2026-08-03
Energy,yes,no,0,yes,2026-07-06
Public sector,no,no,0,no,2026-07-30
Energy,no,yes,0,yes,2026-06-15
Public sector,yes,yes,0,no,2026-06-18
Professional services,yes,no,0,yes,2026-07-17
Energy,no,yes,0,yes,2026-06-01
Public sector,no,no,0,yes,2026-08-03
Public sector,yes,no,0,no,2026-08-22
Energy,yes,no,0,yes,2026-05-21
Retail and ecommerce,no,no,0,no,2026-05-21
Retail and ecommerce,no,yes,0,yes,2026-06-09
Energy,no,no,0,no,2026-05-13
Education,no,no,0,yes,2026-09-03
Education,yes,yes,0,no,2026-07-17
Energy,yes,yes,0,yes,2026-07-08
Energy,yes,yes,0,yes,2026-07-07
Professional services,no,yes,0,yes,2026-06-12
Professional services,yes,no,0,no,2026-08-04
Education,no,no,0,yes,2026-06-09
Public sector,yes,no,0,yes,2026-09-05
Energy,no,yes,0,no,2026-06-19
