sector,channel,hours,answered,sent
Public sector,Phone,37,no,2026-06-19
Financial services,Phone,11.9,no,2026-05-10
Financial services,Phone,6.8,no,2026-07-14
Motor,Email,-4.5,no,2026-07-28
Professional services,Email,10,yes,2026-06-25
Financial services,Phone,18.8,yes,2026-08-18
Retail and ecommerce,Phone,-1.6,yes,2026-05-15
Tax and accounting,Email,40.7,no,2026-05-14
Public sector,Phone,25.2,yes,2026-05-26
Motor,Email,11.6,yes,2026-07-19
Motor,Phone,4,yes,2026-05-28
Public sector,Phone,3.2,no,2026-07-30
Motor,Phone,18.7,no,2026-05-20
Financial services,Phone,34,no,2026-08-19
Public sector,Chat,11.2,no,2026-06-06
Retail and ecommerce,Email,48.8,no,2026-05-30
Financial services,Phone,33.9,no,2026-07-19
Financial services,Chat,17.2,no,2026-05-11
Retail and ecommerce,Email,18.9,yes,2026-07-13
Motor,Phone,1.7,yes,2026-05-20
Public sector,Chat,20.9,no,2026-05-06
Public sector,Email,19.6,yes,2026-06-11
Public sector,Phone,12.9,no,2026-08-30
Retail and ecommerce,Email,39.1,no,2026-08-24
Professional services,Email,35.6,yes,2026-05-11
Professional services,Chat,17.4,yes,2026-07-08
Tax and accounting,Email,7.8,yes,2026-07-02
Retail and ecommerce,Email,10.7,yes,2026-07-14
Tax and accounting,Phone,19.8,yes,2026-08-20
Professional services,Chat,32.3,yes,2026-08-20
Professional services,Email,20.9,no,2026-05-27
Retail and ecommerce,Email,52.3,no,2026-08-06
Retail and ecommerce,Chat,40.3,yes,2026-07-18
Retail and ecommerce,Chat,15,no,2026-06-04
Motor,Phone,-2.9,no,2026-08-11
Retail and ecommerce,Chat,10,yes,2026-08-10
Retail and ecommerce,Chat,32.9,yes,2026-07-12
Professional services,Phone,18.1,yes,2026-08-27
Financial services,Email,17.5,no,2026-07-05
Financial services,Phone,34.8,no,2026-06-19
Financial services,Phone,32.2,yes,2026-07-28
Financial services,Phone,24.1,yes,2026-05-30
Motor,Chat,16.7,no,2026-07-03
Professional services,Chat,-11.7,yes,2026-05-26
Tax and accounting,Phone,18.4,no,2026-08-21
Professional services,Chat,20.4,yes,2026-06-26
Financial services,Chat,6.5,no,2026-08-06
Public sector,Email,60.2,no,2026-08-19
Motor,Chat,40,no,2026-08-28
Motor,Chat,10.9,no,2026-07-24
Financial services,Phone,16.8,no,2026-07-12
Financial services,Email,9.4,yes,2026-05-24
Financial services,Chat,7.3,yes,2026-05-20
Professional services,Chat,31.4,no,2026-08-24
Motor,Phone,0.3,yes,2026-08-07
Public sector,Email,46,yes,2026-06-23
Financial services,Email,17.8,yes,2026-06-18
Motor,Phone,9.4,yes,2026-05-17
Public sector,Phone,-0.2,yes,2026-08-06
Financial services,Email,-5.4,yes,2026-08-12
Retail and ecommerce,Chat,22.2,yes,2026-07-10
Public sector,Chat,37.8,yes,2026-08-27
Financial services,Phone,21.2,no,2026-05-16
Public sector,Phone,35,yes,2026-06-22
Financial services,Email,27.3,yes,2026-08-14
Financial services,Email,25.7,yes,2026-06-08
Retail and ecommerce,Phone,14.7,yes,2026-08-14
Public sector,Email,0.5,no,2026-09-02
Public sector,Email,28.6,no,2026-06-27
Tax and accounting,Phone,29.4,no,2026-08-12
Retail and ecommerce,Chat,3.4,yes,2026-06-05
Retail and ecommerce,Phone,57.8,no,2026-07-11
Public sector,Chat,41.4,no,2026-06-22
Motor,Phone,17.7,no,2026-06-25
Public sector,Email,16.6,yes,2026-06-17
Motor,Email,-4.2,no,2026-06-07
Public sector,Email,22,yes,2026-06-04
Financial services,Chat,38.3,no,2026-07-15
Motor,Email,10,no,2026-05-22
Financial services,Email,47.5,no,2026-06-05
Professional services,Email,22.6,yes,2026-08-17
Tax and accounting,Email,19.8,yes,2026-06-19
Public sector,Email,-1,no,2026-08-15
Financial services,Email,13.1,yes,2026-07-08
Financial services,Chat,14.6,yes,2026-08-13
Professional services,Email,41.6,no,2026-05-17
Motor,Phone,0.8,no,2026-07-29
Retail and ecommerce,Chat,38.3,no,2026-08-07
Financial services,Phone,29.8,no,2026-08-22
Public sector,Phone,11.7,no,2026-05-08
Motor,Chat,-5.1,no,2026-07-27
Financial services,Phone,-10.2,yes,2026-05-28
Financial services,Email,31,no,2026-07-29
Motor,Email,22.9,no,2026-07-25
Retail and ecommerce,Chat,4.7,yes,2026-05-20
Financial services,Email,37.8,yes,2026-05-27
Public sector,Email,39.3,no,2026-08-24
Motor,Email,23.9,yes,2026-08-07
Professional services,Phone,-0.9,no,2026-05-12
Financial services,Phone,7.6,yes,2026-07-16
Financial services,Phone,16,yes,2026-07-19
Financial services,Phone,31.3,no,2026-05-15
Retail and ecommerce,Email,7.1,no,2026-05-31
Public sector,Email,46.9,no,2026-05-06
Tax and accounting,Chat,40.4,no,2026-05-31
Tax and accounting,Email,30.5,yes,2026-05-24
Tax and accounting,Phone,10.3,yes,2026-08-08
Public sector,Phone,-10.8,no,2026-08-03
Retail and ecommerce,Phone,19,no,2026-06-04
Professional services,Email,20.8,no,2026-06-29
Motor,Phone,17.9,yes,2026-06-30
Professional services,Chat,55.9,no,2026-05-31
Financial services,Email,27.3,yes,2026-08-19
Public sector,Email,31,no,2026-05-07
Financial services,Chat,-3,yes,2026-08-16
Financial services,Email,8.2,yes,2026-06-05
Professional services,Chat,32.9,yes,2026-06-17
Financial services,Phone,38.5,no,2026-07-30
Professional services,Chat,9.6,no,2026-08-26
Professional services,Email,55,no,2026-05-30
Tax and accounting,Chat,26.4,yes,2026-06-09
Motor,Chat,10.4,no,2026-08-17
Motor,Email,-4,yes,2026-06-10
Tax and accounting,Chat,14.4,no,2026-08-04
Financial services,Phone,14,yes,2026-08-06
Financial services,Chat,35.2,yes,2026-06-12
Public sector,Phone,-3,no,2026-06-05
Professional services,Phone,49.3,yes,2026-05-23
Professional services,Email,23.2,yes,2026-06-05
Public sector,Phone,7.4,no,2026-06-01
Tax and accounting,Chat,10.5,no,2026-08-23
Public sector,Email,-1.6,no,2026-06-24
Retail and ecommerce,Email,20.8,no,2026-07-26
Financial services,Chat,40,no,2026-05-17
Financial services,Phone,22.9,yes,2026-08-15
Professional services,Chat,45.1,yes,2026-06-04
Public sector,Email,31.7,yes,2026-08-07
Financial services,Email,34.3,yes,2026-07-16
Public sector,Chat,-0.4,yes,2026-07-13
Retail and ecommerce,Phone,4.6,yes,2026-06-11
Tax and accounting,Phone,25.3,yes,2026-05-10
Public sector,Email,30,yes,2026-07-19
Public sector,Phone,-0.3,no,2026-06-27
Financial services,Phone,51,yes,2026-06-08
Public sector,Phone,21.4,yes,2026-05-28
Tax and accounting,Chat,14.9,no,2026-07-18
Public sector,Email,2,no,2026-06-30
Public sector,Chat,12.4,yes,2026-08-28
Financial services,Phone,30.1,yes,2026-05-15
Tax and accounting,Email,18.5,no,2026-07-25
Tax and accounting,Email,3,yes,2026-05-31
Public sector,Chat,46.9,yes,2026-06-16
Professional services,Phone,33.9,yes,2026-07-22
Financial services,Phone,23.9,no,2026-06-19
Financial services,Email,0.9,yes,2026-08-19
Professional services,Email,6,yes,2026-06-13
Motor,Email,16.2,yes,2026-07-11
Retail and ecommerce,Chat,37.4,yes,2026-05-10
Financial services,Email,-2.8,yes,2026-07-26
Tax and accounting,Phone,40.5,yes,2026-06-17
Professional services,Chat,24.3,yes,2026-08-06
Motor,Email,16.3,no,2026-05-17
Professional services,Email,2.2,yes,2026-06-07
Financial services,Email,-0.7,no,2026-06-05
Public sector,Chat,10.2,yes,2026-06-09
Tax and accounting,Chat,34.7,no,2026-06-22
Financial services,Chat,1.5,yes,2026-06-28
Motor,Email,47.8,yes,2026-05-30
Professional services,Email,23.2,yes,2026-07-28
Tax and accounting,Chat,17.7,no,2026-07-22
Financial services,Phone,6,yes,2026-06-09
Public sector,Phone,-0.6,yes,2026-08-18
Public sector,Chat,17.1,yes,2026-05-30
Public sector,Phone,17.4,yes,2026-08-09
Motor,Email,9.9,yes,2026-07-08
Motor,Phone,58.1,no,2026-06-28
Motor,Phone,31.4,yes,2026-06-28
Tax and accounting,Email,21.3,no,2026-07-23
Professional services,Chat,-2.1,no,2026-08-03
Retail and ecommerce,Chat,14.1,yes,2026-07-21
Retail and ecommerce,Phone,10.3,no,2026-05-30
Tax and accounting,Phone,18.7,no,2026-08-23
Public sector,Phone,20,no,2026-08-20
Retail and ecommerce,Email,41.1,yes,2026-05-20
Public sector,Phone,43.3,no,2026-07-10
Tax and accounting,Chat,34.6,yes,2026-08-18
Financial services,Email,2.8,no,2026-08-03
Retail and ecommerce,Email,0.3,no,2026-08-20
Public sector,Phone,30.8,no,2026-07-16
Retail and ecommerce,Chat,32.9,yes,2026-08-04
Retail and ecommerce,Phone,6.8,no,2026-07-16
Professional services,Phone,33.9,yes,2026-07-20
Retail and ecommerce,Chat,39.8,yes,2026-08-19
Motor,Email,14.9,no,2026-08-29
Professional services,Phone,-4.3,yes,2026-08-07
Motor,Chat,-3.5,yes,2026-06-30
Retail and ecommerce,Chat,25.7,yes,2026-09-02
Professional services,Phone,22.4,yes,2026-08-25
Tax and accounting,Phone,3.3,no,2026-05-07
Professional services,Email,54,yes,2026-06-29
Motor,Email,35.7,yes,2026-06-24
Tax and accounting,Phone,32.6,no,2026-06-01
Motor,Email,-5.9,yes,2026-07-31
Motor,Phone,9.7,yes,2026-08-29
Motor,Phone,23.2,yes,2026-07-29
Financial services,Phone,40.2,no,2026-05-08
Tax and accounting,Chat,8.4,no,2026-07-02
Tax and accounting,Chat,39.6,no,2026-07-11
Financial services,Phone,28.5,yes,2026-07-30
Financial services,Chat,30.7,no,2026-07-21
Tax and accounting,Phone,14.3,yes,2026-07-20
Tax and accounting,Phone,0.5,no,2026-05-27
Retail and ecommerce,Phone,9.2,no,2026-06-21
Tax and accounting,Chat,37,no,2026-07-05
Tax and accounting,Email,0.8,no,2026-06-20
Financial services,Phone,36.5,no,2026-08-11
Public sector,Email,33.3,yes,2026-06-28
Public sector,Chat,9.6,no,2026-07-16
Public sector,Phone,3.4,yes,2026-06-11
Public sector,Email,-10.6,yes,2026-07-27
Public sector,Phone,23.2,yes,2026-06-26
Professional services,Phone,27.2,yes,2026-06-29
Financial services,Phone,23.1,no,2026-07-16
Motor,Email,53.2,no,2026-06-04
Public sector,Chat,20.9,no,2026-08-14
Financial services,Email,10.6,yes,2026-05-20
Tax and accounting,Chat,0.5,yes,2026-05-13
Retail and ecommerce,Chat,4,no,2026-06-23
Public sector,Email,8,no,2026-06-26
Financial services,Chat,23.3,no,2026-05-27
Public sector,Phone,0.1,yes,2026-06-07
Retail and ecommerce,Chat,55.2,yes,2026-08-04
Tax and accounting,Phone,42.8,no,2026-06-23
Financial services,Chat,11.9,yes,2026-06-05
Professional services,Chat,1.5,no,2026-08-16
Tax and accounting,Chat,12,yes,2026-07-22
Retail and ecommerce,Phone,6.9,yes,2026-05-06
Financial services,Phone,27.1,no,2026-06-29
Financial services,Email,14.4,yes,2026-08-10
Professional services,Email,52.7,no,2026-08-12
Retail and ecommerce,Email,36.2,yes,2026-06-03
Tax and accounting,Chat,27.4,yes,2026-08-02
Financial services,Phone,8.7,yes,2026-09-02
Financial services,Email,-11.2,no,2026-07-03
Financial services,Email,25.4,yes,2026-08-04
Motor,Phone,22.5,no,2026-08-01
Financial services,Phone,2,no,2026-07-30
Retail and ecommerce,Chat,56.7,yes,2026-05-15
Motor,Phone,36.4,no,2026-08-22
Financial services,Chat,30.1,no,2026-09-02
Financial services,Email,0.7,yes,2026-07-16
Retail and ecommerce,Email,8.8,no,2026-06-13
Financial services,Phone,25.7,yes,2026-06-05
Financial services,Phone,32,no,2026-08-31
Professional services,Email,11.6,no,2026-07-08
Public sector,Email,57.4,yes,2026-06-16
Public sector,Phone,18.7,yes,2026-06-29
Professional services,Phone,7.5,no,2026-07-13
Public sector,Phone,-5.2,yes,2026-08-09
Public sector,Email,13.5,yes,2026-07-23
Financial services,Email,28.6,no,2026-05-18
Financial services,Phone,31.8,yes,2026-07-22
Motor,Email,5.5,no,2026-06-09
Retail and ecommerce,Phone,51.2,no,2026-05-07
Professional services,Chat,25.9,yes,2026-06-29
Financial services,Chat,18.2,yes,2026-08-27
Public sector,Chat,8.7,no,2026-06-16
Financial services,Email,13.8,no,2026-08-02
Retail and ecommerce,Email,29.6,yes,2026-06-03
Public sector,Phone,25.4,yes,2026-06-21
Public sector,Phone,0.5,yes,2026-06-01
Public sector,Phone,41.5,no,2026-06-19
Financial services,Chat,24.3,yes,2026-07-04
Professional services,Email,22.5,no,2026-06-18
Professional services,Email,1,yes,2026-05-06
Financial services,Email,5,no,2026-06-04
Public sector,Email,30.5,no,2026-07-01
Financial services,Email,27.9,no,2026-08-02
Financial services,Phone,-1.7,no,2026-08-23
Public sector,Phone,49.2,no,2026-08-26
Retail and ecommerce,Email,36.8,yes,2026-05-08
Financial services,Chat,14.5,yes,2026-09-01
Financial services,Phone,5,yes,2026-08-06
Financial services,Phone,4.9,yes,2026-08-18
Tax and accounting,Chat,17.8,yes,2026-06-12
Retail and ecommerce,Chat,29.5,no,2026-07-24
Professional services,Phone,2.7,no,2026-06-05
Retail and ecommerce,Phone,41.1,no,2026-06-17
Financial services,Phone,26.7,no,2026-07-16
Financial services,Phone,28.6,yes,2026-06-07
Financial services,Email,17.2,yes,2026-06-03
Public sector,Chat,-0.2,no,2026-06-11
Financial services,Phone,24,yes,2026-08-31
Financial services,Email,15.9,no,2026-06-15
Retail and ecommerce,Chat,1.7,yes,2026-07-02
Tax and accounting,Chat,54.8,yes,2026-07-17
Motor,Email,29.6,yes,2026-06-24
Tax and accounting,Phone,24.3,yes,2026-08-17
Financial services,Chat,0.1,no,2026-08-19
Professional services,Phone,12,no,2026-05-31
Retail and ecommerce,Chat,23.7,no,2026-06-12
Tax and accounting,Email,29.9,no,2026-07-16
Professional services,Phone,10.5,yes,2026-06-20
Financial services,Phone,56.1,no,2026-05-06
Retail and ecommerce,Email,37.5,no,2026-06-22
Financial services,Phone,21.6,no,2026-08-15
Public sector,Phone,16.5,no,2026-05-22
Tax and accounting,Phone,-12.2,yes,2026-06-27
Professional services,Email,20.8,yes,2026-06-03
Public sector,Email,27.1,yes,2026-05-20
Public sector,Chat,21.3,no,2026-05-28
Retail and ecommerce,Chat,45,no,2026-08-23
Financial services,Phone,27,yes,2026-07-30
Retail and ecommerce,Chat,18.6,no,2026-07-12
Financial services,Email,3.3,yes,2026-07-12
Tax and accounting,Phone,0.7,no,2026-05-24
Financial services,Email,14.8,yes,2026-07-15
Financial services,Chat,36.9,yes,2026-05-20
Public sector,Phone,15.9,yes,2026-06-07
Public sector,Chat,37.1,yes,2026-05-21
Tax and accounting,Email,29.6,yes,2026-08-31
Financial services,Chat,12.9,no,2026-07-20
Professional services,Phone,15.4,yes,2026-08-15
Motor,Phone,0.9,no,2026-05-11
Public sector,Phone,31.8,yes,2026-07-24
Financial services,Chat,42.1,yes,2026-06-15
Professional services,Email,14.2,no,2026-05-11
Financial services,Chat,34.8,yes,2026-05-15
Motor,Email,40.8,yes,2026-08-18
Financial services,Email,22.3,yes,2026-05-30
Financial services,Chat,20.3,no,2026-05-11
Financial services,Email,13.9,yes,2026-06-03
Motor,Email,11.5,yes,2026-07-20
Motor,Phone,29.4,yes,2026-05-25
Tax and accounting,Chat,15.7,yes,2026-09-01
Motor,Chat,45.4,no,2026-06-03
Financial services,Phone,42.8,yes,2026-08-18
Financial services,Chat,25.6,yes,2026-08-29
Motor,Phone,15.1,yes,2026-05-22
Tax and accounting,Email,-8.2,no,2026-08-06
Financial services,Phone,24.7,no,2026-05-27
Public sector,Phone,21.2,no,2026-08-19
Retail and ecommerce,Email,-2.5,yes,2026-05-24
Public sector,Chat,59.6,yes,2026-06-08
Financial services,Chat,24.5,yes,2026-07-23
Public sector,Email,29.8,no,2026-08-30
Financial services,Email,-0.1,no,2026-08-20
Financial services,Email,-11.2,no,2026-07-25
Public sector,Email,29.5,no,2026-05-08
Public sector,Phone,17.2,no,2026-08-21
Public sector,Email,-3.2,no,2026-08-08
Public sector,Phone,46.4,no,2026-07-22
Professional services,Chat,26.6,yes,2026-07-31
Professional services,Email,16.1,yes,2026-08-18
Motor,Phone,-3.8,yes,2026-08-03
Financial services,Chat,13.5,yes,2026-09-02
Financial services,Chat,21,yes,2026-07-07
Financial services,Chat,37.9,yes,2026-06-14
Tax and accounting,Phone,-0.1,no,2026-05-10
Public sector,Phone,47.4,no,2026-05-12
Tax and accounting,Phone,18.5,no,2026-05-17
Financial services,Phone,30.8,no,2026-07-08
Motor,Email,0.8,yes,2026-06-06
Professional services,Email,13.3,yes,2026-08-11
Professional services,Email,15.4,yes,2026-07-25
Financial services,Chat,24.4,yes,2026-07-29
Professional services,Email,12.8,yes,2026-06-13
Financial services,Phone,52.3,no,2026-05-12
Professional services,Phone,37.2,yes,2026-07-09
Motor,Email,7.4,no,2026-05-06
Motor,Email,4.8,yes,2026-05-22
Public sector,Phone,-10.9,yes,2026-08-26
Financial services,Email,11.8,yes,2026-08-21
Professional services,Phone,15.1,no,2026-05-20
Financial services,Chat,4.4,yes,2026-07-28
Public sector,Phone,44.1,yes,2026-06-06
Tax and accounting,Phone,17.5,yes,2026-05-08
Public sector,Phone,26.7,no,2026-08-31
Public sector,Phone,6.2,yes,2026-06-11
Public sector,Phone,8.1,no,2026-08-11
Motor,Phone,9,no,2026-06-02
Professional services,Phone,36.6,yes,2026-07-01
Public sector,Phone,16.3,no,2026-05-07
Motor,Phone,33.4,no,2026-07-25
Retail and ecommerce,Chat,29.8,no,2026-08-07
Retail and ecommerce,Phone,26.1,no,2026-08-27
Financial services,Email,5.4,no,2026-07-19
Financial services,Email,-11.1,yes,2026-06-21
Financial services,Chat,20.4,yes,2026-05-25
Financial services,Email,31,no,2026-05-11
Financial services,Chat,13.3,no,2026-07-25
Public sector,Email,40.5,yes,2026-07-26
Tax and accounting,Phone,28.1,yes,2026-07-06
Financial services,Email,14.7,no,2026-08-27
Financial services,Email,5.5,yes,2026-06-07
Public sector,Chat,2,no,2026-06-13
Tax and accounting,Chat,10.7,yes,2026-05-25
Public sector,Phone,21.9,no,2026-07-27
Public sector,Email,4.2,no,2026-08-14
Professional services,Phone,38.1,yes,2026-07-28
Public sector,Phone,22.6,yes,2026-07-30
Professional services,Phone,27.7,yes,2026-05-09
Professional services,Email,12.3,yes,2026-05-09
Tax and accounting,Chat,7,yes,2026-06-30
Public sector,Email,17.9,no,2026-07-05
Tax and accounting,Chat,15.2,no,2026-06-15
Professional services,Email,9.2,no,2026-08-31
Public sector,Chat,38,no,2026-08-07
Tax and accounting,Email,21.9,no,2026-06-06
Retail and ecommerce,Email,24.2,yes,2026-05-19
Professional services,Phone,17,yes,2026-06-18
Financial services,Chat,11.5,no,2026-06-11
Tax and accounting,Phone,32.6,yes,2026-05-29
Professional services,Chat,34.2,no,2026-07-27
Tax and accounting,Email,16.3,yes,2026-07-16
Professional services,Chat,54.2,yes,2026-08-30
Public sector,Chat,30,no,2026-06-07
Public sector,Chat,11,no,2026-08-20
Financial services,Email,-5,yes,2026-07-15
Tax and accounting,Chat,11.6,yes,2026-07-01
Public sector,Chat,9.4,no,2026-06-30
Financial services,Chat,16.8,yes,2026-07-20
Public sector,Phone,0.8,no,2026-06-08
Professional services,Email,53.2,yes,2026-08-15
Tax and accounting,Phone,17,yes,2026-07-27
Retail and ecommerce,Chat,28.8,yes,2026-08-09
Motor,Phone,-1.9,no,2026-07-24
Motor,Chat,3.8,yes,2026-05-28
Motor,Email,8.4,yes,2026-07-09
Professional services,Phone,28.3,yes,2026-07-26
Public sector,Phone,13.2,yes,2026-08-09
Motor,Email,46.8,yes,2026-06-30
Financial services,Phone,27.4,no,2026-07-26
Motor,Chat,7.5,no,2026-07-28
Tax and accounting,Phone,19.1,yes,2026-05-24
Tax and accounting,Email,-10.9,yes,2026-07-12
Financial services,Chat,23.1,yes,2026-08-05
Public sector,Phone,34.6,no,2026-08-11
Retail and ecommerce,Email,15.3,yes,2026-08-29
Professional services,Chat,52.9,yes,2026-08-10
Professional services,Email,18.5,no,2026-05-10
Financial services,Chat,16.7,yes,2026-06-27
Professional services,Email,20.4,yes,2026-09-02
Public sector,Phone,-7,yes,2026-05-16
Public sector,Chat,6.4,no,2026-06-30
Public sector,Email,24,no,2026-05-10
Retail and ecommerce,Email,13.1,no,2026-06-25
Tax and accounting,Phone,43.5,yes,2026-06-23
Financial services,Phone,34.4,yes,2026-06-20
Professional services,Phone,34.1,yes,2026-08-07
Public sector,Email,-2.5,no,2026-08-31
Public sector,Phone,-12.9,no,2026-08-16
Professional services,Phone,6.8,no,2026-05-10
Motor,Phone,25.7,yes,2026-06-19
Financial services,Email,5.6,no,2026-07-29
Motor,Chat,33.1,no,2026-06-21
Motor,Phone,22.4,no,2026-08-12
Motor,Phone,23.1,yes,2026-08-09
Professional services,Email,-1,yes,2026-07-15
Financial services,Email,-3.2,no,2026-08-31
Motor,Phone,13.2,yes,2026-05-12
Financial services,Phone,23.2,yes,2026-07-10
Professional services,Email,24,yes,2026-07-01
